n_permissions,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,n_services,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ljava_lang_Runtime___exec,n_urls,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSystemService,perm_android_permission_SEND_SMS,intent_com_android_vending_INSTALL_REFERRER,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,n_used_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_BOOT_COMPLETED,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_RECEIVE_USER_PRESENT,suspicious_Base64,suspicious_getPackageInfo,n_api_calls,n_activities,n_receivers,suspicious_getSimCountryIso,perm_android_permission_ACCESS_NETWORK_STATE,intent_android_intent_action_ACTION_POWER_CONNECTED,label
5,0,0,0,0,0,0,0,0,0,24,1,1,1,0,0,0,5,0,0,0,0,1,1,13,3,1,0,1,0,0
14,0,0,0,0,0,10,0,0,0,63,1,1,1,0,1,0,13,0,0,0,0,1,1,37,23,5,0,1,0,0
12,0,0,0,0,0,2,1,0,1,46,1,1,1,0,0,0,9,0,1,0,0,1,1,33,13,3,1,1,1,0
6,0,0,0,0,0,0,0,0,0,34,1,1,1,0,0,0,8,0,0,0,0,1,1,24,5,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,23,1,0,1,0,0,0,12,0,0,0,0,1,1,21,45,0,0,1,0,1
7,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1
3,0,0,0,0,0,0,0,0,0,34,1,1,1,0,0,0,9,0,0,0,0,1,1,26,5,0,0,1,0,0
12,0,0,0,0,0,0,0,0,0,17,0,1,1,0,0,0,8,0,0,0,0,1,1,16,5,0,0,1,0,0
16,0,0,1,0,0,16,1,0,0,75,1,1,1,0,1,0,15,0,1,0,0,1,1,43,36,10,1,1,1,0
5,0,0,0,0,0,5,0,0,0,28,0,1,1,0,0,0,9,0,1,0,0,1,1,21,6,2,1,1,0,0
9,0,0,0,0,0,6,1,0,0,57,1,1,1,0,1,0,12,0,1,0,0,1,1,27,6,4,0,1,0,0
5,0,0,0,0,0,0,0,0,0,26,1,1,1,0,0,0,9,0,0,0,0,1,1,23,7,0,0,1,0,0
32,1,0,1,1,1,11,0,0,1,169,1,1,1,0,0,0,14,0,1,0,0,1,1,53,208,10,0,1,0,0
3,0,0,0,0,0,0,0,0,1,33,1,0,1,0,0,0,9,0,0,0,0,1,1,18,1,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,1,6,5,2,0,1,0,0
5,0,0,1,0,0,1,1,0,1,2,0,0,1,0,0,0,9,0,1,0,0,1,1,24,1,3,0,0,0,0
5,0,0,0,0,0,3,0,0,1,58,0,1,1,0,0,0,5,0,0,0,0,1,1,21,3,2,0,0,0,0
3,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,7,0,0,0,0,1,1,14,7,0,0,1,0,0
8,0,0,0,0,0,5,0,0,0,36,0,1,1,0,1,0,14,0,0,0,0,1,1,28,22,5,1,1,0,0
30,0,0,0,0,0,13,1,0,1,33,1,1,1,0,1,0,7,0,1,0,0,1,1,14,14,7,0,1,0,0
2,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,0,9,0,0,0,0,1,1,18,6,0,0,1,0,0
5,0,0,1,0,0,0,0,0,0,44,1,1,1,0,0,0,9,0,0,0,0,1,1,21,9,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,7,0,0,0,0,1,1,15,1,0,0,0,0,0
5,0,0,0,0,0,0,0,0,1,12,1,1,1,0,0,0,6,0,0,0,0,1,1,15,10,0,0,1,0,0
14,0,0,1,0,0,6,1,0,0,98,1,1,1,0,1,0,14,0,1,0,0,1,1,46,38,4,1,1,1,0
4,0,0,0,0,0,2,1,0,0,21,1,1,1,0,0,0,5,0,1,0,0,1,1,6,5,1,0,1,0,0
13,1,0,1,1,0,4,0,0,1,187,1,1,1,0,0,0,14,1,0,0,0,1,1,51,98,1,1,1,0,0
3,0,0,0,0,0,0,0,0,0,26,1,0,1,0,0,0,6,0,0,0,0,1,1,14,19,0,0,1,0,0
27,0,0,0,0,0,13,1,0,1,35,1,1,1,0,1,0,12,0,1,0,0,1,1,22,15,7,0,1,0,0
2,0,0,0,0,0,0,0,0,0,22,1,0,1,0,0,0,6,0,0,0,0,1,1,13,21,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,31,1,1,1,0,0,0,8,1,0,0,0,1,1,16,9,0,0,1,0,0
12,1,0,1,0,0,2,1,0,0,19,0,1,1,0,1,0,6,0,1,0,0,1,1,6,16,6,0,1,0,0
27,1,0,1,0,1,3,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,63,1,0,1,0,1
8,0,1,0,0,0,3,1,0,0,25,1,0,1,0,1,0,9,0,0,0,0,1,1,20,12,3,1,1,0,0
40,1,1,1,1,0,13,1,1,1,339,1,1,1,1,0,1,12,1,1,0,1,1,1,25,127,11,0,1,1,0
7,0,0,1,0,0,0,0,0,0,34,1,1,1,0,0,0,4,0,0,0,0,1,1,9,4,0,0,1,0,0
5,0,0,0,0,0,1,0,0,0,63,1,0,1,0,0,0,9,0,0,0,0,1,1,17,8,0,0,1,0,0
14,1,0,0,0,0,15,0,0,0,104,1,1,1,0,1,0,11,0,0,0,0,1,1,21,81,18,1,1,0,0
8,0,0,0,0,0,6,0,0,0,47,1,0,1,1,1,0,8,0,0,0,0,1,1,20,17,4,0,1,0,0
19,0,0,0,0,0,4,0,0,0,16,0,1,1,0,0,0,12,0,0,0,0,1,1,39,10,3,0,1,0,0
18,0,0,1,0,0,7,0,0,1,94,1,1,1,0,0,0,15,0,0,0,0,1,1,52,51,3,1,1,0,0
5,0,0,0,0,0,1,0,0,0,31,1,0,1,0,0,0,5,0,0,0,0,1,1,12,3,1,0,0,0,0
17,0,0,1,0,0,6,0,0,0,49,1,1,1,0,1,0,10,0,0,0,0,1,1,43,14,4,0,1,0,0
36,0,1,1,0,1,21,1,0,1,189,1,1,1,0,1,0,16,0,1,0,0,1,1,32,30,10,0,1,0,0
60,1,1,1,1,1,9,0,1,1,62,1,1,1,0,1,1,12,1,1,1,0,1,1,39,24,9,1,1,0,0
14,0,0,1,1,0,1,1,0,1,7,0,1,1,0,0,0,7,0,1,0,0,0,1,26,6,1,0,1,0,0
4,0,0,0,0,0,2,0,0,0,57,1,1,1,0,0,0,12,0,0,0,0,1,1,32,12,0,0,1,0,0
4,0,0,1,0,0,0,0,0,0,44,1,1,1,0,0,0,6,0,0,0,0,1,1,13,3,1,0,1,0,0
19,1,0,1,0,0,3,0,0,1,8,0,1,1,0,0,0,10,0,1,0,0,1,1,25,11,2,0,0,1,0
18,1,1,1,1,1,2,0,0,1,11,1,1,1,0,0,1,10,1,0,0,0,1,1,29,3,1,0,1,0,0
14,0,0,1,0,0,4,1,0,0,37,1,1,1,0,1,0,6,0,0,0,0,1,1,17,18,6,0,1,0,0
10,0,0,1,0,0,4,0,0,0,22,1,1,1,0,0,0,9,0,0,0,0,1,1,20,16,3,0,1,0,0
