suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,intent_android_intent_action_USER_PRESENT,suspicious_sendTextMessage,n_permissions,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_ADDED,n_providers,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_Landroid_telephony_SmsMessage___getMessageBody,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_MY_PACKAGE_REPLACED,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Base64,suspicious_getCellLocation,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_com_google_android_c2dm_intent_REGISTRATION,perm_android_permission_READ_EXTERNAL_STORAGE,n_api_calls,intent_pushy_me,suspicious_getDeviceId,n_urls,perm_android_permission_CAMERA,n_receivers,n_services,label
0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,11,0,1,57,1,1,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,19,0,0,0,0
0,1,0,0,14,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19,0,1,74,0,0,0,0
0,1,0,0,22,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,21,0,1,177,1,2,2,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22,0,1,25,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,0,0,20,0,0,0,0
0,1,0,0,16,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,54,0,1,32,0,3,12,0
0,0,0,0,10,1,0,0,0,0,2,0,0,0,0,1,1,1,1,0,1,0,0,23,0,1,15,0,2,4,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,1,13,0,0,0,0
1,0,0,0,11,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,18,0,1,85,0,2,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,0,0,14,0,0,0,0
0,0,0,0,11,1,0,0,1,0,3,1,0,0,1,0,0,1,1,0,0,0,1,22,0,1,69,0,3,5,0
0,0,0,0,9,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,9,0,1,29,0,4,6,0
1,0,0,1,24,1,1,1,0,1,10,1,0,0,1,1,0,1,1,1,1,0,1,59,0,1,163,0,19,34,1
0,0,0,0,13,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,22,0,1,25,1,3,8,0
1,1,1,0,22,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,43,0,1,15,1,5,6,0
0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,14,0,1,44,0,1,1,0
0,0,0,0,8,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,20,0,1,34,0,3,4,1
0,0,0,0,7,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,20,0,1,360,0,5,10,0
1,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,1,0,2,3,1
0,0,0,0,13,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,18,0,0,35,0,2,3,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,0,1,21,1,0,0,0
1,1,0,0,18,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,36,0,1,43,0,1,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,14,0,0,0,0
0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,23,0,1,72,0,4,4,0
0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,37,0,0,0,0
0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,20,0,1,45,1,2,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,0,0,0,7,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,24,0,1,28,0,7,4,0
1,1,1,0,16,1,0,1,0,0,2,0,0,0,0,1,0,1,1,1,1,0,1,32,0,1,112,0,6,12,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,0,1,35,0,0,0,0
0,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,21,0,1,42,0,3,6,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,0,1,23,0,0,0,0
1,0,0,0,12,1,0,0,0,0,2,1,0,0,1,1,0,1,1,1,1,0,1,29,0,1,60,0,4,7,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,14,0,0,0,0
0,0,0,0,10,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,1,0,1,18,0,1,26,0,6,3,1
0,0,0,1,17,0,0,0,0,0,3,1,0,0,1,1,1,1,1,0,1,0,1,22,0,1,90,0,9,9,0
0,0,0,0,11,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,1,0,1,28,0,1,31,0,7,2,0
0,1,0,0,17,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,11,0,1,102,1,6,7,0
