n_permissions,n_api_calls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_LOGS,perm_android_permission_WRITE_SETTINGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_MESSAGING_EVENT,suspicious_setWifiEnabled,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_igexin_sdk_action_refreshls,suspicious_getSubscriberId,perm_android_permission_BATTERY_STATS,perm_android_permission_DISABLE_KEYGUARD,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,n_urls,n_activities,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_getWifiState,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_CONFIGURATION,n_providers,label
4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0
5,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0
8,23,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,37,5,0,0,0,0,3,0
5,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0
14,13,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0
11,33,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0
3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0
8,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,41,16,0,0,0,0,2,0
6,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0
3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,0
7,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,24,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,30,4,0,0,0,0,1,0
10,30,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,101,101,0,0,0,0,6,1
7,22,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,27,8,0,0,0,0,1,0
5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0,0,0,0,0,0
2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,0,0,0,0,0
14,17,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,123,32,0,0,0,0,6,0
3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,1,0
10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,2,0
9,10,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,34,8,0,0,0,0,1,0
7,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,0,0,0,1,0
8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0
8,47,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,105,42,0,0,0,0,1,0
29,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,34,8,0,0,0,0,0,0
