n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,n_urls,n_api_calls,perm_android_permission_ACCESS_WIFI_STATE,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,suspicious_Cipher,suspicious_Base64,perm_android_permission_READ_PHONE_STATE,suspicious_Ljava_lang_System___load,suspicious_getPackageInfo,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getExternalStorageDirectory,suspicious_getDeviceId,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_getSystemService,suspicious_system_bin_su,perm_android_permission_WRITE_SETTINGS,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_services,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_CHANGE_WIFI_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_android_vending_INSTALL_REFERRER,intent_android_intent_action_USER_PRESENT,label
7,0,0,28,13,1,5,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
10,0,0,40,13,0,5,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,2,1,0,0,0,0,0,0
14,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0
9,0,0,24,21,0,8,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,0,0,99,24,1,9,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,13,1,0,1,1,1,0,0
3,0,0,24,23,0,11,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,17,18,0,7,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,3,1,0,1,0,1,0,0
11,0,0,156,27,1,10,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,13,1,0,1,0,1,0,0
27,0,0,35,22,0,12,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,13,1,0,1,1,1,0,0
6,0,0,35,9,0,5,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15,0,0,72,11,1,6,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,9,1,0,1,1,1,0,0
8,0,0,15,18,1,7,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
6,0,0,47,10,0,6,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,1,1,202,69,1,21,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,56,0,1,0,0,0,1,0
0,0,0,18,17,0,6,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,24,5,0,4,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
26,0,0,32,47,1,14,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,7,1,1,1,0,1,0,0
28,1,0,69,56,1,15,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,11,1,0,0,0,0,0,0
