perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,n_api_calls,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_setWifiEnabled,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_getWifiState,n_urls,n_activities,perm_android_permission_DISABLE_KEYGUARD,intent_com_igexin_sdk_action_refreshls,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_RESTART_PACKAGES,perm_android_permission_SEND_SMS,label
0,13,43,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,82,16,0,0,0,0,0,0
0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,27,0,0,0,0,0,0
0,15,22,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,36,64,0,0,0,0,0,0
0,35,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,15,0,0,0,1,0,0
0,27,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0
0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0
0,12,27,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,45,13,0,0,0,0,0,0
0,14,16,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,39,38,0,0,0,0,0,0
1,10,18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0
0,9,29,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,31,11,0,0,0,0,0,0
0,10,22,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,47,19,0,0,0,0,0,0
0,14,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,11,0,0,0,0,0,0
0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,11,0,0,0,0,0,0
1,22,39,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,67,67,0,0,0,0,0,0
0,18,16,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,20,6,0,0,0,0,0,0
0,32,22,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,24,301,1,0,0,0,0,0
0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0
0,26,19,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,10,3,0,0,0,0,0,0
0,7,19,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,36,7,0,0,0,0,0,0
0,25,22,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,34,7,0,0,0,0,0,0
0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,0,0,0,0
0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0
0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0
0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0,0,0,0,0,0
1,45,41,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,91,28,1,0,0,1,1,0
0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
0,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0
0,9,15,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0
0,9,30,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,100,21,0,0,0,0,0,0
0,8,20,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,54,5,0,0,0,0,0,0
0,11,36,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,146,47,0,0,0,0,0,0
0,10,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,8,0,0,0,0,0,0
0,8,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,10,3,0,0,0,0,0,0
0,6,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,159,15,0,0,0,0,0,0
0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,8,0,0,0,0,0,0
0,34,23,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,175,85,0,0,0,0,0,0
0,24,37,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,182,19,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,1
0,5,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,46,10,0,0,0,0,0,0
0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0
0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0
0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
0,16,25,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,90,20,0,0,0,0,0,0
0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0
0,13,20,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,18,12,0,0,0,0,0,0
0,29,20,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,7,2,0,0,0,0,0,0
0,10,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,12,31,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,72,3,0,0,0,0,0,0
0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,6,45,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0
0,5,19,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,22,18,0,0,0,0,0,0
0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0
0,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,42,0,0,0,0,0,0
