suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_PHONE_STATE,n_permissions,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,suspicious_getCellLocation,suspicious_Ljava_lang_Runtime___exec,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_READ_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_USER_PRESENT,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,n_providers,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_INSTALL_PACKAGES,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_android_permission_KILL_BACKGROUND_PROCESSES,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,n_urls,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_cn_jpush_android_intent_PUSH_TIME,label
0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,58,0,0,0,0
0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,33,0,0,0,0
1,1,1,1,1,1,124,1,1,1,1,1,1,1,1,0,1,1,0,17,1,1,0,1,0,1,202,1,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17,0,0,0,0
0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,1
0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,33,0,1,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,12,0,0,1,1,0,1,0,0,1,0,0,0,11,0,0,0,0,1,1,60,0,1,0,0
0,0,0,0,0,0,30,0,1,0,0,1,0,0,0,1,0,0,1,4,0,0,1,0,1,1,76,0,0,0,0
0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0
0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,30,0,1,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,105,0,0,0,0
0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,22,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
