n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,n_api_calls,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_WIFI_STATE,n_used_permissions,perm_android_permission_GET_TASKS,suspicious_Base64,suspicious_Ljava_lang_System___load,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getPackageInfo,suspicious_Cipher,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_WRITE_SETTINGS,suspicious_getExternalStorageDirectory,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getSystemService,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_USER_PRESENT,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_PACKAGE_REMOVED,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_system_bin_su,perm_android_permission_CHANGE_WIFI_STATE,n_services,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_MANAGE_ACCOUNTS,label
6,0,0,62,19,0,0,7,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,8,1,0,0,0
2,0,0,24,22,0,0,6,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,12,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,23,25,1,1,10,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,3,0,0,0,1
4,0,0,33,26,0,0,8,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14,0,0,66,35,1,0,9,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,4,0,0,0,0
7,0,0,24,18,0,1,7,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,23,22,0,0,11,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,4,14,0,0,6,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,3,0,0,0,0
7,0,0,37,46,0,0,14,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0
7,1,0,38,17,0,1,7,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,22,8,0,0,4,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0
9,0,0,113,20,1,1,9,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7,0,0,75,32,0,1,11,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,4,1,0,0,0
12,0,0,31,18,0,0,8,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,6,0,0,0,0
14,0,0,12,27,0,0,8,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,8,0,0,0,0
39,0,1,333,25,1,1,12,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,13,0,1,0,0
9,0,0,86,29,1,1,12,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0
29,0,0,51,40,0,1,19,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,22,1,0,0,0
5,0,0,30,19,0,0,9,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,3,0,0,0,0
4,0,0,1,10,0,0,6,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
48,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,18,0,0,1,0
6,0,0,103,35,0,1,15,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2,19,0,1,7,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
6,0,0,5,16,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8,0,0,26,24,0,0,10,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,6,1,0,0,0
33,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0
27,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,19,0,1,0,0
16,0,0,42,23,1,0,10,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,6,1,0,0,0
23,1,0,44,34,1,1,12,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0
2,0,0,17,17,0,0,9,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,36,22,0,1,8,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
29,0,0,253,27,0,1,13,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,15,0,1,0,0
2,0,0,10,12,0,0,5,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,70,36,0,0,17,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,14,1,0,0,0
10,0,0,76,44,0,1,18,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,6,0,1,0,0
5,0,0,37,21,0,1,9,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
1,0,0,12,21,0,0,6,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,16,4,0,0,3,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,4,15,0,0,7,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
23,0,0,49,22,0,0,10,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,7,0,0,0,0
13,0,0,65,32,0,0,9,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,5,0,1,0,0
11,0,0,44,44,0,0,18,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,7,0,0,0,0
23,1,0,22,6,1,0,5,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
9,0,0,33,20,1,1,11,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,8,1,0,0,0
11,0,0,44,19,1,1,8,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
19,0,0,100,59,0,1,14,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,10,0,0,0,0
25,0,0,71,23,0,0,10,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,11,0,0,0,0
3,0,0,22,20,0,0,11,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,56,20,0,0,7,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,11,0,1,0,1
5,0,0,5,36,0,1,10,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21,1,0,38,39,1,0,11,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,3,1,0,0,0
4,0,0,19,18,0,0,10,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,35,25,0,0,11,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,42,17,0,0,7,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,42,30,0,1,13,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,5,0,0,0,0
10,0,0,67,42,0,0,12,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,7,0,0,0,0
14,0,0,71,21,0,1,11,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,6,0,0,0,0
9,0,0,64,22,0,1,8,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0
5,0,0,34,23,0,0,9,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,1
6,0,0,26,21,0,0,9,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15,0,0,11,22,1,0,8,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
7,1,0,22,18,0,0,7,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,3,0,0,0,0
17,0,1,106,37,1,1,12,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,5,0,0,0,0
5,0,0,19,23,0,0,7,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
16,0,0,83,43,1,1,15,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,14,1,0,0,0
4,0,0,1,11,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,15,6,0,1,5,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
25,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0
8,0,0,10,19,0,0,6,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,3,0,0,0,0
5,0,0,27,23,0,1,7,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
25,0,0,50,22,0,1,12,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,13,1,0,0,0
20,1,1,62,42,1,1,16,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
8,0,0,3,16,0,0,6,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,3,0,0,0,0
19,0,0,121,21,0,1,10,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,17,0,0,0,0
9,0,0,29,25,0,0,11,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,4,0,0,0,0
20,1,1,37,41,1,1,10,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,3,0,0,0,0
42,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,11,0,0,0,1
7,0,0,48,29,0,1,11,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
32,1,0,131,21,1,1,10,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,27,1,0,0,0
2,0,0,9,7,0,0,4,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,0,0,26,22,0,1,13,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,6,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
7,0,0,29,25,0,1,10,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15,0,0,91,10,0,0,4,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,14,1,0,0,0
5,0,0,32,14,0,1,7,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21,0,0,4,15,0,0,6,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0
7,0,0,25,25,1,0,8,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,0,0,8,5,0,0,4,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,20,18,0,0,10,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,23,18,0,0,10,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,78,14,0,0,9,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,5,0,0,0,0
31,1,0,84,29,0,1,15,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,40,1,0,1,0
23,0,0,26,19,1,1,10,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,5,1,0,0,0
41,1,1,85,50,1,1,14,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,9,0,1,1,0
7,0,0,0,5,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
7,0,0,64,41,1,1,13,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
12,0,0,44,14,1,0,5,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,6,0,0,0,0
8,0,0,105,47,0,1,13,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0
7,0,0,45,28,0,1,12,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,9,1,0,0,0
7,0,0,25,19,0,0,9,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,8,0,0,0,0
5,0,0,46,28,0,0,13,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,4,0,0,0,0
5,0,0,61,19,0,0,9,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,10,1,0,0,0
9,1,0,279,23,0,0,12,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0
9,1,0,176,23,1,0,11,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,5,0,0,0,0
11,0,0,37,30,1,0,12,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0
25,0,0,212,24,1,1,9,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,9,0,0,0,0
8,0,0,3,19,0,1,7,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
10,0,0,60,18,0,0,10,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,11,1,0,0,0
189,1,1,55,52,1,1,19,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,12,0,1,1,0
89,1,1,187,73,1,1,17,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,29,0,1,1,0
6,0,0,34,26,0,1,9,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7,0,0,39,13,0,0,5,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
5,0,0,24,15,0,0,7,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,4,0,0,0,0
6,0,0,26,14,0,1,6,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,25,0,0,0,0
4,0,0,35,14,0,0,6,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0
5,0,0,22,13,0,0,6,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4,0,0,11,16,0,0,7,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,38,22,0,0,10,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,6,0,0,0,0
3,0,0,29,27,0,0,12,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0
4,0,0,16,18,0,1,6,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,28,0,0,0,0
3,0,0,11,13,0,0,5,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12,1,0,91,55,0,1,15,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,9,0,0,0,0
4,0,0,10,17,1,0,6,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
9,1,0,182,41,0,0,16,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,17,1,0,0,0
19,0,0,69,20,1,1,8,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,13,1,0,0,0
6,0,0,30,7,0,0,5,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
5,0,0,26,19,0,0,9,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,3,0,0,0,0
10,0,0,47,22,0,0,8,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,8,1,0,0,0
2,0,0,5,17,0,0,6,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,22,17,1,0,9,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,8,1,0,0,0
