suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,suspicious_getCellLocation,perm_android_permission_SEND_SMS,intent_android_intent_action_USER_PRESENT,suspicious_Landroid_telephony_SmsMessage___getMessageBody,n_api_calls,n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_ACCESS_WIFI_STATE,intent_android_appwidget_action_APPWIDGET_UPDATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_services,suspicious_Ldalvik_system_PathClassLoader_,suspicious_sendTextMessage,n_providers,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_getDeviceId,perm_android_permission_SET_WALLPAPER,intent_android_intent_action_MAIN,suspicious_getSimCountryIso,perm_android_permission_ACCESS_FINE_LOCATION,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_ACCESS_NETWORK_STATE,perm_android_permission_RECEIVE_BOOT_COMPLETED,n_used_permissions,suspicious_Ldalvik_system_DexClassLoader_,label
0,0,0,0,0,0,0,9,7,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,6,1,0
0,0,0,0,0,0,0,32,23,1,0,0,0,0,1,8,1,0,3,0,1,0,1,0,0,1,1,1,13,0,0
0,0,0,0,0,0,0,20,8,0,0,0,0,0,1,13,1,0,3,0,1,0,1,0,0,0,1,0,8,1,0
0,0,0,0,0,0,0,20,4,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,8,1,0
0,0,1,0,1,0,0,24,16,0,0,1,1,0,1,10,1,0,4,0,1,0,1,0,0,1,1,0,9,0,0
0,0,0,0,0,0,0,45,7,0,0,0,0,0,1,9,0,0,1,0,1,0,1,0,1,0,1,0,12,1,0
0,0,1,0,0,0,0,25,32,1,0,0,1,0,1,8,1,0,3,1,1,0,1,0,1,0,1,1,10,0,0
0,0,0,0,0,0,0,12,7,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0
0,0,0,0,0,0,0,34,4,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,11,1,0
0,0,1,0,0,0,0,20,15,0,0,0,1,0,1,3,1,0,1,1,1,0,1,1,1,0,1,0,7,1,0
0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
0,0,0,0,0,0,0,18,25,0,0,1,0,0,1,11,1,0,2,0,1,0,1,0,0,1,1,1,8,0,0
0,0,0,0,0,0,0,26,32,0,0,1,0,0,1,10,1,0,1,1,1,0,1,0,1,1,1,1,11,0,0
0,0,0,0,0,0,0,38,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,10,1,0
0,0,0,0,0,0,0,37,6,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,10,1,0
0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,18,10,0,0,0,0,0,0,5,1,0,1,1,1,0,1,0,1,0,1,0,7,1,0
0,0,0,1,0,0,0,28,3,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,13,1,0
0,0,0,0,0,0,0,19,7,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,10,0,0
0,0,0,0,0,0,0,14,6,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,6,0,0
