perm_com_android_launcher_permission_WRITE_SETTINGS,perm_android_permission_SEND_SMS,perm_com_android_launcher2_permission_READ_SETTINGS,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_READ_LOGS,perm_android_permission_GET_TASKS,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_ACCESS_DOWNLOAD_MANAGER,perm_android_permission_WRITE_SMS,perm_android_permission_READ_SMS,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_CHANGE_WIFI_STATE,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_WRITE_SETTINGS,n_providers,perm_android_permission_WRITE_OWNER_DATA,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_vending_CHECK_LICENSE,perm_android_permission_BROADCAST_STICKY,perm_android_permission_RECEIVE_SMS,n_urls,perm_android_permission_DISABLE_KEYGUARD,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_RECEIVE_MMS,n_api_calls,label
0,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,21,0
0,0,0,12,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,46,0,0,0,27,0
0,1,0,33,0,1,1,1,1,0,0,1,1,0,0,1,0,1,3,0,0,1,0,0,0,310,0,1,0,62,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,14,0
0,0,0,23,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,0,1,0,22,0
0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,24,0
0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,17,0
