n_api_calls,perm_android_permission_READ_PHONE_STATE,suspicious_getCellLocation,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getCellSignalStrength,intent_com_google_firebase_MESSAGING_EVENT,n_providers,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_getSubscriberId,perm_android_permission_CHANGE_WIFI_STATE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,n_receivers,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_BROADCAST_STICKY,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_WRITE_SETTINGS,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,n_urls,n_activities,intent_ACTION_TAPCORE_MESSAGE,n_services,intent_ACTION_TAPCORE_SYNC,label
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,2,0,2,0,0
15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,32,33,0,28,0,1
30,0,1,0,0,0,1,1,5,0,1,1,0,0,0,1,1,0,0,9,0,0,0,0,1,97,25,0,11,0,0
13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,1,0,0
14,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,54,5,0,5,0,0
105,1,1,1,1,1,0,0,57,1,1,0,1,1,1,1,1,1,1,17,1,1,1,1,0,98,181,0,28,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,53,11,0,1,0,0
47,1,0,1,0,0,0,1,5,1,1,0,0,1,0,1,1,1,0,9,1,0,0,0,1,71,92,0,16,0,0
27,0,0,0,0,0,0,1,5,1,1,0,0,1,0,1,1,1,0,3,0,0,0,0,1,65,41,0,12,0,0
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32,5,0,0,0,0
