n_permissions,perm_android_permission_READ_PHONE_STATE,n_urls,perm_android_permission_ACCESS_WIFI_STATE,n_api_calls,n_used_permissions,perm_android_permission_ACCESS_NETWORK_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ljava_lang_System___load,suspicious_getSystemService,suspicious_Base64,suspicious_getDeviceId,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,intent_android_appwidget_action_APPWIDGET_UPDATE,perm_android_permission_SYSTEM_ALERT_WINDOW,n_services,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_WRITE_SETTINGS,suspicious_setWifiEnabled,intent_com_urbanairship_push_RECEIVED,suspicious_getWifiState,suspicious_system_bin_su,intent_com_urbanairship_push_CHANNEL_UPDATED,intent_com_google_android_gms_iid_InstanceID,intent_com_amazon_device_messaging_intent_RECEIVE,label
11,1,75,1,14,6,1,0,1,1,1,1,0,0,1,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
14,1,10,0,22,8,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,16,0,8,5,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,39,1,30,12,1,1,0,1,1,1,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
9,0,38,0,21,13,1,1,0,1,1,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,1,4,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,16,0,23,11,1,1,1,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,0,43,0,31,11,1,0,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7,0,49,0,11,5,1,0,1,1,1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
4,0,35,0,33,10,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,88,0,33,13,1,1,1,1,1,1,0,1,1,1,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0
3,0,32,0,6,5,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,6,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,1,13,0,24,6,1,1,0,1,1,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
26,0,40,0,21,11,1,1,0,1,1,1,0,0,1,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0
21,1,30,1,30,10,1,1,1,1,1,1,1,1,1,1,0,1,3,0,1,1,0,1,0,1,0,0,0,0,0
9,0,9,0,8,5,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,11,0,12,6,1,0,1,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2,0,19,0,13,5,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,30,1,14,6,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,153,1,41,13,1,1,1,1,1,1,0,1,1,1,0,1,4,0,1,1,1,0,0,1,0,0,0,0,0
10,0,20,0,25,10,1,1,0,1,1,1,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
4,0,11,0,14,6,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,123,1,41,17,1,1,1,1,1,1,0,1,1,1,0,1,11,0,1,0,0,0,0,0,1,0,0,0,0
5,0,25,0,18,7,1,0,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
28,0,43,0,21,7,1,0,0,1,1,1,1,1,1,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,1
16,1,51,0,50,13,1,1,1,1,1,1,0,1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
6,0,63,0,29,10,1,0,1,1,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
30,0,44,1,34,14,1,1,1,1,1,1,0,1,1,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
3,0,12,1,29,13,1,0,0,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10,1,28,0,6,6,1,0,1,1,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
35,1,185,0,41,16,1,1,1,1,1,1,0,1,1,1,0,1,17,1,0,0,1,0,0,0,0,0,1,0,0
10,0,41,1,42,10,1,0,1,1,1,1,1,1,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
3,0,1,0,6,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,24,0,20,11,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,76,1,45,14,1,1,1,1,1,1,1,0,1,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0
2,0,18,0,17,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,26,0,33,11,1,1,1,1,1,1,0,1,1,1,0,0,21,0,1,0,0,0,0,0,0,0,1,1,1
30,1,3,0,20,7,1,1,0,1,1,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0
2,0,18,0,25,8,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,37,0,17,9,1,0,1,1,1,0,0,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
23,0,31,0,20,11,1,0,0,1,1,1,0,0,1,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
13,0,15,1,39,9,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6,1,12,0,26,10,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,20,7,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,77,1,53,13,1,1,1,1,1,1,0,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1
24,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0
8,0,20,1,22,6,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,16,1,18,7,1,0,0,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,0,15,0,18,7,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,0,36,1,10,9,1,0,0,1,1,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
5,0,20,0,24,12,1,0,1,1,1,1,0,0,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
2,0,2,0,6,4,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,25,0,21,11,1,1,0,1,1,1,0,1,1,1,0,0,7,0,0,0,0,0,1,0,0,1,1,1,0
23,0,28,0,22,9,1,0,0,1,1,1,0,0,1,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
