perm_com_sec_android_provider_badge_permission_WRITE,perm_com_sec_android_provider_badge_permission_READ,perm_com_anddoes_launcher_permission_UPDATE_COUNT,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,perm_com_huawei_android_launcher_permission_CHANGE_BADGE,perm_com_sonymobile_home_permission_PROVIDER_INSERT_BADGE,perm_android_permission_READ_APP_BADGE,perm_android_permission_READ_PHONE_STATE,perm_com_oppo_launcher_permission_WRITE_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,n_api_calls,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,perm_me_everything_badger_permission_BADGE_COUNT_WRITE,perm_me_everything_badger_permission_BADGE_COUNT_READ,intent_com_google_android_gms_iid_InstanceID,n_urls,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_receivers,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getPackageInfo,intent_android_intent_action_MY_PACKAGE_REPLACED,intent_com_google_firebase_MESSAGING_EVENT,intent_com_google_firebase_INSTANCE_ID_EVENT,label
0,0,0,0,0,0,0,0,0,0,0,1,23,1,1,0,0,0,0,0,42,12,1,0,3,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,19,9,0,0,2,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,34,7,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,24,12,1,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,26,0,1,0,0,1,1,0,36,13,1,0,4,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,12,7,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,11,0,1,0,1,0,0,0,35,5,1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,15,9,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,21,0,1,0,0,0,0,0,80,9,0,0,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,45,1,1,0,0,0,0,0,80,19,1,0,10,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,0,0,0,28,10,1,0,3,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,34,0,1,0,0,0,0,0,24,9,0,0,4,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,18,1,0,0,0,1,1,0,10,9,1,0,6,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,34,5,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,0,43,11,1,0,5,0,1,0,1,0,0
