perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,n_api_calls,n_used_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_PHONE_STATE,suspicious_Base64,suspicious_Cipher,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,suspicious_getDeviceId,suspicious_Ljava_lang_System___load,suspicious_getSystemService,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_PACKAGE_ADDED,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_USER_PRESENT,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_services,suspicious_system_bin_su,intent_android_intent_action_PACKAGE_REMOVED,intent_android_net_conn_CONNECTIVITY_CHANGE,label
0,0,22,0,23,25,6,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,18,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,24,0,46,21,9,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,7,0,0,0,0
0,0,22,0,3,13,6,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0
0,0,18,0,133,23,7,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,25,18,7,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,3,0,0,0,0
1,0,14,0,39,27,10,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,11,0,0,0,0
1,1,35,1,156,85,17,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,16,0,1,1,0
0,0,9,0,21,24,9,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,7,1,0,0,0
0,0,12,0,40,6,5,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,11,0,0,1,0
0,0,5,0,42,18,8,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,5,0,39,10,9,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0
0,0,6,0,25,16,7,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0
0,0,8,0,44,22,9,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,6,0,0,0,0
0,0,6,0,64,15,9,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,6,1,0,0,1
0,0,6,0,32,20,8,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,4,11,6,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
0,0,2,0,1,8,6,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21,0,4,16,10,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0
0,0,0,0,0,14,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,35,0,59,37,14,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0
0,0,30,0,60,35,12,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,14,0,0,0,0
0,0,0,0,0,11,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10,0,11,13,6,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,14,14,6,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,4,5,4,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,6,0,14,19,7,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1
0,0,10,0,19,10,5,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0
0,0,5,0,5,13,5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,24,12,5,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,4,17,6,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,3,0,32,23,7,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,0,61,12,7,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,10,0,0,1,0
