intent_android_net_wifi_WIFI_STATE_CHANGED,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_sendTextMessage,suspicious_system_bin_su,perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,perm_android_permission_ACCESS_FINE_LOCATION,suspicious_getSimCountryIso,perm_android_permission_ACCESS_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_READ_SMS,perm_android_permission_WRITE_SMS,intent_android_app_action_DEVICE_ADMIN_ENABLED,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_PHONE_STATE,n_activities,perm_android_permission_SEND_SMS,suspicious_Landroid_telephony_SmsMessage___getMessageBody,n_providers,n_urls,n_services,perm_android_permission_RECEIVE_SMS,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_USER_PRESENT,suspicious_setWifiEnabled,suspicious_getSystemService,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Base64,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,27,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,0,0,0,27,6,0,0,0,0,1,0,1,1,0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,51,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,1,9,3,0,1,0,0,1,0,0,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,419,1,1,17,202,56,1,0,1,1,1,1,1,1,0
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,11,0,0,1,33,2,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,18,1,0,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,10,0,0,4,105,4,0,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,10,0,0,2,24,2,0,1,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,1,0,1,1,0
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,20,0,0,0,176,5,0,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,15,0,0,4,81,14,0,1,0,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,25,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,58,1,0,0,0,0,1,0,1,1,0
0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,41,0,0,2,95,7,0,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,13,0,0,1,86,8,0,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,1,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,1,0,1,1,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,51,0,0,4,135,6,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,15,2,0,0,0,0,1,0,1,1,0
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,19,0,0,0,38,1,0,1,0,0,1,0,1,1,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,42,0,0,2,55,7,0,1,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,32,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,3,36,2,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,26,0,1,7,40,9,1,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,17,2,0,1,0,0,1,0,0,1,0
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,6,0,0,0,34,1,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,46,0,0,4,117,9,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,33,1,0,0,0,0,1,0,1,1,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,15,0,0,1,21,5,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,12,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,6,0,0,2,31,4,0,1,0,0,1,0,1,1,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,9,0,0,2,31,6,0,1,0,0,1,0,1,1,1
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,70,0,0,0,118,7,0,1,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,13,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,14,0,0,1,38,1,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,43,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17,3,0,0,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,28,0,0,2,129,5,0,1,0,0,1,0,0,1,0
0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,22,0,0,0,64,1,0,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,29,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,1,0,1,1,0
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,11,0,0,0,23,1,1,0,0,0,1,0,1,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,17,0,1,0,19,13,0,1,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,15,0,0,0,0,0,1,0,1,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,14,7,0,1,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,210,0,0,0,30,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,19,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,1,1,62,0,0,0,0,0,1,0,1,1,0
