n_api_calls,intent_android_intent_action_PACKAGE_ADDED,suspicious_getExternalStorageDirectory,n_activities,suspicious_getDeviceId,n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,suspicious_Ljava_lang_System___load,n_used_permissions,n_providers,intent_android_net_wifi_WIFI_STATE_CHANGED,n_receivers,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_Ldalvik_system_PathClassLoader_,n_services,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_VIBRATE,intent_com_android_vending_INSTALL_REFERRER,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ljava_lang_System___loadLibrary,perm_com_android_vending_BILLING,n_urls,intent_android_net_wifi_STATE_CHANGE,intent_android_intent_action_MEDIA_UNMOUNTED,intent_com_google_android_c2dm_intent_REGISTRATION,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_ANY_DATA_STATE,label
20,0,1,8,1,9,0,0,0,1,10,4,0,4,0,1,4,1,1,0,1,1,1,0,43,0,0,0,0,0,0
12,0,1,9,1,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
46,0,1,5,1,10,0,0,0,1,13,1,0,3,0,1,3,0,1,1,0,1,1,0,18,0,0,0,0,0,0
47,0,1,12,1,16,0,0,0,1,12,0,0,3,0,0,1,0,1,0,1,1,1,0,49,0,0,0,0,0,0
22,0,1,12,1,17,1,0,0,1,10,2,0,11,0,1,4,1,1,0,1,1,1,1,35,0,0,1,0,0,0
13,0,1,4,1,6,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
31,0,1,87,1,12,0,0,0,1,11,4,0,1,0,1,3,0,0,0,0,0,1,1,69,0,0,0,0,0,0
56,1,1,94,1,35,1,1,0,1,16,2,0,4,1,0,7,0,0,1,0,0,1,0,203,0,0,0,0,0,0
17,0,1,2,1,5,0,0,0,0,6,1,0,4,0,1,6,1,1,0,1,1,0,0,41,0,0,1,0,0,0
27,0,1,65,1,29,1,1,0,1,11,2,0,6,0,1,9,0,0,1,1,0,1,1,72,1,0,0,1,0,0
17,0,0,5,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
70,0,1,125,1,37,1,1,1,1,17,0,0,8,1,0,15,0,0,1,0,0,1,0,220,0,1,0,0,0,0
18,0,1,7,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
28,0,1,17,1,13,0,0,0,1,14,5,0,12,0,1,10,1,1,1,1,1,1,1,104,0,0,0,0,0,1
34,0,1,35,0,18,0,0,1,1,9,0,1,4,1,0,1,0,0,1,0,0,1,0,8,1,0,0,0,0,0
15,0,1,10,1,6,0,0,0,0,6,0,0,1,0,1,3,0,0,0,0,0,0,0,32,0,0,0,0,0,0
5,0,1,4,1,3,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,1,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,1,74,1,45,1,1,1,1,19,0,0,4,1,0,6,0,0,1,0,0,1,0,132,0,0,0,1,0,0
19,0,1,3,1,7,0,0,0,1,7,2,0,3,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0
12,0,1,6,0,4,0,0,0,1,8,1,0,2,0,1,2,0,0,0,1,0,1,0,27,0,0,0,0,0,0
15,0,1,4,0,3,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0
38,0,1,12,1,12,0,0,0,0,12,0,0,2,0,0,2,0,1,1,0,1,0,0,58,0,0,1,0,0,0
22,0,1,32,1,9,1,0,0,0,9,8,0,4,0,1,7,1,1,0,1,1,0,1,47,0,0,0,0,0,0
44,0,1,43,1,11,0,0,0,1,16,0,0,2,1,0,1,0,0,1,1,0,1,1,116,0,0,0,0,0,0
18,0,1,18,1,7,0,0,0,0,7,1,0,4,0,1,3,1,1,0,1,1,0,0,33,0,0,0,0,0,1
42,0,1,8,1,17,1,0,0,1,12,1,0,5,0,0,7,0,1,1,0,1,1,0,58,0,0,0,0,0,0
2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,0,1,38,1,14,0,0,0,1,14,2,0,4,1,0,6,0,1,0,1,1,1,0,96,0,0,1,0,0,1
20,0,1,9,1,7,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,0,0,1
8,0,1,3,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0
15,0,1,4,0,4,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0
28,0,1,34,1,15,0,1,0,1,11,2,0,0,0,0,1,0,0,1,0,0,1,0,5,0,0,0,0,0,0
29,1,1,6,1,7,0,0,0,1,9,0,0,2,0,0,1,0,1,1,0,1,1,0,45,0,0,1,0,0,0
30,0,1,13,1,25,0,0,0,1,12,2,0,9,0,1,12,1,1,1,1,1,1,1,61,0,0,0,0,0,0
20,0,1,15,1,11,0,0,0,1,10,2,0,5,0,1,8,1,1,0,1,1,1,0,69,0,0,0,0,0,0
0,1,0,3,0,15,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,0,1,4,1,5,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0
41,0,1,30,1,9,1,0,0,1,16,5,0,8,0,1,17,1,1,0,1,1,1,0,185,0,0,1,0,0,1
19,0,1,14,1,22,0,0,0,0,8,1,0,9,0,1,7,1,1,1,1,1,0,0,62,0,0,0,0,0,0
0,0,0,9,0,43,1,0,1,0,0,0,0,7,1,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18,0,1,7,1,8,0,0,0,0,7,1,0,6,0,1,6,1,1,0,0,1,0,0,45,0,0,1,0,0,1
0,0,0,14,0,23,1,0,1,1,0,2,0,5,0,0,11,1,1,1,1,1,1,0,0,0,0,0,0,0,0
65,1,1,20,1,28,1,1,0,1,16,3,0,4,1,0,8,0,0,1,1,0,1,0,104,0,0,0,0,0,0
11,0,1,3,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0
8,0,1,22,1,8,0,0,0,1,5,0,0,6,0,1,4,0,1,0,0,1,1,1,59,0,0,1,0,0,0
26,0,1,7,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
33,1,1,20,1,9,0,1,0,1,13,4,0,7,0,1,20,1,1,0,1,1,1,1,65,0,0,0,0,0,1
3,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,0,1,9,1,5,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
22,0,1,19,1,9,0,1,0,0,8,1,0,5,0,1,6,0,1,1,0,1,0,0,47,0,0,0,0,0,0
24,0,1,8,1,6,0,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,1,1,26,0,0,0,0,0,0
27,0,1,22,1,14,0,0,0,1,9,1,0,3,0,0,9,1,1,1,0,1,1,0,38,0,0,1,0,0,0
13,0,1,5,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
18,0,1,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,0,1,5,1,5,0,0,0,0,9,1,0,3,0,1,6,1,1,0,1,1,0,0,29,0,0,0,0,0,0
19,0,1,10,1,10,0,0,0,0,9,2,0,6,0,1,4,1,1,0,1,1,0,0,28,0,0,1,0,0,1
19,0,1,12,1,8,0,0,0,0,9,1,0,5,0,1,10,1,1,0,1,1,0,0,65,0,0,0,0,0,0
15,0,1,6,1,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1
26,0,1,9,1,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
21,0,1,33,1,11,0,0,0,1,9,2,0,2,0,1,6,1,1,0,0,1,1,0,27,0,0,0,0,0,1
22,0,1,13,1,7,0,0,0,0,12,1,0,3,0,1,5,1,1,0,1,1,0,0,36,0,0,0,0,0,0
17,0,1,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,0,1,9,1,12,0,0,0,0,8,4,0,10,0,1,14,1,1,1,1,1,0,1,176,0,0,0,0,0,0
23,0,1,3,1,5,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
58,0,1,54,1,20,0,1,0,0,14,2,0,11,0,0,20,0,1,1,1,1,0,0,103,0,0,1,0,0,0
20,0,1,42,1,4,0,0,0,1,8,2,0,4,0,1,9,1,1,0,1,0,1,0,27,0,0,0,0,0,0
8,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1
12,0,1,1,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,0,1,19,1,9,0,1,0,0,8,1,0,5,0,1,6,0,1,1,0,1,0,0,47,0,0,0,0,0,0
32,0,1,6,1,3,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
43,0,1,4,1,3,0,0,0,1,13,0,0,0,0,1,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0
37,0,1,13,1,43,1,1,1,0,10,1,0,6,1,1,18,0,0,1,0,0,0,0,21,1,0,0,1,1,0
39,0,1,1,1,11,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,1,0,51,0,0,0,0,0,0
16,0,1,5,1,9,0,0,0,0,8,1,0,2,0,0,1,0,1,1,0,1,0,0,23,0,0,1,0,0,0
