perm_android_permission_ACCESS_WIFI_STATE,n_permissions,perm_android_permission_READ_PHONE_STATE,perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,n_api_calls,n_used_permissions,suspicious_Ljava_lang_System___load,suspicious_getPackageInfo,suspicious_Base64,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getExternalStorageDirectory,suspicious_getSystemService,suspicious_Cipher,suspicious_getDeviceId,n_services,suspicious_Ljava_lang_Runtime___exec,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_NETWORK_STATE,perm_android_permission_WRITE_SETTINGS,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_PACKAGE_ADDED,n_activities,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_SEARCH,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_system_bin_su,label
0,2,0,0,0,0,13,17,6,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
0,11,0,0,0,0,52,22,11,1,1,1,1,1,1,1,1,7,1,0,1,0,0,0,29,1,0,1,1,0,0
1,24,0,0,0,0,55,26,11,0,1,1,0,1,1,1,1,10,1,0,1,0,1,0,9,0,0,1,1,0,0
1,10,1,1,1,0,26,27,8,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,6,0,0,0,0,0,0
0,2,0,0,0,0,1,6,5,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
0,10,1,0,0,0,4,12,4,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,43,0,0,1,1,0,0
0,3,0,0,0,0,21,10,5,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,6,0,0,0,0,0,0
0,7,0,0,0,0,36,12,5,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,7,0,0,1,0,0,0
0,28,1,0,0,0,4,21,9,0,1,1,1,1,1,1,0,3,1,0,1,0,1,0,5,0,0,1,1,0,1
0,8,0,0,0,0,24,4,4,0,1,1,0,0,1,1,1,5,0,0,1,0,1,0,18,1,0,1,1,0,0
1,8,0,1,1,0,53,37,10,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,7,0,0,0,0,0,0
1,8,0,0,0,0,10,27,12,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,20,1,0,0,0,56,40,13,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,35,0,0,1,1,0,1
1,28,0,0,0,0,45,25,9,0,1,1,1,1,1,1,1,6,1,0,1,0,1,0,10,0,0,1,1,0,0
1,38,1,1,1,1,639,46,17,1,1,1,1,1,1,1,1,11,1,0,1,1,0,0,484,0,0,0,0,1,0
0,8,0,0,0,0,109,19,8,1,1,1,1,1,1,1,1,18,0,0,1,0,1,0,52,1,1,1,1,0,0
0,2,0,0,0,0,33,14,6,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
0,5,0,0,0,0,22,18,7,0,1,1,0,1,1,1,1,2,0,0,1,0,1,0,6,0,0,1,1,0,0
0,5,0,0,0,0,22,18,7,0,1,1,0,1,1,1,1,2,0,0,1,0,1,0,4,0,0,1,1,0,0
0,4,0,0,0,0,23,7,5,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0
0,3,0,0,0,0,2,7,5,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
0,23,0,0,0,0,6,18,8,0,1,1,0,1,1,1,1,5,1,0,1,0,1,0,4,0,0,1,1,0,0
1,16,0,0,0,0,60,19,7,0,1,1,1,1,1,1,1,7,1,0,1,1,1,0,18,1,0,1,1,0,0
0,20,0,0,0,0,28,20,8,0,1,1,1,1,1,1,0,5,0,0,1,0,1,0,8,0,0,1,1,0,0
1,11,0,0,0,0,42,15,8,1,1,1,1,1,1,1,1,10,0,0,1,0,1,0,15,1,0,1,1,0,0
0,2,0,0,0,0,10,10,4,0,1,1,0,1,1,1,0,3,0,0,1,0,0,0,4,0,1,0,0,0,0
1,8,0,0,0,0,18,31,11,1,1,1,1,1,1,1,1,2,0,0,1,0,1,0,4,0,0,0,0,0,0
1,17,1,1,0,0,49,42,12,0,1,1,1,1,1,1,1,2,0,0,1,0,0,0,109,0,0,1,1,0,0
0,2,0,0,0,0,35,18,8,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,6,0,0,0,0,0,0
1,9,0,1,1,0,46,36,14,0,1,1,1,1,1,1,1,5,1,0,1,0,0,0,11,0,0,1,0,1,0
0,10,1,0,0,0,46,14,5,1,1,1,1,1,1,1,1,8,1,0,1,0,0,0,42,0,1,1,1,0,0
0,2,0,0,0,0,3,12,5,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0
0,3,1,0,0,0,22,13,5,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0
1,6,0,0,0,0,64,15,9,1,1,1,0,1,1,1,1,6,1,0,1,0,1,0,9,0,0,1,1,1,1
1,6,0,0,0,0,14,19,7,0,1,1,1,1,1,1,0,4,0,0,1,1,0,0,5,0,0,0,0,0,0
1,6,1,0,0,0,34,26,13,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0
0,5,0,0,0,0,22,18,7,0,1,1,0,1,1,1,1,2,1,0,1,0,1,0,6,0,0,1,1,0,0
1,7,1,0,0,0,45,8,3,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,8,0,0,0,0,0,0
0,4,0,0,0,0,9,16,5,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
1,4,0,0,0,0,21,19,5,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,11,0,0,0,0,97,31,13,1,1,1,1,1,1,1,1,6,1,0,1,0,1,0,39,1,0,1,1,0,0
1,29,0,0,0,0,34,17,7,1,1,1,1,1,1,1,0,4,1,0,1,0,1,0,8,0,0,1,1,0,0
1,13,1,0,0,0,76,26,12,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,28,0,0,0,0,1,0
0,7,1,0,0,0,28,33,8,1,1,1,1,1,1,1,1,4,1,0,1,0,0,0,7,0,0,0,0,0,0
1,4,0,0,0,0,33,29,13,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,20,0,0,0,0,0,0
0,25,0,0,0,0,44,22,10,1,1,1,1,1,1,1,1,13,1,0,1,0,1,0,8,1,0,1,1,0,0
0,7,0,0,0,0,33,24,12,0,1,1,0,1,1,1,1,6,0,0,1,0,1,0,34,1,0,1,1,0,0
0,8,0,0,0,0,44,22,9,1,1,1,1,1,1,1,1,6,0,0,1,0,1,0,30,0,0,1,1,0,0
0,6,1,0,0,0,35,9,5,1,1,1,1,1,1,1,1,2,0,0,1,0,1,0,20,0,0,0,0,0,0
1,9,1,1,1,1,11,8,6,0,1,0,1,1,1,0,1,3,0,0,1,0,0,1,4,0,0,0,0,0,1
0,3,0,0,0,0,10,21,9,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,8,0,0,0,0,0,0
1,11,1,0,0,0,44,33,11,0,1,1,1,1,1,1,1,2,0,0,1,0,1,1,10,0,0,0,0,0,0
0,3,1,0,0,0,6,12,5,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0
0,1,0,0,0,0,2,17,6,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,14,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,0,0,1,0,18,35,8,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0
0,1,0,0,0,0,0,15,6,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,15,0,0,0,0,81,24,9,1,1,1,1,1,1,1,1,15,1,0,1,0,1,0,62,1,0,1,1,0,0
0,4,0,0,0,0,43,15,6,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,16,0,0,0,0,1,0
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,8,0,0,0,0,105,47,13,1,1,1,1,1,1,1,1,4,0,0,1,0,0,0,42,0,0,0,0,0,0
0,2,0,0,0,0,24,12,5,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
1,9,0,0,0,0,25,21,11,0,1,1,1,1,1,1,1,3,0,0,1,0,1,0,4,0,0,1,1,0,0
1,9,1,0,0,0,48,25,9,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0,12,0,0,0,0,1,0
