perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,n_activities,n_api_calls,n_used_permissions,perm_android_permission_GET_TASKS,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getDeviceId,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_REMOVED,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_adroid_SERVICE,intent_android_intent_action_USER_PRESENT,n_permissions,suspicious_sendTextMessage,perm_android_permission_KILL_BACKGROUND_PROCESSES,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_providers,perm_android_permission_ACCESS_NETWORK_STATE,perm_android_permission_SET_WALLPAPER,perm_com_google_android_c2dm_permission_RECEIVE,n_urls,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_LOGS,intent_android_intent_action_DOWNLOAD_COMPLETE,suspicious_Base64,label
0,0,5,6,5,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,23,1,0,0,0,1,0
1,0,32,18,7,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,1,1,0,0,52,1,1,0,0,1,1
0,0,38,17,7,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,1,1,0,1,52,0,1,0,0,1,0
0,0,29,32,10,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,68,1,1,0,0,1,0
1,0,4,25,7,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,23,1,1,0,0,1,0
1,0,4,28,13,0,0,1,1,0,0,0,1,0,0,0,13,0,0,0,6,1,0,1,96,0,0,0,0,1,0
0,0,14,20,11,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,26,1,1,0,0,1,1
0,0,1,18,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,4,22,10,0,0,1,1,0,0,1,0,0,0,0,27,0,0,0,1,1,0,1,35,1,0,0,0,1,0
1,0,4,7,4,0,0,0,1,1,0,0,0,1,0,0,12,0,0,0,0,1,0,0,6,1,1,0,0,1,0
0,0,9,17,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,1,0
1,0,14,0,0,1,0,0,0,0,0,0,1,0,0,0,19,0,1,0,1,1,0,0,0,0,1,0,0,0,0
0,0,6,7,6,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,2,1,0,1,32,1,0,0,0,1,1
1,0,41,22,13,0,0,1,1,0,0,0,0,0,0,0,23,1,0,1,6,1,0,1,47,1,1,0,0,1,0
0,0,6,29,11,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,48,1,1,0,0,1,0
0,0,8,15,7,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,11,1,0,0,0,1,1
0,0,7,19,9,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,31,1,1,0,0,1,0
0,0,51,37,13,1,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,1,0,1,36,1,0,0,0,1,0
0,0,7,12,5,1,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,35,1,1,0,0,1,0
0,0,5,18,10,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,1,16,1,0,0,0,1,0
0,0,1,18,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,3,18,8,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,8,0,0,0,0,1,0
0,0,15,23,12,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,41,1,0,0,0,1,0
0,0,7,13,5,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,18,1,1,0,0,1,0
1,0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,21,0,0,0,1,1,0,1,0,0,1,0,0,0,0
0,0,26,9,7,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,4,1,0,1,49,1,0,0,0,1,0
1,0,24,21,7,1,0,1,1,0,0,0,0,0,0,0,16,0,0,0,3,1,0,1,54,1,1,0,0,1,0
1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,1,1,1,0,0,0
0,0,47,14,5,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,3,1,0,1,49,1,0,0,0,1,0
0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,3,19,8,0,0,1,0,0,0,1,0,0,0,0,25,0,0,0,1,1,0,1,9,0,0,0,0,1,1
1,1,17,34,11,1,0,0,1,0,0,1,0,1,0,1,19,0,1,0,2,1,0,0,37,0,1,0,0,1,0
0,0,4,15,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,14,1,0,0,0,1,0
0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,9,1,0,0,0,1,0
0,0,13,20,9,1,0,0,1,1,0,0,1,0,0,0,14,0,0,1,1,1,0,1,53,1,1,0,0,1,0
