n_api_calls,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getSubscriberId,n_activities,suspicious_getExternalStorageDirectory,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_SCREEN_OFF,suspicious_getDeviceId,n_providers,suspicious_sendTextMessage,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,n_used_permissions,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_DOWNLOAD_COMPLETE,intent_com_baoruan_launcher3_ACTION_THEME,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ljava_lang_System___load,perm_android_permission_VIBRATE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,n_urls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,n_receivers,suspicious_Base64,perm_android_permission_RECEIVE_USER_PRESENT,intent_android_net_wifi_WIFI_STATE_CHANGED,label
37,1,1,0,1,1,13,1,1,0,1,1,1,0,10,0,0,0,0,0,1,0,0,21,1,43,6,1,0,0,0
30,0,0,1,0,0,22,1,1,0,1,1,0,0,9,0,0,0,1,1,0,1,0,29,0,7,10,1,0,0,0
22,0,0,0,0,0,13,1,1,0,1,2,0,0,7,0,0,0,1,1,0,1,1,33,0,10,4,1,0,0,0
19,0,0,0,0,0,12,1,0,0,1,1,0,0,9,0,0,0,1,0,0,1,1,65,0,8,5,1,0,0,0
44,0,0,0,0,0,43,1,1,0,1,0,0,0,16,0,0,0,0,1,1,0,1,116,0,11,2,1,0,0,0
42,0,0,0,1,0,8,1,0,0,1,1,0,0,12,0,0,0,1,1,1,1,0,58,0,17,5,1,0,0,0
8,0,0,0,0,0,22,1,0,0,1,0,0,0,5,0,0,0,1,1,0,1,0,59,0,8,6,1,0,0,0
39,0,0,0,0,0,1,1,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,51,0,11,0,1,0,0,0
16,0,0,0,0,0,4,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,14,0,2,0,1,0,0,0
11,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,8,0,2,0,1,0,0,0
26,0,0,0,0,0,7,1,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,48,0,6,1,1,0,0,0
8,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,2,0,1,0,0,1
18,0,0,0,0,0,7,1,0,0,1,1,0,0,7,0,0,0,1,0,0,1,0,45,0,8,6,1,0,0,1
20,0,0,0,0,0,42,1,0,0,1,2,0,0,8,0,0,0,1,1,0,0,1,27,0,4,4,1,0,0,0
15,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,18,0,3,0,1,0,0,0
6,0,0,0,0,0,5,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,34,0,5,0,1,0,0,0
14,0,0,0,0,0,8,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,28,0,3,0,1,0,0,0
17,0,0,0,0,0,2,1,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0,4,0,1,0,1,0,0,1
6,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0
27,0,0,0,0,1,1,1,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,8,0,6,1,0,0,0,0
23,0,0,0,0,0,18,1,0,0,1,0,0,0,11,0,0,0,0,1,0,0,1,62,0,2,3,1,0,0,0
24,1,0,0,1,1,6,1,1,0,1,0,0,0,10,0,0,0,0,1,1,0,0,460,0,12,1,1,0,0,0
12,0,0,0,0,0,7,1,0,0,1,0,0,0,5,0,0,0,1,0,1,1,0,19,0,26,4,1,0,0,0
65,0,0,1,1,1,20,1,1,0,1,3,1,1,16,1,1,0,0,1,1,0,1,104,1,28,4,1,1,0,0
13,0,0,0,0,0,6,1,0,0,1,2,0,0,7,0,0,0,1,1,0,1,1,31,0,8,4,1,0,0,0
18,0,0,0,0,0,18,1,0,0,1,1,0,0,7,0,0,0,1,0,0,1,1,33,0,7,4,1,0,0,1
15,0,0,1,0,1,7,1,1,0,1,1,0,0,5,1,0,0,0,1,1,0,0,28,1,14,4,1,1,0,1
20,0,0,0,0,0,9,1,0,0,1,1,0,0,7,0,0,0,1,0,1,1,1,31,0,13,6,1,0,0,0
12,0,0,0,0,0,6,1,0,0,0,1,0,0,8,0,0,0,0,1,0,0,1,27,0,4,2,1,0,0,0
0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
19,0,0,0,0,0,3,1,0,0,1,2,0,0,7,0,0,0,0,1,0,0,0,3,0,7,3,0,0,0,0
73,1,1,1,1,1,74,1,1,0,1,0,1,1,19,1,1,0,0,1,1,0,0,132,1,45,4,1,0,0,0
31,0,0,0,0,0,12,1,0,0,1,2,0,0,9,0,0,0,1,0,1,1,1,46,0,20,8,1,0,0,0
27,0,1,0,1,1,65,1,0,0,1,2,0,0,11,0,0,0,0,1,1,0,1,72,1,29,6,1,1,0,0
17,0,0,0,0,0,2,1,0,0,1,1,0,0,6,0,0,0,1,0,0,1,1,41,0,5,4,1,0,0,0
22,0,0,0,1,0,12,1,0,0,1,2,0,0,10,0,0,0,1,1,0,1,1,35,0,17,11,1,0,0,0
13,0,0,0,0,0,4,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,9,0,6,0,1,0,0,0
15,0,0,0,0,0,10,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,32,0,6,1,1,0,0,0
28,0,0,0,0,0,17,1,0,0,1,5,0,0,14,0,0,0,1,1,1,1,1,104,0,13,12,1,0,0,1
47,0,0,0,0,0,12,1,0,0,1,0,0,0,12,0,0,0,1,1,0,1,1,49,0,16,3,1,0,0,0
18,0,0,0,0,0,7,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,13,0,2,0,1,0,0,0
46,0,0,0,0,0,5,1,0,0,1,1,1,0,13,0,0,0,1,1,1,1,0,18,0,10,3,1,0,0,0
70,1,0,0,1,1,125,1,1,0,1,0,0,0,17,0,0,0,0,1,1,0,0,220,1,37,8,1,1,0,0
