n_urls,n_used_permissions,n_api_calls,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getExternalStorageDirectory,n_activities,suspicious_getDeviceId,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,n_permissions,suspicious_getSubscriberId,perm_com_android_vending_BILLING,n_receivers,n_providers,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_services,perm_android_permission_SET_WALLPAPER,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_EXTERNAL_STORAGE,intent_com_android_vending_INSTALL_REFERRER,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_system_bin_su,perm_android_permission_CAMERA,perm_android_permission_WRITE_SETTINGS,intent_com_google_vr_vrcore_ACTION_NONE,intent_android_accounts_AccountAuthenticator,intent_com_umeng_message_message_handler_action,intent_com_mobiletool_appstore_action_wap,perm_com_yulong_android_launcherL_permission_READ_SETTINGS,intent_android_intent_action_USER_PRESENT,label
111,12,29,1,1,313,1,1,1,7,1,0,7,19,0,17,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
38,9,27,0,1,22,1,1,1,14,0,0,3,1,1,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,3,11,0,1,1,1,1,1,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,18,0,1,11,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,10,43,0,1,14,0,1,1,17,0,0,4,0,1,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
4,7,18,0,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,10,34,0,1,5,1,1,1,9,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24,8,19,1,1,6,1,0,0,8,0,0,5,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
26,2,7,0,1,39,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,14,31,1,1,39,1,1,1,15,1,1,7,7,1,10,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
