intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_PACKAGE_CHANGED,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_RESTARTED,perm_android_permission_ACCESS_COARSE_LOCATION,n_api_calls,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_QUICKBOOT_POWERON,n_providers,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_GET_TASKS,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_SEND_SMS,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,n_urls,n_permissions,n_receivers,n_services,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_VIEW,perm_android_permission_NFC,label
0,0,0,0,0,0,14,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,44,2,0,1,0,0,0,0
0,0,0,0,0,0,16,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,21,3,2,2,0,0,0,0
0,0,0,0,0,1,16,0,0,0,2,9,0,0,1,0,0,0,1,0,0,1,0,136,12,3,4,0,1,0,0
0,0,0,0,0,1,22,0,0,0,1,6,0,0,1,0,0,0,1,0,0,1,0,27,12,4,5,0,0,0,0
0,0,0,0,0,1,53,0,0,0,1,22,1,0,0,0,0,0,0,0,0,0,0,77,7,1,3,1,0,0,0
0,0,0,0,0,0,28,0,0,0,4,15,1,1,1,0,0,0,1,0,0,1,1,51,9,7,9,0,1,0,1
0,0,0,0,0,1,14,0,0,0,1,6,0,0,1,0,0,0,1,0,0,0,0,18,11,2,5,0,0,0,0
0,0,0,0,0,0,34,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0,0,43,5,0,0,0,0,0,0
0,0,0,0,0,0,18,0,0,1,1,9,1,1,1,0,1,0,1,0,0,1,1,23,30,7,14,1,0,0,0
0,0,0,0,0,0,6,0,0,0,1,5,1,1,1,0,0,0,1,0,0,1,0,24,7,4,2,0,0,0,0
0,0,0,0,0,0,23,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0
0,0,0,0,0,0,29,0,0,0,1,14,1,0,0,0,0,0,0,0,0,0,0,60,4,0,0,0,0,0,0
0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,21,0,0,0,1,10,0,0,1,0,0,0,1,0,0,0,0,16,14,1,3,0,1,0,0
1,1,0,0,0,1,57,0,0,0,1,18,0,0,0,1,1,0,0,0,0,0,0,237,36,7,20,1,1,0,0
0,0,0,0,0,0,24,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,22,2,1,2,0,0,0,0
0,0,0,0,0,0,8,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0
1,1,0,1,0,0,44,0,0,0,0,11,0,0,0,0,1,1,0,1,0,0,0,216,14,2,5,0,0,0,1
0,0,0,0,0,1,18,0,0,0,1,8,1,0,0,0,0,0,1,0,0,0,0,23,11,1,2,0,0,0,0
0,0,0,0,0,1,14,0,0,0,1,6,0,0,1,0,0,0,1,0,0,0,0,18,11,2,5,0,0,0,0
0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0
0,0,0,0,0,0,12,0,0,1,0,5,1,0,1,0,1,0,1,0,0,0,0,22,21,5,4,1,0,0,0
0,0,0,0,0,0,22,0,0,0,2,10,1,1,1,0,0,0,1,0,0,1,0,33,8,4,3,0,0,0,0
0,0,0,0,0,0,20,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20,6,1,0,0,0,0,0
0,0,0,1,0,0,38,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,47,4,1,0,0,0,0,0
0,0,0,0,0,0,20,0,0,0,2,7,1,1,1,0,0,0,1,0,0,1,1,12,7,9,7,0,1,0,0
