n_urls,n_api_calls,perm_android_permission_READ_PHONE_STATE,n_activities,suspicious_getDeviceId,suspicious_getExternalStorageDirectory,n_used_permissions,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_getSubscriberId,suspicious_Ldalvik_system_DexClassLoader_,n_providers,suspicious_sendTextMessage,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ljava_lang_System___load,suspicious_Ldalvik_system_PathClassLoader_,suspicious_Ljava_lang_System___loadLibrary,suspicious_getPackageInfo,n_services,perm_com_android_vending_BILLING,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_VIEW,n_receivers,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_SET_WALLPAPER,n_permissions,perm_android_permission_SEND_SMS,perm_android_permission_FLASHLIGHT,intent_com_google_android_gms_measurement_UPLOAD,intent_show_lock_set_email,perm_android_permission_READ_CELL_BROADCASTS,label
120,9,0,4,1,1,4,1,0,1,1,0,0,0,0,0,1,1,0,1,0,2,1,0,11,0,0,1,0,0,0
2,18,0,1,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
12,13,0,4,0,1,5,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
253,15,0,362,1,1,6,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,0,1,0,0,0,0
9,4,1,5,1,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
46,23,0,2,1,1,11,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,8,0,0,0,0,0,0
19,4,1,43,1,0,3,1,0,0,1,0,0,0,0,0,1,2,0,1,1,3,1,0,11,0,0,0,0,0,0
46,19,0,21,1,1,8,1,0,0,1,0,0,1,1,1,1,6,0,1,1,7,1,0,18,0,0,0,0,0,0
54,8,0,24,1,1,5,1,0,0,1,0,0,1,0,1,1,6,0,1,0,2,1,0,11,0,0,0,0,0,0
30,25,0,3,1,1,11,1,0,1,1,0,0,0,1,0,1,6,0,1,0,3,1,0,11,0,0,0,0,0,0
25,12,0,11,1,1,6,1,0,1,0,0,0,0,1,0,1,7,0,0,0,1,0,0,5,0,0,0,0,0,0
16,36,1,22,1,1,10,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,21,0,1,0,0,0,0
24,27,1,11,1,1,9,1,0,1,1,0,0,0,1,0,1,3,0,0,0,2,0,0,10,0,0,0,0,0,0
0,5,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
8,4,0,5,1,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0
55,30,1,13,1,1,12,1,0,1,6,0,0,1,1,1,1,7,1,1,1,4,1,0,10,0,0,0,0,0,0
77,18,1,32,1,1,8,1,0,1,6,0,1,0,1,0,1,13,1,1,1,15,1,0,14,0,0,0,0,0,0
17,14,0,3,1,1,6,1,0,1,1,0,0,0,0,0,1,5,0,1,0,2,1,0,8,0,0,1,0,0,0
19,13,0,6,0,1,5,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
39,26,0,9,1,1,9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
1,10,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,0,6,0,1,5,1,0,1,3,0,0,0,1,0,1,5,0,1,0,3,1,0,5,0,0,0,0,0,0
15,28,0,4,1,1,9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,0,0,0,0,0,1
10,15,0,10,1,1,6,1,0,0,1,0,0,0,1,0,1,6,0,1,0,5,1,0,9,0,0,0,0,0,0
4,3,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5,53,0,1,1,1,17,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,14,0,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
57,26,0,21,1,1,14,1,0,1,3,0,0,0,1,0,1,12,0,1,1,9,1,0,28,0,0,0,0,0,0
35,29,0,2,1,1,11,1,0,1,0,0,0,0,0,0,1,4,0,1,0,5,1,0,16,0,0,0,0,0,0
1,39,0,9,1,1,9,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
174,96,1,11,1,1,21,1,1,1,0,0,0,1,0,1,1,9,0,0,1,6,0,0,31,1,0,0,0,0,1
54,5,0,17,1,1,4,1,0,0,0,0,0,0,0,0,1,2,0,1,1,2,1,0,9,0,0,0,0,0,0
48,23,0,11,1,1,9,1,0,1,1,0,0,0,1,0,1,9,0,1,0,7,1,0,12,0,0,0,0,0,0
9,13,0,3,1,1,5,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
118,14,0,70,1,1,6,1,0,1,0,0,0,0,0,0,1,7,0,1,1,5,1,0,12,0,0,0,0,0,0
48,29,0,7,1,1,11,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
