perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_ACCESS_COARSE_LOCATION,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_getSubscriberId,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_SEND_SMS,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_sendTextMessage,perm_android_permission_READ_LOGS,suspicious_getCellLocation,n_api_calls,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_permissions,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_PACKAGE_INSTALL,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_WRITE_SMS,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PHONE_STATE,perm_com_google_android_c2dm_permission_RECEIVE,n_providers,n_services,intent_aspire_iap_SMS_SEND_ACTIOIN,label
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,25,1,15,1,1,0,1,0,0,0,1,6,8,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,27,1,8,0,0,0,1,0,0,0,1,1,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,5,0,0,0,0,0,0,0,0,2,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,1,8,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,25,1,33,0,1,0,1,0,0,0,1,3,10,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,1,9,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1,12,0,0,0,0,0,0,0,1,2,5,0,0
1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,8,0,1,0,0,0,0,0,0,0,5,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,9,0,1,0,0,0,0,0,0,0,4,0,0
1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,19,1,1,0,0,1,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19,0,6,0,0,0,1,0,0,0,1,1,5,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,29,1,9,0,1,0,1,0,0,0,1,1,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24,1,10,0,0,0,1,0,0,0,1,3,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,3,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30,0,4,0,1,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,10,1,16,1,1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,31,1,15,0,1,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,4,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,8,0,0,0,0,0,0,0,1,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,1,8,0,0,0,0,0,0,0,1,1,10,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,5,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,8,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,45,1,37,1,1,0,0,1,1,0,0,2,4,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,1,6,0,1,0,0,0,0,0,0,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,3,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,1,4,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,28,0,9,0,0,0,1,0,0,0,1,1,9,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,6,0,0,0,0,0,0,0,0,0,3,0,0
1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,13,0,0,0,0,0,0,0,1,1,2,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,7,0,1,0,0,0,0,0,1,0,3,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,32,1,10,0,1,0,1,0,0,0,1,2,7,0,0
0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,24,1,30,1,1,0,1,0,1,0,1,7,26,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,3,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,26,1,14,0,0,0,1,0,0,0,1,9,10,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18,1,7,0,0,0,1,0,0,0,1,1,7,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,20,1,7,0,1,0,0,0,0,0,0,2,0,0,0
1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,42,1,21,0,1,0,1,0,1,0,1,5,12,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,0,21,0,0,0,0,0,0,0,1,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,1,6,0,0,0,0,0,0,0,1,1,9,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,18,1,12,0,1,0,0,0,0,0,0,2,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,1,10,0,0,0,0,0,0,0,1,1,3,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19,1,24,0,0,0,0,0,0,0,1,0,5,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,5,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,1,3,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,15,0,1,0,1,0,0,0,1,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,56,1,10,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,22,0,5,0,0,0,0,0,0,0,1,2,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,21,1,8,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,26,1,29,0,1,0,0,0,0,0,1,4,15,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,20,1,12,0,0,0,1,0,0,0,1,4,23,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,1,7,0,0,0,0,0,0,0,1,3,7,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,4,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,5,0,0,0,1,0,0,0,1,2,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,4,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,1,13,0,0,0,0,0,0,0,1,3,6,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,1,12,0,1,0,1,0,0,0,1,1,6,0,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21,1,11,0,0,0,0,0,0,0,1,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,42,1,1,0,0,1,1,0,0,0,12,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,31,1,11,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,27,1,24,0,1,0,0,0,1,0,1,3,9,0,1
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,27,1,8,0,1,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20,1,9,0,1,0,1,0,0,0,1,3,12,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,26,1,11,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22,1,6,0,1,0,0,0,0,0,0,3,7,0,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,1,17,0,0,0,0,0,0,0,1,1,3,0,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,52,1,14,0,1,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,47,1,23,1,1,0,0,0,1,0,0,0,3,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,5,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,11,0,1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,5,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,1,6,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,38,1,6,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,23,1,23,0,1,0,0,0,0,0,0,0,3,0,0
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,25,1,30,0,1,0,1,0,0,0,1,4,6,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,31,1,10,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,25,1,30,0,0,0,1,0,0,0,1,2,15,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,1,8,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,28,0,24,0,0,0,0,0,0,0,1,1,8,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,1,5,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,1,9,0,0,0,1,0,0,0,1,3,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,3,0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,61,1,19,0,1,0,1,0,0,0,1,2,8,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,3,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,1,12,0,0,0,0,0,0,0,1,1,3,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,22,1,23,1,1,0,0,0,1,0,1,1,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,29,0,7,0,1,0,0,0,0,0,1,4,4,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,1,17,0,1,0,0,0,0,0,1,0,21,0,0
1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,68,1,63,1,1,0,0,0,1,0,0,12,29,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,23,1,8,0,0,0,0,0,0,0,1,0,5,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,1,28,0,0,0,0,0,0,0,1,1,3,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,19,1,18,0,1,0,1,0,0,0,1,1,9,0,0
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,20,1,8,0,0,0,1,0,0,0,1,2,5,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,21,1,10,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21,0,6,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,9,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,40,0,11,0,1,0,0,0,1,0,1,0,5,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,23,1,15,0,1,0,1,0,0,0,1,2,18,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1,7,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,1,7,0,0,0,0,0,0,0,1,3,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,23,1,9,0,0,0,0,0,0,0,1,0,5,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,21,1,12,0,0,0,1,0,0,0,1,1,4,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,1,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,9,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,13,1,34,0,1,0,1,0,1,0,1,1,10,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,1,7,0,1,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18,1,8,0,1,0,1,0,0,0,1,2,2,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,37,1,7,1,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,17,0,16,0,1,0,0,0,0,0,1,0,6,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,1,17,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17,1,9,0,0,0,1,0,0,0,1,1,5,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,23,0,9,0,1,0,1,0,0,0,1,2,7,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,31,1,7,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,53,1,7,0,1,0,0,0,0,0,0,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,5,0,0,0,0,0,0,0,0,0,3,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,1,24,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18,0,5,0,0,0,1,0,0,0,1,1,5,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,1,6,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,21,1,26,0,1,0,0,0,0,0,1,1,10,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,1,8,0,0,0,1,0,0,0,1,5,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,7,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,1,9,0,1,0,0,0,0,0,0,2,9,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,28,1,4,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,40,1,29,1,1,0,0,0,1,0,0,4,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,38,1,27,0,1,0,1,0,1,0,1,3,7,0,0
1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,28,1,29,0,1,0,0,0,1,0,0,3,10,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,4,0,1,0,0,0,0,0,0,0,36,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,69,1,124,1,1,0,0,1,1,1,0,17,56,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,36,1,12,0,1,0,0,0,0,0,0,0,4,0,0
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,56,1,21,0,0,0,0,0,0,0,1,0,9,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,1,11,0,0,0,0,0,0,1,1,1,11,0,0
