perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_CHANGE_CONFIGURATION,n_permissions,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PHONE_STATE,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_providers,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_android_permission_CHANGE_NETWORK_STATE,intent_android_intent_action_PACKAGE_FULLY_REMOVED,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_READ_SETTINGS,intent_android_intent_action_CREATE_SHORTCUT,intent_android_net_wifi_supplicant_CONNECTION_CHANGE,intent_com_snowfish_a_a_s_ABGSvc,perm_com_android_launcher_permission_READ_SETTINGS,intent_android_intent_action_MEDIA_EJECT,intent_android_intent_action_MEDIA_UNMOUNTED,n_services,intent_android_intent_action_MEDIA_MOUNTED,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_Base64,label
0,0,0,0,0,0,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,19,0,1,1,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,16,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,14,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0
0,1,0,0,1,1,0,14,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0
0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,11,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0
0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,1,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0
0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0
0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,34,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,12,0,1,1,0
0,0,0,0,0,0,0,10,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0
0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,0,1,1,0,0,24,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,0,24,0,1,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,1,1
0,0,0,0,0,0,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
