perm_android_permission_READ_PHONE_STATE,n_api_calls,suspicious_getCellLocation,perm_android_permission_GET_TASKS,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getSubscriberId,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_USER_PRESENT,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_MESSAGING_EVENT,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_READ_LOGS,perm_android_permission_WRITE_SETTINGS,perm_com_google_android_c2dm_permission_RECEIVE,n_services,n_providers,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_PACKAGE_ADDED,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_SYSTEM_ALERT_WINDOW,n_receivers,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_permissions,suspicious_getCellSignalStrength,n_used_permissions,label
1,21,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,4,0,0,1,0,3,1,12,0,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0
1,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,13,0,7,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,6,0
1,34,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,13,1,1,0,1,1,6,0,23,0,11,0
0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,10,0
0,58,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,1,0,6,1,22,0
1,51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,9,1,1,0,1,0,7,0,23,0,16,0
0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0
0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,0,1,0,0,0,1,0,6,0,6,0
0,34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,2,1,0,1,1,8,1,15,0,13,0
0,43,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,2,1,0,0,0,4,0,9,1,12,0
0,61,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,17,1,16,0
