suspicious_getExternalStorageDirectory,n_urls,n_api_calls,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,n_activities,suspicious_getDeviceId,n_permissions,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,perm_android_permission_SET_WALLPAPER,n_receivers,perm_android_permission_SEND_SMS,suspicious_sendTextMessage,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSubscriberId,n_services,n_providers,perm_android_permission_CAMERA,perm_android_permission_VIBRATE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,perm_android_permission_ACCESS_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_GET_TASKS,intent_com_kingroot_common_ACTION_SWITCH_OUT_DESKTOP,intent_android_intent_action_USER_PRESENT,intent_com_excelliance_open_action_fw,intent_android_intent_action_PUSH_NOTIFY_ALARM,label
1,21,18,7,1,5,1,10,0,0,0,4,0,0,0,0,5,1,0,0,1,0,1,0,1,0,0,0,0,0,0
1,10,18,6,0,3,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,18,22,10,1,10,0,7,1,1,0,3,0,0,0,0,5,1,0,0,1,1,1,0,1,0,0,0,0,0,0
1,109,22,8,1,53,1,8,1,1,0,7,0,0,1,0,18,5,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,7,0,42,0,0,0,6,1,0,1,0,12,0,1,1,0,1,0,1,0,1,0,1,0,0,0
1,1,5,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,77,30,10,1,27,1,17,0,0,0,10,0,0,1,0,10,1,0,0,1,1,0,1,1,0,0,0,0,0,0
1,14,4,4,0,6,1,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,17,18,6,0,27,0,4,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,151,20,9,1,38,1,21,1,1,0,5,0,0,1,0,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0
1,45,32,13,1,20,1,19,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
1,27,28,8,0,5,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,276,52,16,1,124,1,20,1,1,0,9,0,0,1,1,13,9,1,1,1,1,0,1,1,1,0,0,0,0,0
1,1,11,3,0,1,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,66,22,9,1,6,1,5,0,0,0,5,0,0,0,0,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,66,33,14,1,14,1,18,0,0,0,8,0,0,0,0,9,5,0,1,1,0,0,1,1,0,0,0,0,0,0
1,18,12,5,0,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,18,8,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,23,22,10,1,4,0,5,0,0,0,2,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,23,21,11,1,10,1,7,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,69,21,8,1,8,1,6,0,0,0,5,0,0,0,0,7,1,0,0,1,0,0,1,1,0,0,0,0,0,0
1,49,20,12,1,4,0,5,0,0,0,4,0,0,0,0,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0
1,111,29,12,1,313,1,7,1,1,0,7,0,0,0,1,17,19,0,0,1,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,155,0,34,1,1,0,7,0,0,1,0,9,0,1,1,1,1,0,1,0,1,0,0,0,0,0
1,18,16,7,0,3,0,6,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,24,19,8,1,6,1,8,0,0,0,5,0,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0
1,34,19,7,0,9,1,9,0,0,0,7,0,0,0,0,8,2,0,1,0,0,0,0,1,0,0,0,0,0,0
1,37,19,8,0,3,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,26,7,2,0,39,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,167,26,10,1,53,1,17,1,1,0,9,0,0,1,1,13,2,1,1,1,1,0,1,1,0,0,0,0,0,0
1,92,17,8,1,47,1,6,0,0,0,3,0,0,1,0,11,3,0,0,0,0,0,0,1,0,0,0,0,0,0
1,66,31,14,1,39,1,15,1,1,0,7,0,1,1,1,10,7,0,1,1,0,1,1,1,0,0,0,0,0,0
1,25,20,8,1,6,1,8,0,0,0,4,1,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,48,24,10,0,11,1,12,1,1,1,1,0,0,1,0,3,1,1,1,0,1,0,1,1,0,0,0,0,0,0
1,57,26,13,1,9,1,15,1,1,0,4,0,0,1,1,5,2,0,1,1,1,0,1,1,0,0,0,0,0,0
1,42,9,6,0,9,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,18,7,1,10,1,4,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,38,27,9,0,22,1,14,1,1,0,3,1,1,1,0,9,1,0,1,0,1,0,0,1,0,0,0,0,0,0
1,203,66,17,0,47,1,32,1,1,0,4,0,0,1,1,4,0,1,1,0,1,0,1,0,1,0,1,0,0,0
1,120,9,4,0,4,1,11,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,26,25,9,1,5,1,6,1,1,0,4,0,0,0,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0
0,1,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,30,14,6,1,12,1,6,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,28,19,10,1,6,1,5,0,0,0,3,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,70,23,13,1,20,1,27,1,1,0,8,0,0,0,0,14,7,0,1,1,0,1,0,1,0,0,0,0,0,0
1,49,43,10,0,14,0,17,1,1,0,4,0,0,1,0,6,0,1,1,1,0,0,0,1,0,0,0,0,0,0
1,16,21,9,1,4,0,28,1,1,0,7,0,0,1,0,12,2,0,1,0,1,1,0,1,0,0,0,0,0,0
1,17,24,10,1,25,1,7,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1
1,47,11,7,0,34,1,9,0,0,0,2,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,83,27,11,0,19,1,19,0,0,0,9,0,0,1,0,10,3,1,1,1,1,0,0,1,0,0,0,0,0,0
0,10,5,3,0,3,1,8,1,1,0,3,0,0,1,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1,32,20,9,1,5,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,62,38,13,0,67,1,16,1,1,0,5,0,0,1,0,4,1,1,1,1,0,1,0,1,0,0,0,0,0,0
1,4,18,7,0,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,19,18,8,1,4,1,6,0,0,0,5,0,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,40,41,11,1,13,1,7,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,36,17,7,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,6,5,1,8,1,5,0,0,0,3,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0
1,9,19,7,1,3,0,25,0,0,0,6,0,0,0,0,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,18,9,4,0,7,0,10,1,1,0,4,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
1,20,19,8,1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
