suspicious_getSubscriberId,suspicious_sendTextMessage,n_api_calls,suspicious_Landroid_telephony_SmsMessage___getMessageBody,n_permissions,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_VIBRATE,perm_,n_services,perm_android_permission_READ_PHONE_STATE,n_used_permissions,n_receivers,suspicious_getCellLocation,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_SEND_SMS,intent_com_amir_nightjar_service_CONFIG_SERVICES,perm_android_permission_ACCESS_WIFI_STATE,intent_android_provider_Telephony_SMS_RECEIVED,intent_android_intent_action_PHONE_STATE,n_urls,suspicious_Base64,intent_com_amir_nightjar_service_BUFFER_SERVICES,suspicious_getDeviceId,intent_android_intent_action_BOOT_COMPLETED,n_activities,intent_android_intent_action_MY_PACKAGE_REPLACED,suspicious_Cipher,n_providers,intent_android_intent_action_USER_PRESENT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,label
0,0,29,0,18,1,1,0,20,0,12,10,0,1,0,0,1,0,0,31,1,0,1,1,45,0,1,10,0,0,0
0,0,15,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,1,0,0,0,3,0,1,0,0,0,0
0,0,12,0,9,0,0,0,4,0,4,4,0,1,0,0,1,0,0,14,1,0,0,0,3,0,1,0,0,0,0
0,1,24,0,25,1,0,0,6,1,12,4,0,0,1,0,1,0,1,5,1,0,1,1,2,1,1,0,0,0,0
0,0,19,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,1,0,1,0,8,0,1,0,0,0,0
0,0,23,0,6,0,0,0,11,0,9,8,0,1,0,0,0,0,0,75,1,0,1,0,10,0,1,1,0,0,0
0,0,22,0,3,1,0,0,0,0,9,0,0,0,0,0,0,0,0,24,1,0,1,0,12,0,1,1,0,0,0
0,0,16,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0
0,0,15,0,5,0,1,0,9,0,6,8,0,0,0,0,0,0,0,49,1,0,1,1,8,1,1,1,0,0,0
0,0,11,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,1,0,1,0,3,0,1,0,0,0,0
0,0,3,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,13,1,0,1,0,8,0,0,4,0,0,1
0,0,17,0,2,0,0,0,0,0,7,1,0,0,0,0,0,0,0,19,1,0,0,0,2,0,1,0,0,0,1
0,0,15,0,28,0,1,0,12,0,8,9,0,1,0,0,1,0,0,124,1,0,1,1,53,0,1,3,0,0,0
0,0,24,0,12,0,1,0,1,0,9,1,1,0,0,0,1,0,0,130,1,0,1,1,35,0,1,1,0,0,0
0,0,19,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,26,1,0,1,0,13,0,1,1,0,0,0
0,0,27,0,29,1,1,0,9,0,11,7,0,1,0,0,0,0,0,25,1,0,1,1,8,1,1,4,0,0,0
0,0,47,0,25,0,1,0,12,1,10,6,0,1,0,0,1,1,1,33,1,0,1,1,24,0,1,2,0,0,0
0,0,23,0,19,0,1,0,8,0,8,11,1,1,0,0,1,0,0,48,1,0,1,1,14,1,1,1,0,0,0
0,0,20,0,9,0,0,0,5,0,7,4,0,1,0,0,0,0,0,11,1,0,1,0,39,0,1,2,0,0,0
1,1,57,0,47,1,1,0,20,1,22,10,1,0,0,0,1,0,0,332,1,0,1,1,351,0,1,8,1,1,0
1,1,63,1,8,1,0,0,5,1,17,5,1,0,0,0,1,0,0,106,1,0,1,1,36,0,1,0,0,0,0
0,0,16,0,12,0,0,0,3,0,7,6,0,1,0,0,0,0,0,39,1,0,1,0,26,1,1,0,0,0,1
0,0,13,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,32,1,0,1,0,4,0,1,0,0,0,0
0,0,18,0,7,0,0,0,5,1,9,4,0,1,0,0,0,0,0,29,1,0,1,0,25,0,1,1,0,0,0
0,0,9,0,4,0,0,0,0,0,5,1,1,0,0,0,1,0,0,56,1,0,1,0,14,0,1,0,0,0,0
0,0,23,0,15,1,0,0,10,1,9,3,0,1,0,0,0,0,0,72,1,0,1,0,28,0,1,2,0,0,0
0,0,19,0,7,0,0,0,5,0,7,4,0,1,0,0,0,0,0,40,1,0,1,0,16,0,1,1,0,0,0
