intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_com_android_launcher_permission_READ_SETTINGS,n_urls,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_sendTextMessage,perm_android_permission_READ_PHONE_STATE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_android_intent_action_CREATE_SHORTCUT,n_providers,perm_android_permission_ACCESS_FINE_LOCATION,perm_com_android_launcher3_permission_READ_SETTINGS,intent_android_intent_action_DELETE,suspicious_system_bin_su,perm_android_permission_SEND_SMS,perm_android_permission_READ_SMS,perm_android_permission_WRITE_SMS,suspicious_Landroid_telephony_SmsMessage___getMessageBody,n_permissions,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_CHANGE_WIFI_STATE,suspicious_getSubscriberId,perm_android_permission_CHANGE_CONFIGURATION,perm_com_google_android_c2dm_permission_RECEIVE,n_services,suspicious_Ldalvik_system_DexClassLoader_,n_activities,label
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,370,0,1,1,1,0,1,0,0,3,1,0,0,0,0,1,0,0,31,1,1,1,0,1,7,1,193,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,1,14,1
0,1,0,15,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,13,1,0,0,0,0,2,0,4,0
1,1,0,22,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,41,1,1,1,0,0,7,1,16,0
0,0,0,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,4,0
0,0,0,73,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,48,0
0,0,0,41,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,3,1,70,0
0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,9,0
0,0,0,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,1,5,0
0,0,0,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,0
0,0,0,37,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,13,1,0,0,0,1,3,1,10,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0
0,0,0,84,1,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,16,1,0,0,0,1,14,1,36,0
1,0,0,64,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,1,22,0
1,1,0,120,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,27,1,1,1,0,0,5,1,107,1
0,0,0,31,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,1,4,1,6,0
0,0,0,95,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,11,1,0,0,0,1,7,1,41,0
0,0,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,7,0
0,0,0,86,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,8,1,13,0
0,0,0,23,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,16,1,1,1,0,0,1,1,11,0
0,0,0,118,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,0,0,0,1,7,1,70,0
0,0,0,21,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,1,6,1,6,0
