perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,n_api_calls,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_android_intent_action_PHONE_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,intent_android_intent_action_SCREEN_ON,intent_android_intent_action_PACKAGE_FULLY_REMOVED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,intent_android_intent_action_ACTION_POWER_CONNECTED,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_ACTION_POWER_DISCONNECTED,suspicious_Base64,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_CHANGE_CONFIGURATION,perm_android_permission_KILL_BACKGROUND_PROCESSES,intent_android_intent_action_SCREEN_OFF,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_ACCESS_WIFI_STATE,n_used_permissions,n_activities,intent_android_intent_action_QUICKBOOT_POWERON,suspicious_Cipher,n_urls,label
0,0,0,0,28,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,10,17,0,1,36,1
0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,1,14,0
0,0,0,0,19,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,10,3,0,1,24,0
0,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,7,4,0,1,19,0
1,0,0,1,24,0,0,0,0,0,0,0,17,0,1,0,0,1,0,0,0,0,0,1,1,10,36,0,1,113,0
0,0,1,0,20,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,9,65,0,1,46,0
0,0,0,0,28,0,0,0,0,0,0,0,24,0,1,0,0,1,0,0,0,0,1,0,0,12,20,1,1,37,0
0,0,0,1,15,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,1,7,6,0,1,14,0
1,0,0,1,0,1,0,0,0,0,0,1,22,0,1,1,0,0,0,0,0,0,0,1,1,0,46,0,0,0,0
0,0,0,1,22,0,0,0,0,0,0,0,23,0,1,1,0,1,0,0,0,0,1,1,1,11,85,0,1,171,0
1,1,1,1,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,5,0
1,0,0,1,31,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,10,8,0,1,41,0
0,0,0,0,25,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,11,35,0,1,94,0
