intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_CHANGED,intent_android_intent_action_PACKAGE_REMOVED,n_api_calls,n_providers,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_GET_TASKS,intent_cryopiggy_start,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_QUICKBOOT_POWERON,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_COARSE_LOCATION,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_PACKAGE_REPLACED,intent_android_app_action_DEVICE_ADMIN_ENABLED,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_EXTERNAL_APPLICATIONS_AVAILABLE,perm_android_permission_CHANGE_NETWORK_STATE,n_urls,n_activities,n_receivers,n_services,n_used_permissions,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,intent_android_intent_action_VIEW,label
0,0,0,0,0,22,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,32,6,3,4,10,1,1,0,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,1,7,0,0,0,0
0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,0,0,0,1
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,2,4,0,1,0,0
0,0,0,0,0,14,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,28,9,9,5,7,1,1,1,0
1,0,0,0,1,57,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,237,142,7,20,18,0,0,1,0
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,5,0,0,0,0
0,0,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,12,1,3,10,1,0,1,0
0,0,0,0,0,20,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,32,60,9,12,10,1,1,1,0
0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,8,0,0,0,0
0,0,0,0,0,22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,67,25,0,3,9,0,0,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,26,0,0,6,0,0,0,0
0,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,11,5,1,7,1,0,1,1
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0
0,0,0,0,0,28,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,31,4,7,2,13,0,1,0,0
0,0,0,0,0,28,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,32,36,17,5,8,1,0,1,1
0,1,0,0,1,58,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,210,258,2,5,14,0,0,1,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,0,2,0,0,0,0
0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,11,0,0,7,0,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,76,3,9,0,0,0,1,0
1,0,0,0,0,30,6,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,41,15,10,10,12,1,1,1,0
0,0,0,0,0,26,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,5,7,3,6,1,0,1,0
0,0,0,0,0,21,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,64,9,6,10,9,1,1,1,0
0,0,0,0,0,20,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,12,9,9,7,7,1,1,1,0
1,0,0,0,0,47,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,105,42,8,4,13,0,1,0,0
0,0,0,0,0,20,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,20,9,3,1,8,0,0,0,0
0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,115,1,69,6,0,0,0,0
0,1,0,0,1,10,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7,16,2,0,5,0,0,0,0
0,0,0,0,0,37,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,101,21,5,6,10,1,1,0,0
0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,30,8,1,2,16,0,0,0,0
0,0,0,0,0,19,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,56,6,6,13,9,1,0,1,0
0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,93,10,1,3,9,1,0,0,0
1,0,0,0,0,28,10,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,31,44,10,20,11,1,1,1,0
0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,5,0,0,0,0
0,0,0,0,0,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,9,3,3,5,1,1,0,0
