perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_api_calls,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_LOGS,suspicious_setWifiEnabled,perm_com_android_launcher_permission_READ_SETTINGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_permissions,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_getSubscriberId,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_MESSAGING_EVENT,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_DISABLE_KEYGUARD,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_activities,intent_android_intent_action_USER_PRESENT,suspicious_getWifiState,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_READ_PHONE_STATE,intent_com_igexin_sdk_action_refreshls,intent_com_google_android_gms_appinvite_ACTION_PREVIEW,intent_android_media_browse_MediaBrowserService,n_urls,label
0,19,0,0,0,0,0,7,0,0,0,1,0,0,1,1,1,1,0,0,0,7,0,0,0,1,0,0,0,36,0
0,20,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,37,0
1,41,1,1,1,0,1,45,1,1,1,0,1,1,0,0,0,0,1,1,0,28,1,1,1,1,0,0,0,91,0
0,14,0,0,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,0,19,0,0,0,1,0,1,0,85,0
0,33,0,0,1,0,0,40,0,0,1,1,0,0,1,0,1,0,0,0,0,66,0,0,1,1,0,0,0,148,0
0,48,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,0,34,0,0,0,1,0,0,0,51,0
0,25,0,0,1,0,0,31,0,0,0,1,0,0,1,1,1,1,0,0,1,9,0,0,0,0,0,0,0,40,0
0,19,0,0,0,0,0,25,0,0,0,1,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,8,1
0,12,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,65,0
0,17,0,0,0,0,0,5,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,24,0
0,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,26,0
0,36,0,0,0,0,0,11,0,0,0,1,0,0,1,1,1,1,0,0,0,47,0,0,0,0,0,1,0,146,0
0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
0,43,1,0,0,0,0,13,1,1,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,82,0
0,22,0,0,0,0,0,15,1,0,0,1,0,0,1,0,1,1,0,0,1,64,0,0,0,0,0,0,0,36,0
0,0,1,1,0,0,1,35,1,1,1,0,1,0,0,0,0,0,1,0,0,15,1,0,1,1,0,0,0,0,0
0,22,0,0,0,0,0,25,0,0,0,1,0,0,1,1,1,1,0,0,0,7,0,0,0,0,0,0,0,34,0
0,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,44,0
0,20,0,0,0,0,1,13,0,0,0,1,1,1,0,0,1,0,1,0,1,12,0,0,0,0,0,0,0,18,0
0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,9,0
1,18,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,0
0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,33,0
0,30,0,0,0,0,0,9,0,0,0,1,1,0,1,0,1,0,0,0,1,21,0,0,0,0,0,0,0,100,0
0,29,1,0,0,0,0,9,0,0,0,1,0,0,1,0,1,1,0,0,1,11,0,0,0,0,0,1,0,31,0
0,20,0,0,0,0,0,29,0,0,0,1,0,0,1,1,1,1,0,0,0,2,0,0,0,1,0,0,0,7,0
0,39,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,41,0
0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0
0,16,0,0,0,0,0,14,0,0,0,1,0,0,1,0,0,0,0,0,0,38,0,0,0,1,0,0,0,39,0
0,27,0,0,0,0,0,12,0,0,0,1,0,0,1,1,1,1,0,0,1,13,0,0,0,0,0,0,0,45,0
0,25,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,159,0
0,45,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0
0,19,0,0,0,0,0,26,0,0,0,1,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,10,0
1,39,1,0,0,0,0,22,1,1,1,0,1,1,0,0,0,0,0,0,0,67,1,0,1,1,0,0,0,67,0
0,22,1,1,0,0,0,32,1,1,1,0,1,0,0,0,0,0,0,1,0,301,1,0,1,1,0,0,0,24,0
0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,46,0
0,16,0,0,0,0,0,18,0,0,0,1,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,20,0
0,43,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,33,0
0,25,0,0,0,0,0,16,1,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,1,0,1,0,90,0
0,23,0,0,0,0,0,34,0,0,0,1,0,0,1,1,1,1,0,0,1,85,0,0,0,0,0,0,0,175,0
0,9,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,65,0
0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0,1,0,0,0,44,0
0,22,0,0,0,0,0,10,0,0,0,1,0,1,1,1,0,1,0,0,0,19,0,0,0,0,0,0,0,47,0
0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,32,0
0,19,0,0,0,0,0,5,0,0,0,1,0,0,1,1,1,1,0,0,0,18,0,0,0,0,0,0,0,22,0
0,27,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,26,0
0,15,0,0,0,0,0,9,0,0,0,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,9,0
0,30,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,1,0,0,0,38,0
0,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0
0,5,0,0,0,0,0,27,0,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0
0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,10,0
0,10,0,0,0,0,0,12,0,0,0,1,1,0,1,1,1,1,0,0,1,35,0,0,0,1,0,0,0,72,1
0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0
0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0
1,35,1,0,0,1,1,55,0,0,0,1,1,0,1,1,1,0,0,1,1,61,1,0,0,1,0,0,0,79,0
0,34,1,0,0,0,1,15,0,1,0,1,0,1,1,1,1,1,0,1,0,18,0,0,0,1,0,0,0,55,0
0,28,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,19,0
0,0,1,0,0,0,0,10,1,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0
0,20,0,0,0,0,0,8,0,0,0,1,0,0,1,1,1,1,0,0,1,5,0,0,0,0,0,0,0,54,0
0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0
0,39,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,77,0
0,21,0,0,0,0,0,5,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,23,1
0,5,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,21,0
0,18,0,0,0,0,0,6,0,0,0,1,0,0,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,24,0
0,37,0,0,1,0,0,24,1,1,0,1,0,0,1,0,1,1,0,0,1,19,0,0,0,1,0,0,0,182,0
0,6,0,0,0,0,0,7,0,0,0,1,0,0,1,1,1,1,0,0,0,25,0,0,0,0,0,0,0,57,1
0,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,28,0
0,23,0,0,0,0,0,12,1,0,0,1,0,0,1,1,1,1,0,0,1,48,0,0,0,1,0,0,0,64,0
0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,1
0,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,34,0
0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,29,0
0,18,0,0,0,0,0,5,0,0,0,1,0,0,1,1,1,1,0,0,0,33,0,0,0,0,0,0,0,46,0
1,13,1,0,0,0,0,9,0,0,0,0,1,1,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,24,0
0,17,0,0,0,0,0,14,0,0,0,1,1,1,1,0,1,0,0,0,0,32,0,0,0,0,0,0,0,123,0
0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
0,24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,29,0
0,22,0,0,0,0,0,7,0,0,0,1,0,0,1,1,1,1,0,0,0,8,0,0,0,0,0,0,0,27,0
0,19,0,0,0,0,0,10,0,0,0,1,0,0,1,1,1,1,0,0,1,8,0,0,0,0,0,0,0,25,0
0,18,0,0,0,0,0,11,0,0,0,1,1,0,1,1,1,1,0,0,0,28,0,0,0,0,0,0,0,109,0
0,27,0,0,0,0,0,12,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,145,1
