n_permissions,perm_android_permission_GET_TASKS,perm_android_permission_READ_PHONE_STATE,n_activities,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_services,intent_android_intent_action_BOOT_COMPLETED,n_api_calls,n_used_permissions,n_urls,suspicious_getSystemService,perm_android_permission_ACCESS_NETWORK_STATE,suspicious_Base64,intent_android_intent_action_PACKAGE_ADDED,suspicious_getExternalStorageDirectory,n_receivers,intent_android_intent_action_USER_PRESENT,perm_android_permission_RECEIVE_BOOT_COMPLETED,suspicious_getPackageInfo,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_com_android_vending_BILLING,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_MODIFY_AUDIO_SETTINGS,intent_com_google_vr_vrcore_ACTION_NONE,suspicious_Cipher,suspicious_getDeviceId,perm_com_android_launcher_permission_READ_SETTINGS,label
12,0,0,16,0,0,10,0,2,2,0,1,1,1,0,0,8,0,0,1,0,1,1,0,0,1,0,0,0,0,1
3,0,0,5,0,0,0,0,23,8,39,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
13,0,1,3,0,0,2,0,44,12,22,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
3,0,0,8,0,0,1,0,21,9,28,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
5,0,0,27,0,0,26,0,19,7,17,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
6,0,0,14,0,0,5,0,12,5,17,1,1,1,0,1,4,0,0,1,0,0,1,0,0,0,0,1,1,0,0
33,0,1,6,0,0,9,1,19,8,13,1,1,1,0,1,7,0,1,1,0,1,0,1,0,1,0,1,1,0,0
3,0,0,3,0,0,0,0,14,6,21,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
9,0,0,43,0,0,5,1,29,10,47,1,1,1,0,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0
15,0,0,4,0,0,4,0,21,10,48,1,1,1,0,1,5,0,0,1,0,0,0,1,1,0,0,1,1,0,1
5,0,0,6,0,0,1,1,29,11,34,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
4,0,0,1,0,0,0,0,18,7,25,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
17,0,0,51,0,0,12,1,28,11,96,1,1,1,0,1,14,0,1,1,0,1,0,1,0,0,0,1,1,0,0
7,0,0,10,0,0,5,1,40,12,43,1,1,1,0,1,4,0,1,1,0,0,0,1,0,0,0,1,1,0,0
12,0,0,34,0,0,3,0,33,10,50,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0
2,0,0,6,0,0,0,0,23,13,25,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
14,0,1,15,1,0,9,1,31,12,89,1,1,1,1,1,7,0,1,1,0,1,0,1,0,0,0,1,1,0,0
4,0,0,16,0,0,0,0,14,6,40,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
10,0,0,65,0,0,23,1,57,22,168,1,1,1,1,1,15,0,1,1,0,0,0,1,0,0,0,1,1,0,0
9,0,1,15,0,0,2,1,21,7,46,1,1,1,0,1,4,1,1,1,0,1,0,0,0,0,0,1,1,0,0
17,0,1,54,0,0,13,1,29,13,58,1,1,1,0,1,13,0,1,1,0,1,0,0,0,0,0,1,1,0,0
17,0,1,53,0,0,13,1,26,10,162,1,1,1,0,1,9,0,0,1,0,1,0,1,0,0,0,1,1,0,0
10,0,0,37,0,0,3,0,29,13,67,1,1,1,0,1,9,0,0,1,0,1,1,0,0,0,1,1,1,0,0
13,1,1,12,0,0,9,1,18,6,9,1,1,1,1,1,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0
24,1,0,10,1,1,7,0,20,11,36,1,1,1,0,1,3,0,1,1,1,1,0,0,1,0,0,1,1,0,0
6,0,0,11,0,0,5,0,42,11,43,1,1,1,0,1,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0
9,0,0,12,0,0,2,0,21,9,21,1,1,1,0,1,3,0,0,1,0,1,1,0,0,0,0,1,1,0,0
3,0,0,4,0,0,0,0,20,7,2,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
8,0,0,16,0,0,9,0,21,8,33,1,1,1,0,1,4,0,0,1,0,0,0,0,0,0,0,1,1,0,1
26,0,1,53,1,0,7,0,0,0,0,0,1,0,1,0,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0
3,0,0,8,0,0,0,0,6,5,23,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
17,0,1,14,0,0,6,0,43,10,49,1,1,1,0,1,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0
10,0,0,9,0,0,0,0,16,7,17,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
9,0,1,3,0,0,1,0,11,4,30,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
6,0,1,3,1,0,0,0,24,10,6,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
3,0,0,6,0,0,2,0,31,10,46,1,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0
4,0,0,4,0,0,1,0,23,13,8,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
17,0,1,38,0,0,10,0,24,9,33,1,1,1,0,1,7,0,0,1,0,1,0,0,0,0,0,1,1,0,1
9,1,0,7,1,1,0,0,26,9,41,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
5,0,0,7,0,0,0,0,12,4,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
4,0,0,5,0,0,0,0,14,7,19,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
3,0,0,9,0,0,1,0,8,5,45,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
18,0,0,10,0,0,6,0,14,6,43,1,1,1,0,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0
11,0,1,20,0,0,4,0,34,10,37,1,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,1,0,1
10,0,1,27,0,0,5,0,6,5,24,1,1,1,0,1,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0
27,1,1,43,1,0,14,0,70,18,141,1,1,1,1,1,6,1,1,1,0,1,0,1,1,0,0,1,1,0,0
9,0,0,46,0,0,6,0,33,14,68,1,1,1,0,1,6,0,0,1,0,1,1,1,0,0,1,1,1,0,0
4,0,0,6,0,0,0,0,20,10,28,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
13,0,0,5,0,0,0,1,18,7,23,1,1,1,0,1,2,0,1,1,0,1,0,0,0,0,0,1,1,0,0
11,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,1,1,23,0,0,0,1,29,10,15,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0
