cluster_id,cluster_json,candidate_count,top_feature,top_method_count,top_aggregated_score,output_dir
0,cluster_0.json,50,suspicious_getSubscriberId,5,1.0,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_0
1,cluster_1.json,50,suspicious_sendTextMessage,5,0.8462970488010277,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_1
2,cluster_2.json,50,n_permissions,5,0.9663736570291908,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_2
3,cluster_3.json,50,suspicious_getSubscriberId,5,0.8969317808761461,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_3
4,cluster_4.json,50,n_permissions,5,0.9620759874128628,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_4
5,cluster_5.json,50,n_permissions,5,0.4988109625417719,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_5
6,cluster_6.json,50,n_api_calls,5,0.9151732268385728,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_6
7,cluster_7.json,50,n_urls,5,0.6476148887991308,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_7
8,cluster_8.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8818798889018769,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_8
9,cluster_9.json,50,suspicious_getSubscriberId,5,0.9243804089641536,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_9
10,cluster_10.json,50,perm_android.permission.GET_TASKS,5,0.7249819517038187,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_10
11,cluster_11.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8717082221427273,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_11
12,cluster_12.json,50,perm_android.permission.ACCESS_NETWORK_STATE,5,0.6198323918483764,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_12
13,cluster_13.json,50,n_api_calls,5,0.8563380083593962,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_13
14,cluster_14.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8509345464361566,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_14
15,cluster_15.json,50,perm_android.permission.DEVICE_POWER,5,0.5058709850349216,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_15
16,cluster_16.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8623751723883293,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_16
17,cluster_17.json,50,suspicious_getSubscriberId,5,1.0,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_17
18,cluster_18.json,50,perm_android.permission.GET_TASKS,5,0.920214436852236,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_18
19,cluster_19.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.9873200452940648,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_19
20,cluster_20.json,50,suspicious_getSubscriberId,5,0.9838730373245036,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_20
21,cluster_21.json,50,n_urls,4,0.738798472984388,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_21
22,cluster_22.json,50,perm_android.permission.READ_PHONE_STATE,5,0.9270103825364612,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_22
23,cluster_23.json,50,n_api_calls,5,0.8360079876913314,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_23
24,cluster_24.json,50,suspicious_getSubscriberId,5,1.0,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_24
25,cluster_25.json,50,intent_android.net.conn.CONNECTIVITY_CHANGE,5,0.9527677658457042,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_25
26,cluster_26.json,50,perm_com.android.launcher.permission.INSTALL_SHORTCUT,5,0.8635674018499216,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_26
27,cluster_27.json,50,suspicious_getSubscriberId,5,0.9107417072754362,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_27
28,cluster_28.json,50,intent_android.intent.action.PACKAGE_ADDED,5,0.9984214053863194,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_28
