feature,information_gain,mutual_information,combined_score
n_api_calls,0.10949615532082935,0.07589695134282762,0.09269655333182848
perm_android.permission.GET_TASKS,0.10398056641196252,0.07207383644147747,0.08802720142671999
perm_android.permission.READ_PHONE_STATE,0.10271628856421866,0.07119750581586962,0.08695689719004414
perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.09930998927757101,0.06883643906918667,0.08407321417337885
n_urls,0.09852494410864376,0.06829228722432178,0.08340861566648278
perm_android.permission.SYSTEM_ALERT_WINDOW,0.08744262232123562,0.06061060712273207,0.07402661472198385
n_used_permissions,0.08396165776509645,0.05819778635504042,0.07107972206006843
perm_com.android.launcher.permission.INSTALL_SHORTCUT,0.07879693084888362,0.05461787045467967,0.06670740065178164
perm_android.permission.CHANGE_WIFI_STATE,0.07036969238314833,0.04877655387225002,0.059573123127699176
perm_android.permission.SEND_SMS,0.0687582727974696,0.047659602929736485,0.05820893786360304
n_permissions,0.06767280046092189,0.04690721084044405,0.05729000565068297
suspicious_getSubscriberId,0.06742386217271057,0.046734659967477,0.057079261070093784
intent_android.intent.action.USER_PRESENT,0.060698838747755335,0.042073228941267735,0.051386033844511535
perm_android.permission.CHANGE_NETWORK_STATE,0.058550463773119565,0.04058408888481499,0.04956727632896728
perm_android.permission.WRITE_SETTINGS,0.057981308302217094,0.040189580374856704,0.0490854443385369
perm_android.permission.READ_SMS,0.057158694705113755,0.03961938807933696,0.04838904139222536
perm_android.permission.WRITE_SMS,0.057072123546543674,0.03955938152485585,0.048315752535699766
suspicious_getSystemService,0.05514932489972335,0.03822659906402696,0.04668796198187515
intent_android.net.conn.CONNECTIVITY_CHANGE,0.0545323496895635,0.03779894443662901,0.046165647063096255
perm_android.permission.READ_LOGS,0.05390496274259732,0.0373640729432195,0.04563451784290841
suspicious_Base64,0.05290001599097888,0.03666749693572105,0.044783756463349964
perm_android.permission.RECEIVE_SMS,0.051694324637696965,0.03583177537357004,0.043763050005633505
suspicious_Ldalvik/system/PathClassLoader;,0.04795016603207747,0.03323652239251558,0.040593344212296524
suspicious_getPackageInfo,0.04594807895544567,0.03184878138011238,0.038898430167779025
intent_android.intent.action.PACKAGE_ADDED,0.0440166254457498,0.03050999982548433,0.037263312635617066
perm_android.permission.ACCESS_WIFI_STATE,0.04343917947398185,0.030109744778226824,0.036774462126104336
intent_com.google.android.c2dm.intent.RECEIVE,0.041745970013282896,0.02893610141444548,0.03534103571386419
perm_com.android.launcher.permission.READ_SETTINGS,0.04100437551695074,0.02842206728019403,0.034713221398572386
intent_android.intent.action.PACKAGE_REMOVED,0.04078911824895759,0.028272862311791505,0.03453099028037455
suspicious_getExternalStorageDirectory,0.039356819496578266,0.027280068469860072,0.03331844398321917
