top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,ig_gain,mi_gain,mean_ig_change
50,2.568259949692572,1.7801821430762637,0.05136519899385144,0.03560364286152527,0.024605079325772605,0.017054941362113347,,,
100,3.3860499733810774,2.3470309922862755,0.03386049973381077,0.023470309922862757,0.011511921179858497,0.007979455708648157,0.8177900236885054,0.5668488492100119,-0.017504699260040668
150,3.8699525002263573,2.682446664435508,0.025799683334842383,0.017882977762903388,0.007825506561852658,0.005424227809799401,0.4839025268452799,0.3354156721492325,-0.008060816398968388
200,4.243965807687266,2.941692934004895,0.02121982903843633,0.014708464670024474,0.007473964445680992,0.005180557383352404,0.37401330746090844,0.2592462695693869,-0.004579854296406054
250,4.617664029971316,3.2007208031725147,0.018470656119885263,0.01280288321269006,0.007473964445680992,0.005180557383352404,0.3736982222840499,0.2590278691676198,-0.002749172918551066
300,4.9722455522441775,3.446497985619806,0.016574151840813924,0.011488326618732687,0.006546518447543004,0.00453770080439617,0.3545815222728619,0.2457771824472914,-0.0018965042790713392
350,5.2674151141561145,3.6510939352463487,0.01504975746901747,0.01043169695784671,0.005622245101424506,0.0038970433404692806,0.295169561911937,0.2045959496265426,-0.0015243943717964548
400,5.525522328980413,3.8300002234851838,0.013813805822451033,0.00957500055871296,0.004689719253342217,0.003250665678070823,0.25810721482429866,0.17890628823883503,-0.0012359516465664366
450,5.730442531939628,3.9720400844071793,0.012734316737643619,0.008826755743127065,0.0034946971694408413,0.0024223394899100317,0.2049202029592152,0.1420398609219955,-0.001079489084807414
500,5.883403765628007,4.07806473227449,0.011766807531256014,0.00815612946454898,0.002752357948090922,0.0019077891516105037,0.15296123368837833,0.10602464786731103,-0.000967509206387605
550,5.998608564542544,4.157918613829305,0.010906561026440989,0.007559852025144191,0.0019478751412967399,0.0013501641622714288,0.1152047989145375,0.07985388155481488,-0.0008602465048150251
600,6.08521420369063,4.217949068426586,0.010142023672817716,0.00702991511404431,0.0015960239106728724,0.0011062794738389112,0.08660563914808606,0.06003045459728096,-0.0007645373536232722
650,6.158016801618344,4.26841198391853,0.00947387200248976,0.00656678766756697,0.0013963384198754092,0.0009678680388418581,0.07280259792771382,0.05046291549194404,-0.0006681516703279568
700,6.219509774081485,4.311035664406473,0.008885013962973549,0.006158622377723534,0.0010920985808346995,0.0007569850521993574,0.06149297246314056,0.04262368048794318,-0.0005888580395162109
750,6.267352803538059,4.344197925385107,0.008356470404717412,0.005792263900513475,0.0008419721551800041,0.0005836106254980431,0.04784302945657437,0.033162260978633284,-0.0005285435582561369
800,6.304637694844335,4.370041842672202,0.007880797118555417,0.005462552303340252,0.0007089736888570286,0.0004914231135433628,0.03728489130627555,0.02584391728709523,-0.0004756732861619945
850,6.3379135733439185,4.3931069240357505,0.007456368909816375,0.005168361087100883,0.0006203196139117906,0.0004299727914489288,0.03327587849958391,0.02306508136354868,-0.0004244282087390427
900,6.368898512348536,4.414584047147576,0.007076553902609484,0.004905093385719529,0.0005967472853472544,0.0004136336983434343,0.030984939004617296,0.02147712311182559,-0.0003798150072068908
950,6.3965695934390805,4.4337641789911135,0.006733231150988506,0.004667120188411699,0.0005087227328740007,0.00035261972797856586,0.027671081090544725,0.019180131843537396,-0.0003433227516209782
1000,6.4205983091191605,4.450419615517439,0.00642059830911916,0.004450419615517439,0.00044925948309954,0.0003114029440488186,0.024028715680080026,0.016655436526325396,-0.00031263284186934526
1050,6.442832669284557,4.4658312995780785,0.00613603111360434,0.004253172666264836,0.0004430392180325149,0.00030709138486992673,0.02223436016539626,0.01541168406063953,-0.0002845671955148208
1100,6.463566513914312,4.480202905525318,0.00587596955810392,0.004072911732295743,0.000399240671310086,0.00027673254568279996,0.02073384462975536,0.01437160594723963,-0.00026006155550041977
1150,6.483370177759422,4.493929759284704,0.005637713198051671,0.003907765008073656,0.0003834664705567592,0.0002657987029059828,0.01980366384511001,0.013726853759385982,-0.0002382563600522485
1200,6.501295750538085,4.506354819516603,0.005417746458781738,0.0037552956829305026,0.00035441289166410206,0.0002456602966230488,0.01792557277866269,0.012425060231898932,-0.00021996673926993372
1250,6.518405934385276,4.518214695209925,0.005214724747508221,0.00361457175616794,0.00031010319518465224,0.00021494715543566125,0.01711018384719143,0.011859875693321698,-0.00020302171127351692
1300,6.533722832940829,4.528831560259187,0.005025940640723715,0.003483716584814759,0.0002915598122073537,0.00020209386179476097,0.01531689855555296,0.01061686504926218,-0.00018878410678450572
1350,6.54739529117702,4.538308586137489,0.004849922437908904,0.0033617100638055476,0.00026579580938945746,0.00018423561589131433,0.013672458236190899,0.00947702587830257,-0.00017601820281481096
1400,6.5606850816464926,4.547520366932055,0.0046862036297474945,0.0032482288335228962,0.00026579580938945746,0.00018423561589131433,0.013289790469472429,0.009211780794565527,-0.00016371880816140952
1450,6.57290514552627,4.555990669757512,0.004533038031397428,0.0031420625308672496,0.00022149073393912255,0.00015352567775651395,0.012220063879777143,0.008470302825457132,-0.0001531655983500668
1500,6.583979682223227,4.563666953645338,0.004389319788148818,0.003042444635763559,0.00022149073393912255,0.00015352567775651395,0.011074536696956905,0.007676283887826152,-0.00014371824324860977
1550,6.595054218920183,4.571343237533164,0.004254873689625924,0.0029492537016342995,0.00022149073393912255,0.00015352567775651395,0.011074536696956017,0.007676283887826152,-0.0001344460985228937
1600,6.605507074295532,4.57858860476722,0.004128441921434707,0.0028616178779795128,0.00018330987103337693,0.0001270607202767172,0.010452855375349124,0.007245367234055777,-0.000126431768191217
1650,6.614414771788743,4.584762950170113,0.004008736225326511,0.002778644212224311,0.00017718796849497398,0.00012281734079625374,0.008907697493211408,0.006174345402892634,-0.00011970569610819659
1700,6.623274170213492,4.5909038172099255,0.003896043629537348,0.002700531657182309,0.00017718796849497398,0.00012281734079625374,0.008859398424748477,0.0061408670398126475,-0.00011269259578916254
1750,6.632041384622902,4.596980787159547,0.0037897379340702296,0.0026268461640911694,0.00016580945548733128,0.00011493035658012606,0.008767214409409974,0.006076969949621258,-0.00010630569546711847
1800,6.639585991353051,4.602210310043954,0.0036886588840850283,0.0025567835055799746,0.0001351095843936112,9.365082748828647e-05,0.007544606730149006,0.0052295228844077,-0.00010107904998520132
1850,6.646235337444136,4.60681928553977,0.003592559641861695,0.002490172586778254,0.0001328875127177831,9.211060477469469e-05,0.006649346091085029,0.004608975495815848,-9.60992422233335e-05
1900,6.652879713080025,4.611424815778506,0.003501515638463171,0.0024270656925150028,0.0001328875127177831,9.211060477469469e-05,0.006644375635889155,0.004605530238735334,-9.104400339852384e-05
1950,6.659524088715914,4.61603034601724,0.0034151405583158533,0.00236719504923961,0.0001328875127177831,9.211060477469469e-05,0.006644375635889155,0.0046055302387344454,-8.637508014731768e-05
2000,6.666168464351802,4.6206358762559745,0.003333084232175901,0.0023103179381279873,0.0001328875127177831,9.211060477469469e-05,0.006644375635888267,0.0046055302387344454,-8.205632613995234e-05
2050,6.672812839987692,4.62524140649471,0.0032550306536525326,0.002256215320241322,0.0001328875127177831,9.211060477469469e-05,0.006644375635890043,0.004605530238735334,-7.805357852336834e-05
2100,6.679457215623582,4.629846936733444,0.0031806939122017057,0.0022046890174921164,0.0001328875127177831,9.211060477469469e-05,0.006644375635890043,0.0046055302387344454,-7.433674145082688e-05
2150,6.6860849396968565,4.634440924988639,0.0031098069486962124,0.002155553918599367,0.00013108512505444203,9.086128484348365e-05,0.006627724073274166,0.0045939882551948585,-7.088696350549331e-05
2200,6.692170457572097,4.638659084547084,0.003041895662532771,0.002108481402066856,0.00010948379785757911,7.588838587478403e-05,0.006085517875240143,0.004218159558444512,-6.79112861634414e-05
2250,6.697307617483989,4.642219892457073,0.0029765811633262174,0.0020632088410920324,9.325872745580277e-05,6.464202405900843e-05,0.00513715991189212,0.0035608079099889167,-6.531449920655361e-05
2300,6.70179913599359,4.645333175849281,0.0029138257113015607,0.002019710076456209,8.858936626870983e-05,6.14054694601331e-05,0.004491518509601278,0.003113283392208288,-6.27554520246567e-05
2350,6.706228604307026,4.648403449322287,0.0028537142997051173,0.0019780440209882072,8.858936626870983e-05,6.14054694601331e-05,0.004429468313436047,0.0030702734730061465,-6.0111411596443405e-05
2400,6.710658072620461,4.651473722795293,0.0027961075302585254,0.0019381140511647054,8.858936626870983e-05,6.14054694601331e-05,0.004429468313435159,0.0030702734730061465,-5.760676944659192e-05
2450,6.715087540933896,4.654543996268301,0.002740852057524039,0.001899813876027878,8.858936626870983e-05,6.14054694601331e-05,0.004429468313435159,0.003070273473007923,-5.525547273448625e-05
2500,6.7195170092473315,4.657614269741307,0.0026878068036989325,0.0018630457078965229,8.858936626870983e-05,6.14054694601331e-05,0.004429468313435159,0.0030702734730061465,-5.3045253825106595e-05
2550,6.723946477560768,4.660684543214313,0.0026368417559061836,0.0018277194287114953,8.858936626870983e-05,6.14054694601331e-05,0.004429468313436047,0.0030702734730061465,-5.096504779274896e-05
2600,6.728375945874204,4.663754816687321,0.002587836902259309,0.0017937518525720467,8.858936626870983e-05,6.14054694601331e-05,0.004429468313436047,0.003070273473007923,-4.9004853646874603e-05
2650,6.732805414187639,4.6668250901603265,0.0025406812883726937,0.0017610660717586137,8.858936626870983e-05,6.14054694601331e-05,0.004429468313435159,0.0030702734730052583,-4.7155613886615266e-05
