top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,batch_feature_names,ig_gain,mi_gain,mean_ig_change
20,1.4935018488393252,1.0352165956850505,0.07467509244196627,0.051760829784252525,0.05390496274259732,0.0373640729432195,n_api_calls|perm_android.permission.GET_TASKS|perm_android.permission.READ_PHONE_STATE|perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS|n_urls|perm_android.permission.SYSTEM_ALERT_WINDOW|n_used_permissions|perm_com.android.launcher.permission.INSTALL_SHORTCUT|perm_android.permission.CHANGE_WIFI_STATE|perm_android.permission.SEND_SMS|n_permissions|suspicious_getSubscriberId|intent_android.intent.action.USER_PRESENT|perm_android.permission.CHANGE_NETWORK_STATE|perm_android.permission.WRITE_SETTINGS|perm_android.permission.READ_SMS|perm_android.permission.WRITE_SMS|suspicious_getSystemService|intent_android.net.conn.CONNECTIVITY_CHANGE|perm_android.permission.READ_LOGS,,,
40,2.295630050472613,1.591209497095611,0.05739075126181532,0.03978023742739027,0.03196551073871806,0.022156803644386984,suspicious_Base64|perm_android.permission.RECEIVE_SMS|suspicious_Ldalvik/system/PathClassLoader;|suspicious_getPackageInfo|intent_android.intent.action.PACKAGE_ADDED|perm_android.permission.ACCESS_WIFI_STATE|intent_com.google.android.c2dm.intent.RECEIVE|perm_com.android.launcher.permission.READ_SETTINGS|intent_android.intent.action.PACKAGE_REMOVED|suspicious_getExternalStorageDirectory|perm_com.android.launcher.permission.UNINSTALL_SHORTCUT|perm_android.permission.CHANGE_CONFIGURATION|suspicious_Cipher|perm_com.google.android.c2dm.permission.RECEIVE|suspicious_getCellLocation|intent_com.google.firebase.INSTANCE_ID_EVENT|perm_android.permission.ACCESS_COARSE_LOCATION|n_providers|suspicious_sendTextMessage|n_activities,0.8021282016332876,0.5559929014105605,-0.017284341180150944
60,2.792392248570549,1.935538814115946,0.04653987080950915,0.032258980235265765,0.02129160381630929,0.014758215154873657,perm_android.permission.DISABLE_KEYGUARD|perm_android.permission.RESTART_PACKAGES|perm_android.permission.WRITE_APN_SETTINGS|intent_com.google.firebase.MESSAGING_EVENT|suspicious_Ljava/lang/Runtime;->exec|perm_android.permission.READ_SETTINGS|perm_android.permission.ACCESS_CACHE_FILESYSTEM|perm_android.permission.BROADCAST_STICKY|perm_android.permission.KILL_BACKGROUND_PROCESSES|perm_android.permission.READ_CALL_LOG|perm_android.permission.WRITE_EXTERNAL_STORAGE|perm_android.permission.ACCESS_FINE_LOCATION|perm_android.permission.PROCESS_OUTGOING_CALLS|perm_android.permission.RECEIVE_MMS|perm_android.permission.GET_PACKAGE_SIZE|intent_com.android.vending.INSTALL_REFERRER|perm_com.android.launcher.permission.WRITE_SETTINGS|intent_android.provider.Telephony.SMS_RECEIVED|suspicious_getWifiState|intent_android.provider.Telephony.SMS_DELIVER,0.4967621980979362,0.344329317020335,-0.010850880452306172
80,3.1295369058120897,2.1692296827239437,0.03911921132265112,0.027115371034049297,0.014024852173969482,0.00972128674215477,perm_com.android.browser.permission.READ_HISTORY_BOOKMARKS|perm_android.permission.ACCESS_LOCATION_EXTRA_COMMANDS|perm_android.permission.UPDATE_APP_OPS_STATS|perm_android.permission.INTERACT_ACROSS_USERS_FULL|n_services|perm_android.permission.INSTALL_PACKAGES|perm_com.android.launcher2.permission.READ_SETTINGS|perm_android.permission.ACCESS_MTK_MMHW|perm_com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE|perm_android.permission.CALL_PHONE|perm_android.permission.BATTERY_STATS|perm_android.permission.DOWNLOAD_WITHOUT_NOTIFICATION|perm_com.android.launcher3.permission.READ_SETTINGS|perm_android.permission.RECORD_AUDIO|perm_android.webkit.permission.PLUGIN|perm_android.permission.READ_CONTACTS|perm_android.permission.RECEIVE_BOOT_COMPLETED|perm_android.permission.ACCESS_COARSE_UPDATES|perm_android.permission.DELETE_PACKAGES|perm_android.permission.PACKAGE_USAGE_STATS,0.33714465724154064,0.2336908686079977,-0.007420659486858029
100,3.3860499733810774,2.3470309922862755,0.03386049973381077,0.023470309922862757,0.011511921179858497,0.007979455708648157,perm_android.permission.WRITE_SECURE_SETTINGS|perm_android.permission.DEVICE_POWER|perm_android.permission.EXPAND_STATUS_BAR|perm_android.permission.REORDER_TASKS|perm_android.permission.WRITE_MEDIA_STORAGE|perm_android.permission.READ_USER_DICTIONARY|n_receivers|perm_android.permission.MANAGE_ACCOUNTS|perm_android.permission.CLEAR_APP_CACHE|intent_android.intent.action.MEDIA_MOUNTED|perm_android.permission.ACCESS_DOWNLOAD_MANAGER|suspicious_Ljava/lang/System;->load|intent_android.intent.action.PACKAGE_REPLACED|perm_android.permission.CLEAR_APP_USER_DATA|intent_android.intent.action.RESPOND_VIA_MESSAGE|suspicious_getDeviceId|intent_android.provider.Telephony.WAP_PUSH_DELIVER|perm_com.bbk.launcher2.permission.READ_SETTINGS|perm_com.lenovo.launcher.permission.READ_SETTINGS|perm_android.permission.RECEIVE_USER_PRESENT,0.25651306756898773,0.17780130956233187,-0.005258711588840351
120,3.6038456147650333,2.49799542705013,0.03003204678970861,0.020816628558751084,0.010330749031893516,0.007160729564527554,perm_cn.nubia.launcher.permission.READ_SETTINGS|perm_com.android.launcher3.permission.WRITE_SETTINGS|intent_android.net.wifi.STATE_CHANGE|intent_android.intent.action.SENDTO|perm_android.permission.SAMSUNG_TUNTAP|perm_net.qihoo.launcher.permission.READ_SETTINGS|perm_com.sec.android.app.twlauncher.settings.READ_SETTINGS|perm_com.qihoo360.launcher.permission.READ_SETTINGS|perm_org.adwfreak.launcher.permission.READ_SETTINGS|perm_android.permission.WRITE_CALL_LOG|intent_android.intent.action.BOOT_COMPLETED|perm_com.huawei.launcher2.permission.READ_SETTINGS|perm_com.google.android.launcher.permission.READ_SETTINGS|intent_android.accessibilityservice.AccessibilityService|perm_com.fede.launcher.permission.READ_SETTINGS|perm_org.adw.launcher.permission.READ_SETTINGS|perm_com.lge.launcher.permission.READ_SETTINGS|perm_com.huawei.launcher3.permission.READ_SETTINGS|intent_com.igexin.sdk.action.refreshls|perm_com.htc.launcher.permission.WRITE_SETTINGS,0.2177956413839559,0.15096443476385435,-0.0038284529441021606
140,3.7896484383196025,2.62678413033734,0.02706891741656859,0.018762743788123856,0.008339385746525374,0.0057804217178032925,perm_android.permission.BLUETOOTH|intent_android.intent.action.DELETE|perm_android.permission.MODIFY_AUDIO_SETTINGS|intent_com.morgoo.droidplugin.ACTION_SHORTCUT_PROXY|perm_android.permission.INTERACT_ACROSS_USERS|intent_android.intent.action.NEW_OUTGOING_CALL|perm_telecom.mdesk.permission.READ_SETTINGS|perm_android.permission.FLASHLIGHT|perm_com.android.mylauncher.permission.READ_SETTINGS|perm_com.tencent.qqlauncher.permission.READ_SETTINGS|perm_org.adw.launcher_donut.permission.READ_SETTINGS|perm_com.ebproductions.android.launcher.permission.READ_SETTINGS|perm_android.permission.BLUETOOTH_ADMIN|suspicious_setWifiEnabled|intent_android.intent.action.ACTION_POWER_CONNECTED|intent_android.intent.action.PHONE_STATE|suspicious_Ljava/lang/System;->loadLibrary|perm_android.permission.READ_EXTERNAL_STORAGE|perm_android.permission.GET_ACCOUNTS|intent_android.intent.action.ANY_DATA_STATE,0.18580282355456923,0.12878870328720993,-0.0029631293731400207
160,3.9450072298600265,2.7344706386707984,0.024656295186625165,0.01709044149169249,0.007473964445680992,0.005180557383352404,perm_android.permission.MODIFY_PHONE_STATE|perm_android.permission.WRITE_CONTACTS|intent_android.intent.action.CHINAMOBILE_OMS_GAME|suspicious_Landroid/telephony/SmsMessage;->getMessageBody|intent_android.intent.action.SIM_STATE_CHANGED|perm_android.permission.WRITE_PROFILE|intent_com.sina.weibo.sdk.action.ACTION_SDK_REQ_ACTIVITY|perm_com.android.email.permission.ACCESS_PROVIDER|perm_android.permission.PERMISSION_NAME|perm_com.yulong.android.launcher.permission.READ_SETTINGS|intent_cn.egame.terminal.sdk.SERVICE_CMD|intent_cn.egame.terminal.sdk.RECEIVER_CMD|intent_com.morgoo.droidplugin.ACTION_SHORTCUT_PROXY_ZHUSHOU|intent_android.intent.action.SCREEN_ON|intent_com.qihoo.appstore.launcher.shortcut.MYSOFT|intent_com.qihoo.appstore.plugin.huajiao.IPluginHelperService|perm_com.qihoo.appstore.permission.NEWS_SDK_BROADCAST|intent_com.qihoo.appstore.plugin.battery.setPowerRankConfig|perm_com.qihoo.appstore.update.permission.clear_sdk|intent_com.qihoo.appstore.launcher.shortcut.GAME_RESERVATION,0.15535879154042398,0.10768650833345861,-0.002412622229943425
180,4.094486518773646,2.8380817863378467,0.022747147326520258,0.01576712103521026,0.007473964445680992,0.005180557383352404,intent_com.qihoo.appstore.launcher.shortcut.GAMEUNION|perm_dianxin.permission.READ_SETTINGS|intent_com.qihoo.appstore.launcher.shortcut.EBOOK|intent_com.qihoo.appstore.launcher.shortcut.APP_GROUP|intent_com.qihoo.appstore.gameunion.DOWNLOAD_SLIENT|intent_com.qihoo.appstore.notification|intent_com.qihoo.appstore.floatwin.FloatWindowService|intent_com.qihoo.appstore.download_one_apk|intent_com.qihoo.appstore.download|intent_com.qihoo.appstore.clipboard.change|intent_com.qihoo.appstore.clean.scan.finish|intent_com.qihoo.appstore.launcher.shortcut.HOME_GAME|intent_com.qihoo.express.push.MSG_ARRIVED|intent_com.qihoo.appstore.freeze.ICON|intent_com.qihoo.appstore.free.wifi|intent_com.qihoo.appstore.battery.STABLE_NOTIFY|intent_com.qihoo.appstore.battery.POWER_RANK_START|intent_com.qihoo.appstore.launcher.shortcut.MYFREEZE|intent_com.qihoo360.mobilesafe.pcdaemon.sms.restore.start|intent_com.qihoo360.mobilesafe.pcdaemon.sms.restore.end,0.1494792889136196,0.10361114766704826,-0.0019091478601049074
200,4.243965807687266,2.941692934004895,0.02121982903843633,0.014708464670024474,0.007473964445680992,0.005180557383352404,intent_com.qihoo360.mobilesafe.pcdaemon.sms.cancel.default.smsreceive|intent_com.qihoo360.mobilesafe.pcdaemon.filehandle|intent_com.qihoo360.mobilesafe.clean.DOWNLOADDLG|intent_com.qihoo360.daemon.pcdaemon.NotifyServiceStop2|intent_com.qihoo360.daemon.pcdaemon.NotifyServiceStart2|intent_com.qihoo360.daemon.pcdaemon.ACTION_START_UI2|intent_com.qihoo360.daemon.pcdaemon.ACTION_SEND_SMS_SEND_STATUS_FORWARD2|intent_com.qihoo360.daemon.pcdaemon.ACTION_START_SERVICE2|intent_com.qihoo360.daemon.pcdaemon.ACTION_START_RECEIVER|intent_com.qihoo360.daemon.pcdaemon.ACTION_START_OPERATE_CLIPBOARD|intent_com.qihoo.appstore.battery.NOTIFY|intent_com.qihoo360.daemon.pcdaemon.ACTION_START_DOWNLOAF_PAGE|intent_com.qihoo360.daemon.pcdaemon.ACTION_START_CAPTURE|intent_com.qihoo.hongbao.LOGIN|intent_com.qihoo.appstore.zhushouhelper.IZhushouHelperService|intent_com.qihoo.appstore.videomini|intent_com.qihoo.appstore.powerusage.SAVE_MODE|intent_com.qihoo.appstore.powerusage.HIGH_TEMPERATURE|intent_com.qihoo.appstore.plugin.streamapp.IPluginHelperServiceStreamApp|intent_com.qihoo.appstore.stablenotification.NewsBroadcastReceiver,0.1494792889136196,0.10361114766704826,-0.001527318288083928
