top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,batch_feature_names,ig_gain,mi_gain,mean_ig_change
10,0.9033571197990589,0.6261594406281217,0.09033571197990589,0.06261594406281216,0.0687582727974696,0.047659602929736485,n_api_calls|perm_android.permission.GET_TASKS|perm_android.permission.READ_PHONE_STATE|perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS|n_urls|perm_android.permission.SYSTEM_ALERT_WINDOW|n_used_permissions|perm_com.android.launcher.permission.INSTALL_SHORTCUT|perm_android.permission.CHANGE_WIFI_STATE|perm_android.permission.SEND_SMS,,,
20,1.4935018488393252,1.0352165956850505,0.07467509244196627,0.051760829784252525,0.05390496274259732,0.0373640729432195,n_permissions|suspicious_getSubscriberId|intent_android.intent.action.USER_PRESENT|perm_android.permission.CHANGE_NETWORK_STATE|perm_android.permission.WRITE_SETTINGS|perm_android.permission.READ_SMS|perm_android.permission.WRITE_SMS|suspicious_getSystemService|intent_android.net.conn.CONNECTIVITY_CHANGE|perm_android.permission.READ_LOGS,0.5901447290402664,0.40905715505692886,-0.015660619537939624
30,1.9423465226510253,1.346332015846972,0.06474488408836751,0.04487773386156573,0.039356819496578266,0.027280068469860072,suspicious_Base64|perm_android.permission.RECEIVE_SMS|suspicious_Ldalvik/system/PathClassLoader;|suspicious_getPackageInfo|intent_android.intent.action.PACKAGE_ADDED|perm_android.permission.ACCESS_WIFI_STATE|intent_com.google.android.c2dm.intent.RECEIVE|perm_com.android.launcher.permission.READ_SETTINGS|intent_android.intent.action.PACKAGE_REMOVED|suspicious_getExternalStorageDirectory,0.4488446738117,0.3111154201619215,-0.009930208353598757
40,2.295630050472613,1.591209497095611,0.05739075126181532,0.03978023742739027,0.03196551073871806,0.022156803644386984,perm_com.android.launcher.permission.UNINSTALL_SHORTCUT|perm_android.permission.CHANGE_CONFIGURATION|suspicious_Cipher|perm_com.google.android.c2dm.permission.RECEIVE|suspicious_getCellLocation|intent_com.google.firebase.INSTANCE_ID_EVENT|perm_android.permission.ACCESS_COARSE_LOCATION|n_providers|suspicious_sendTextMessage|n_activities,0.35328352782158756,0.24487748124863895,-0.007354132826552187
50,2.568259949692572,1.7801821430762637,0.05136519899385144,0.03560364286152527,0.024605079325772605,0.017054941362113347,perm_android.permission.DISABLE_KEYGUARD|perm_android.permission.RESTART_PACKAGES|perm_android.permission.WRITE_APN_SETTINGS|intent_com.google.firebase.MESSAGING_EVENT|suspicious_Ljava/lang/Runtime;->exec|perm_android.permission.READ_SETTINGS|perm_android.permission.ACCESS_CACHE_FILESYSTEM|perm_android.permission.BROADCAST_STICKY|perm_android.permission.KILL_BACKGROUND_PROCESSES|perm_android.permission.READ_CALL_LOG,0.27262989921995917,0.18897264598065266,-0.006025552267963884
60,2.792392248570549,1.935538814115946,0.04653987080950915,0.032258980235265765,0.02129160381630929,0.014758215154873657,perm_android.permission.WRITE_EXTERNAL_STORAGE|perm_android.permission.ACCESS_FINE_LOCATION|perm_android.permission.PROCESS_OUTGOING_CALLS|perm_android.permission.RECEIVE_MMS|perm_android.permission.GET_PACKAGE_SIZE|intent_com.android.vending.INSTALL_REFERRER|perm_com.android.launcher.permission.WRITE_SETTINGS|intent_android.provider.Telephony.SMS_RECEIVED|suspicious_getWifiState|intent_android.provider.Telephony.SMS_DELIVER,0.22413229887797703,0.15535667103968231,-0.004825328184342288
70,2.978096494055886,2.064259188292303,0.0425442356293698,0.029489416975604327,0.016049353799339583,0.011124564335821693,perm_com.android.browser.permission.READ_HISTORY_BOOKMARKS|perm_android.permission.ACCESS_LOCATION_EXTRA_COMMANDS|perm_android.permission.UPDATE_APP_OPS_STATS|perm_android.permission.INTERACT_ACROSS_USERS_FULL|n_services|perm_android.permission.INSTALL_PACKAGES|perm_com.android.launcher2.permission.READ_SETTINGS|perm_android.permission.ACCESS_MTK_MMHW|perm_com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE|perm_android.permission.CALL_PHONE,0.18570424548533682,0.12872037417635696,-0.003995635180139352
80,3.1295369058120897,2.1692296827239437,0.03911921132265112,0.027115371034049297,0.014024852173969482,0.00972128674215477,perm_android.permission.BATTERY_STATS|perm_android.permission.DOWNLOAD_WITHOUT_NOTIFICATION|perm_com.android.launcher3.permission.READ_SETTINGS|perm_android.permission.RECORD_AUDIO|perm_android.webkit.permission.PLUGIN|perm_android.permission.READ_CONTACTS|perm_android.permission.RECEIVE_BOOT_COMPLETED|perm_android.permission.ACCESS_COARSE_UPDATES|perm_android.permission.DELETE_PACKAGES|perm_android.permission.PACKAGE_USAGE_STATS,0.15144041175620382,0.10497049443164075,-0.003425024306718677
90,3.2627717212019838,2.261581019363985,0.03625301912446648,0.02512867799293317,0.012955638028376015,0.008980163971722188,perm_android.permission.WRITE_SECURE_SETTINGS|perm_android.permission.DEVICE_POWER|perm_android.permission.EXPAND_STATUS_BAR|perm_android.permission.REORDER_TASKS|perm_android.permission.WRITE_MEDIA_STORAGE|perm_android.permission.READ_USER_DICTIONARY|n_receivers|perm_android.permission.MANAGE_ACCOUNTS|perm_android.permission.CLEAR_APP_CACHE|intent_android.intent.action.MEDIA_MOUNTED,0.13323481538989412,0.09235133664004147,-0.002866192198184639
100,3.3860499733810774,2.3470309922862755,0.03386049973381077,0.023470309922862757,0.011511921179858497,0.007979455708648157,perm_android.permission.ACCESS_DOWNLOAD_MANAGER|suspicious_Ljava/lang/System;->load|intent_android.intent.action.PACKAGE_REPLACED|perm_android.permission.CLEAR_APP_USER_DATA|intent_android.intent.action.RESPOND_VIA_MESSAGE|suspicious_getDeviceId|intent_android.provider.Telephony.WAP_PUSH_DELIVER|perm_com.bbk.launcher2.permission.READ_SETTINGS|perm_com.lenovo.launcher.permission.READ_SETTINGS|perm_android.permission.RECEIVE_USER_PRESENT,0.1232782521790936,0.0854499729222904,-0.002392519390655712
