cluster_id, base_entropy      , max_entropy_reduction_ratio, mean_entropy_reduction_ratio, top_1_feature                                        , top_1_score       , top_2_feature                                              , top_2_score       , top_3_feature                                              , top_3_score       , top_4_feature                                         , top_4_score       , top_5_feature                                        , top_5_score
         0, 0.5519275534566073,          0.6851856419452529,           0.0118284065968795, n_api_calls                                          , 0.6851856419452529, n_activities                                               , 0.5439496018011322, n_receivers                                                , 0.5229399877105607, n_urls                                                , 0.5193932412675216, intent_com.google.android.gms.iid.InstanceID         , 0.4813271634838373
         1, 0.0529150803448476,          0.6669036904083604,           0.0235074465760457, perm_android.permission.CHANGE_WIFI_STATE            , 0.6669036904083604, intent_android.provider.Telephony.SMS_RECEIVED             , 0.6068701986026231, perm_android.permission.READ_SMS                           , 0.5028550605608092, perm_android.permission.RECEIVE_SMS                   , 0.5028550605608092, n_permissions                                        , 0.4377509365309957
         2, -0.0              ,          0.0               ,           0.0               , suspicious_system/bin/su                             , 0.0               , intent_                                                    , 0.0               , intent_ACTION.TAPCORE.MESSAGE                              , 0.0               , intent_ACTION.TAPCORE.SYNC                            , 0.0               , intent_LOCATION_SERVICE                              , 0.0
         3, 0.8144326879441559,          0.6348650337938124,           0.0098727932597232, suspicious_getSubscriberId                           , 0.6348650337938124, perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS          , 0.4565854770209933, suspicious_getCellLocation                                 , 0.4282721816057293, perm_android.permission.READ_PHONE_STATE              , 0.3961577669478271, n_permissions                                        , 0.2839876466072364
         4, 0.020814071335501 ,          0.326174692809302 ,           0.0024562157589952, n_activities                                         , 0.326174692809302 , suspicious_system/bin/su                                   , 0.292637972056057 , n_api_calls                                                , 0.2430779055683183, n_used_permissions                                    , 0.2264829978353446, n_urls                                               , 0.2091318853980392
         5, 0.7298563169471574,          0.3853826179597845,           0.0105196703853063, n_urls                                               , 0.3853826179597845, n_activities                                               , 0.3399500221679245, n_api_calls                                                , 0.3279984582367   , n_permissions                                         , 0.2697557600673685, intent_com.android.vending.INSTALL_REFERRER          , 0.2077610931459877
         6, 0.0529150803448476,          0.4864233428206257,           0.0069584878112858, n_used_permissions                                   , 0.4864233428206257, n_receivers                                                , 0.4518235454282122, n_services                                                 , 0.4232835372411301, n_api_calls                                           , 0.4147793379348298, n_urls                                               , 0.4066956696566483
         7, 0.303151590366192 ,          0.4646973826861466,           0.0084973153985603, intent_ACTION.TAPCORE.MESSAGE                        , 0.4646973826861466, intent_ACTION.TAPCORE.SYNC                                 , 0.4646973826861466, perm_com.google.android.gms.permission.ACTIVITY_RECOGNITION, 0.3588500756984821, n_activities                                          , 0.3574642081631663, perm_android.permission.BROADCAST_STICKY             , 0.2987599462101553
         8, 0.1062736930846598,          0.1887394931700313,           0.0015781121812191, intent_android.net.conn.CONNECTIVITY_CHANGE          , 0.1887394931700313, n_urls                                                     , 0.1388633953012186, suspicious_getExternalStorageDirectory                     , 0.1368406186422538, n_receivers                                           , 0.1247735795567479, n_api_calls                                          , 0.1215482859615549
         9, 0.1525273285087819,          0.2561243359405222,           0.0070728786672919, suspicious_getSubscriberId                           , 0.2561243359405222, n_permissions                                              , 0.2135496587815727, n_activities                                               , 0.2079530234071247, intent_com.google.android.c2dm.intent.RECEIVE         , 0.2073957462328766, n_api_calls                                          , 0.195706323896092
