intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_CHANGED,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_GET_TASKS,n_providers,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_QUICKBOOT_POWERON,perm_android_permission_SYSTEM_ALERT_WINDOW,n_api_calls,intent_com_android_vending_INSTALL_REFERRER,suspicious_getSubscriberId,perm_android_permission_CHANGE_NETWORK_STATE,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_cryopiggy_start,intent_android_intent_action_VIEW,n_urls,n_services,n_receivers,n_activities,n_used_permissions,intent_android_app_action_DEVICE_ADMIN_ENABLED,label
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,9,1,0,0,0,0,0,0,1,63,7,5,8,4,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,12,1,0,0,0,0,0,0,1,61,7,5,8,5,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,12,1,0,0,0,0,0,0,1,66,7,6,8,5,0,0
1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,6,1,0,0,0,0,0,0,1,62,6,7,7,5,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,12,1,0,0,0,0,0,0,1,59,7,5,7,5,0,0
0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,15,1,0,0,0,0,0,0,1,63,8,6,7,6,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,6,1,0,0,0,0,0,0,1,58,7,5,10,5,0,0
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,62,4,9,10,7,0,0
0,0,0,0,0,0,1,2,1,1,1,1,1,0,1,15,1,0,0,0,0,0,0,1,66,7,5,13,7,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,15,1,0,0,0,0,0,0,1,59,7,5,13,7,0,0
