n_urls,suspicious_getCellLocation,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_inmobi_share_id,suspicious_getCellSignalStrength,suspicious_system_bin_su,perm_android_permission_READ_PHONE_STATE,suspicious_Ldalvik_system_PathClassLoader_,n_providers,n_services,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_Ljava_lang_System___load,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_api_calls,n_activities,suspicious_getSimCountryIso,perm_com_google_android_providers_gsf_permission_READ_GSERVICES,perm_com_android_vending_BILLING,n_used_permissions,n_permissions,n_receivers,intent_com_google_android_c2dm_intent_REGISTRATION,intent_com_google_android_gms_appinvite_ACTION_PREVIEW,perm_android_permission_VIBRATE,intent_com_google_android_gms_iid_InstanceID,label
141,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,6,0,0,0,4,12,1,0,0,0,0,1
145,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,9,0,0,0,4,4,1,0,0,0,0,0
150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,11,0,0,0,6,9,1,1,0,0,0,0
146,0,0,0,0,0,0,1,4,6,0,0,1,0,0,0,1,1,8,6,0,0,0,6,5,3,0,0,0,0,0
136,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,23,5,0,0,0,11,14,1,1,0,1,0,0
129,0,1,0,0,1,1,0,0,4,1,0,0,1,1,1,0,0,16,6,0,0,0,7,15,3,0,0,0,0,1
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,6,2,0,0,0,0,0,0
146,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,24,9,0,0,0,9,7,0,0,0,1,0,0
144,0,0,0,0,0,0,1,1,4,0,0,1,0,0,0,0,1,22,7,0,0,0,12,6,3,0,0,0,0,0
132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,9,3,0,0,0,0,0,0
130,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,20,10,0,0,0,7,7,2,0,0,0,0,0
148,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,17,8,0,0,0,7,23,5,0,0,1,0,0
137,0,0,0,0,0,1,1,3,7,1,0,1,1,0,0,1,0,23,8,0,0,0,12,12,4,0,0,0,0,0
144,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,26,7,0,0,0,10,7,2,0,0,0,0,1
148,0,0,0,0,1,0,1,2,7,1,0,0,1,0,0,0,0,19,14,1,0,0,10,9,3,0,0,0,1,0
135,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,14,21,1,0,0,5,11,1,0,0,1,0,0
128,0,0,0,0,0,1,1,2,6,0,0,0,0,0,0,0,0,13,13,0,0,0,6,5,2,0,0,0,0,0
157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,3,0,1,0,8,7,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,4,0,0,0,6,9,1,1,0,1,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,0,10,4,1,0,0,0,0,0
136,0,1,0,0,0,0,1,2,11,0,1,1,0,1,0,0,0,10,16,1,0,0,6,16,11,1,0,1,1,0
136,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,28,8,0,0,0,10,3,1,0,0,0,0,0
146,0,0,0,0,0,1,1,1,12,1,1,1,1,1,0,1,0,13,17,0,0,1,5,12,11,1,1,0,0,0
146,0,0,0,0,0,1,1,1,12,1,1,1,1,1,0,1,0,13,17,0,0,1,5,10,11,1,1,0,0,0
156,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,22,12,0,1,0,10,12,2,0,0,0,0,0
152,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,20,8,0,0,0,8,25,5,0,0,1,0,0
152,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,20,8,0,0,0,8,25,5,0,0,1,0,0
152,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,20,8,0,0,0,8,25,5,0,0,1,0,0
153,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,2,1,0,0,0,1,0,0
151,0,0,0,0,0,0,0,2,7,1,0,0,1,0,0,0,0,24,13,0,0,0,14,10,0,0,0,0,0,0
150,0,0,0,0,0,1,1,3,8,1,1,1,1,1,0,0,0,24,16,0,1,0,8,16,7,0,0,0,0,0
152,0,0,0,0,0,0,1,1,9,1,1,0,1,1,0,0,0,12,7,1,0,0,7,25,11,1,0,1,1,0
136,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,33,3,1,0,0,10,15,0,0,0,0,0,1
147,1,0,0,1,0,1,1,2,9,1,1,1,1,1,0,1,0,29,10,1,0,0,11,13,8,1,0,1,0,0
140,1,0,0,1,1,0,1,3,2,0,0,0,0,0,0,0,0,28,22,0,0,1,9,11,2,0,0,1,0,0
153,0,0,0,0,1,1,1,1,5,1,0,1,1,1,0,0,0,26,14,0,0,0,11,15,9,1,0,1,0,0
142,0,0,0,0,1,0,1,0,2,1,0,0,1,0,0,0,0,23,26,1,0,1,9,8,3,1,0,1,0,0
138,0,0,0,0,0,1,1,1,8,1,0,1,1,0,0,1,0,14,21,0,1,0,8,27,6,0,0,0,0,0
129,0,0,0,0,0,1,0,1,9,0,1,1,0,0,0,1,0,16,15,0,0,0,7,27,6,1,0,1,0,0
138,0,0,0,0,1,0,1,4,2,1,0,1,1,0,0,0,0,31,18,0,0,0,8,3,4,0,0,0,0,0
157,0,0,0,0,0,0,1,2,8,0,1,1,0,1,0,1,0,19,21,0,0,1,8,10,6,0,0,0,0,0
139,0,0,0,0,1,0,1,2,12,1,0,1,1,0,0,1,1,25,21,1,0,1,14,12,5,0,0,1,0,0
120,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,22,7,0,0,0,12,6,2,0,0,0,0,0
127,0,1,0,0,0,0,1,4,5,1,0,0,1,0,1,0,0,24,21,0,0,0,11,11,4,0,0,0,0,0
144,0,0,0,1,0,1,0,1,5,0,1,0,0,1,0,0,0,18,28,0,0,0,8,21,3,1,1,1,0,0
138,0,0,0,0,1,0,1,2,1,1,0,0,1,0,0,0,0,36,5,0,0,0,15,12,1,0,0,1,0,0
