perm_android_permission_ACCESS_COARSE_LOCATION,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_PHONE_STATE,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_FINE_LOCATION,suspicious_getSubscriberId,n_urls,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_net_wifi_supplicant_CONNECTION_CHANGE,intent_android_intent_action_CREATE_SHORTCUT,intent_android_intent_action_DELETE,perm_com_android_launcher3_permission_READ_SETTINGS,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_net_wifi_STATE_CHANGE,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_com_android_launcher_permission_READ_SETTINGS,intent_android_app_action_DEVICE_ADMIN_ENABLED,intent_android_intent_action_EXTERNAL_APPLICATIONS_AVAILABLE,perm_com_android_alarm_permission_SET_ALARM,intent_android_intent_action_PACKAGE_FULLY_REMOVED,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_PHONE_STATE,n_services,n_providers,intent_com_android_vending_INSTALL_REFERRER,label
0,0,0,0,0,1,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0
0,0,0,0,0,1,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0
0,0,0,0,0,1,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0
0,0,0,0,0,1,0,0,0,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0
0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0
0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
0,0,0,0,0,1,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0
1,0,0,1,0,1,0,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0
0,0,0,0,0,1,0,0,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0
0,0,0,0,0,1,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
0,0,0,0,0,1,0,0,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0
1,0,0,0,0,0,0,1,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0
0,0,0,1,0,1,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0
0,0,0,0,0,1,0,0,0,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0
0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0
0,0,0,1,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,0,0,1,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,1,0,0,0,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0
0,0,0,1,0,1,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
