n_permissions,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_READ_PHONE_STATE,n_services,suspicious_getSubscriberId,suspicious_Ljava_lang_Runtime___exec,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_SEND_SMS,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,n_urls,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_com_android_launcher_permission_READ_SETTINGS,suspicious_getSystemService,perm_android_permission_RECEIVE_USER_PRESENT,n_used_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_android_vending_INSTALL_REFERRER,intent_android_intent_action_BOOT_COMPLETED,suspicious_Base64,suspicious_getPackageInfo,n_api_calls,n_receivers,perm_android_permission_READ_LOGS,perm_android_permission_ACCESS_NETWORK_STATE,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_com_android_vending_BILLING,label
10,1,0,1,0,1,0,0,0,0,4,1,1,0,1,0,1,0,3,0,0,0,0,1,4,0,0,1,0,0,1
11,1,1,1,1,0,0,0,0,0,3,1,0,0,1,1,1,0,2,0,0,0,1,1,4,1,0,1,0,0,1
7,0,0,1,0,1,1,0,0,0,3,0,1,0,1,0,1,0,3,0,0,0,1,1,5,0,1,1,0,0,1
9,0,0,1,0,1,0,0,0,0,6,1,0,0,1,0,1,0,4,1,1,0,1,1,5,2,0,1,0,0,0
9,1,1,1,1,0,0,1,0,0,3,1,0,0,1,0,1,0,2,0,0,0,1,1,4,1,0,1,0,0,1
8,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,1,1,3,0,1,0,0,1,6,1,0,1,0,0,0
8,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,1,1,3,0,1,0,0,1,6,1,0,1,0,0,0
11,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,4,0,0,1,0,0,1
11,1,0,1,1,1,1,0,0,0,2,0,0,0,1,0,1,0,4,0,0,0,1,1,6,0,1,1,0,0,1
10,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,1,1,4,0,0,1,0,0,1
10,1,0,1,0,1,0,1,0,0,2,1,0,0,1,0,1,0,2,0,0,0,0,1,4,1,0,1,0,0,1
10,1,0,1,1,0,1,0,0,0,7,1,1,0,1,0,1,0,3,0,0,1,1,1,4,1,0,1,0,0,1
8,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,4,0,0,0,1,1,4,1,0,1,0,0,0
8,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,1,1,1,0,1,0,0,1,2,2,0,1,0,0,0
8,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,1,1,1,0,1,0,0,1,2,2,0,1,0,0,0
9,1,0,0,2,0,0,1,0,0,4,0,0,1,1,0,1,1,4,0,0,1,1,1,6,1,0,1,0,0,1
9,1,1,1,1,0,0,1,0,1,2,0,0,0,1,0,1,0,3,0,0,0,0,1,7,1,0,1,0,0,1
9,1,0,0,2,0,0,1,0,0,4,0,0,1,1,0,1,1,4,0,0,1,1,1,6,1,0,1,0,0,1
8,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,1,1,1,0,1,0,0,1,2,2,0,1,0,0,0
8,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,1,1,3,0,1,0,0,1,7,2,0,1,0,0,0
10,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1
8,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,5,0,0,0,1,1,5,1,0,1,0,0,0
9,1,0,1,2,0,0,0,0,0,2,1,0,0,1,0,1,0,3,0,0,0,1,1,6,2,0,1,0,0,1
10,1,0,1,1,0,0,1,0,0,5,0,1,1,1,0,1,0,2,0,0,1,0,1,3,2,0,1,1,0,1
10,1,0,1,1,0,0,1,0,0,5,0,1,1,1,0,1,0,2,0,0,1,0,1,3,2,0,1,1,0,1
12,1,1,1,0,0,1,0,0,0,4,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
10,1,1,1,1,1,0,0,0,1,2,0,1,1,1,1,1,0,4,0,0,1,0,1,8,1,0,1,0,0,1
8,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,1,1,7,0,0,1,0,0,1
8,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,0,0,1,0,6,0,0,1,0,0,1
13,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,1,1,0,0,1
12,1,0,1,0,0,1,0,0,0,3,1,0,0,1,0,1,0,3,0,0,0,1,1,4,0,0,1,0,0,1
9,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,1,3,0,0,1,0,0,1
12,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,2,1,0,0,0,0,6,0,0,1,0,0,1
9,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,1,4,0,0,1,0,0,1
9,0,1,1,1,1,1,0,0,1,3,0,0,0,1,0,1,0,4,0,0,0,1,1,6,0,1,1,0,0,1
7,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,4,1,0,1,0,0,1
10,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3,0,0,0,1,1,8,0,0,1,0,0,0
12,1,1,1,0,1,1,1,0,1,2,1,0,0,1,1,1,0,4,0,0,0,1,1,6,1,1,1,0,0,1
6,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,0,0,1
8,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,3,0,0,0,1,0,7,0,0,1,0,0,1
8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1,1,3,1,0,1,0,1,0
9,0,0,0,1,1,1,0,0,0,2,0,0,1,1,0,1,0,4,0,0,1,1,1,6,1,1,1,1,0,1
6,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,2,0,0,0,0,1,3,0,0,0,0,0,1
10,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,3,0,0,1,0,0,7,1,0,1,0,0,1
10,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,3,0,0,1,0,0,7,1,0,1,0,0,1
6,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,1
10,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,3,0,0,1,0,0,7,1,0,1,0,0,1
10,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,3,0,0,1,0,0,7,1,0,1,0,0,1
10,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,3,0,0,1,0,0,7,1,0,1,0,0,1
10,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,3,0,0,1,0,0,7,1,0,1,0,0,1
6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1,1,5,0,0,1,0,0,0
8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4,0,0,1,0,0,1
6,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,1,0,4,0,0,0,1,1,6,0,1,1,0,0,1
9,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,5,0,0,0,0,1,7,0,0,1,0,0,1
7,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,4,0,0,1,0,0,1
6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1,1,7,0,0,1,0,0,0
9,1,0,1,1,1,1,1,0,0,3,1,1,0,1,0,1,0,4,1,0,0,1,1,6,2,1,1,0,0,1
10,1,1,1,3,0,0,0,0,0,1,1,0,0,1,0,1,0,3,0,0,0,1,0,4,1,0,1,0,0,1
6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,1,0,6,0,0,1,0,0,0
7,1,0,1,2,0,0,0,0,0,3,1,0,0,1,0,1,0,2,0,0,0,0,0,7,1,0,1,0,0,1
14,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,2,1,0,0,1,1,4,0,0,1,0,0,1
7,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,2,1,0,0,1,0,6,0,0,1,0,0,1
7,0,0,0,2,1,1,0,0,0,3,0,1,0,1,0,1,0,4,0,0,0,1,1,6,0,1,1,0,0,1
12,0,0,1,1,0,0,0,0,0,6,0,1,0,1,0,1,0,4,1,0,0,1,1,7,0,0,1,0,0,0
7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1,1,3,1,0,1,0,1,0
5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,1,1,2,0,0,1,0,0,0
13,0,1,1,2,1,1,1,0,1,3,1,0,0,1,0,1,0,4,0,0,0,1,1,6,1,1,1,0,0,1
6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,1,1,5,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,1,1,7,0,0,1,0,0,0
7,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,3,1,0,0,0,0,1
7,0,0,1,1,1,1,1,0,0,2,1,1,0,1,0,1,0,4,0,0,0,1,1,6,1,0,1,0,0,1
15,1,1,1,0,1,1,0,0,0,3,1,0,0,1,1,1,0,4,1,0,0,1,1,6,0,1,1,0,0,1
7,0,0,1,2,0,1,0,0,0,3,0,0,0,1,0,1,0,3,0,0,0,1,1,4,0,0,1,0,0,0
7,0,0,1,1,1,1,0,0,0,2,0,1,0,1,0,1,0,4,0,0,0,1,1,6,0,0,1,0,0,1
15,1,1,1,1,1,1,0,0,0,3,1,0,0,1,1,1,0,4,1,0,0,1,1,6,0,1,1,0,0,1
13,1,1,1,2,0,0,1,0,1,4,1,0,1,1,1,1,0,2,0,0,1,1,1,2,3,0,1,0,0,1
5,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,3,0,0,1,0,0,3,1,0,0,0,0,1
6,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,1,0,0,4,1,0,0,0,0,1
7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,5,2,0,1,0,0,1
13,0,1,1,1,1,1,0,0,1,3,0,0,1,1,0,1,0,3,0,0,1,1,1,5,1,1,1,0,0,1
7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,5,2,0,1,0,0,1
7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,5,2,0,1,0,0,1
7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,5,2,0,1,0,0,1
7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,5,2,0,1,0,0,1
5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,4,0,0,0,0,0,0
7,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,0,1
7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,5,2,0,1,0,0,1
5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,4,0,0,0,0,0,0
13,1,1,1,0,0,1,0,0,0,6,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1,1,5,0,0,1,0,0,0
7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,5,2,0,1,0,0,1
5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,4,0,0,0,0,0,0
6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,0,0,0,1,0,4,2,0,1,1,0,1
9,0,0,1,1,0,0,0,1,0,2,0,0,0,1,0,1,0,4,0,0,1,0,0,5,4,0,0,0,0,1
8,1,1,1,1,0,0,1,0,0,2,1,0,0,1,0,1,0,3,0,1,0,1,1,3,4,0,1,0,0,1
9,0,0,1,1,0,0,0,1,0,2,0,0,0,1,0,1,0,4,0,0,1,0,0,5,4,0,0,0,0,1
6,0,0,0,1,0,0,0,0,0,7,0,0,1,1,0,1,0,4,0,0,1,1,1,5,2,0,0,0,1,0
12,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
15,1,1,1,1,1,1,0,0,0,2,1,1,0,1,1,1,0,4,1,0,0,1,1,6,0,1,1,0,0,1
5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,3,0,0,1,0,0,0
6,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,4,1,0,1,0,0,1
12,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
13,1,1,1,1,1,1,1,0,1,2,1,1,0,1,0,1,0,4,0,0,0,1,1,6,1,1,1,0,0,1
11,0,0,1,3,1,1,1,0,0,3,1,1,0,1,0,1,0,3,1,0,0,1,1,4,3,1,1,0,0,1
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,0,1,0,0,0
5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,4,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,1,1,7,0,0,1,0,0,0
7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,4,0,0,1,0,0,0
7,0,0,1,2,0,1,0,0,0,4,0,0,1,0,0,1,0,3,0,0,1,1,1,4,3,0,0,0,0,0
5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0
14,0,0,1,0,1,1,0,1,0,2,0,1,0,1,0,1,0,4,1,0,0,1,1,6,0,1,1,0,0,1
5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,6,0,0,1,0,0,0
7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,2,0,1,0,0,1
6,1,1,0,1,0,0,0,0,0,5,0,1,0,1,0,1,0,4,0,0,0,0,0,9,0,0,1,0,0,1
7,0,0,1,2,0,1,0,0,0,7,0,1,0,1,0,1,0,2,0,0,0,1,1,5,0,0,1,0,0,1
6,1,1,0,1,0,0,0,0,0,5,0,1,0,1,0,1,0,4,0,0,0,0,0,9,0,0,1,0,0,1
