n_permissions,n_api_calls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_LOGS,perm_android_permission_WRITE_SETTINGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_MESSAGING_EVENT,suspicious_setWifiEnabled,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_igexin_sdk_action_refreshls,suspicious_getSubscriberId,perm_android_permission_BATTERY_STATS,perm_android_permission_DISABLE_KEYGUARD,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,n_urls,n_activities,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_getWifiState,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_CONFIGURATION,n_providers,label
38,72,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,304,169,1,1,1,1,0,1
36,44,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,297,167,1,1,1,1,2,1
49,65,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,305,141,1,1,1,1,1,1
33,44,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,286,151,1,1,1,0,2,1
32,33,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,320,149,1,1,1,1,1,1
31,55,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,270,140,1,1,0,0,9,1
42,66,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,300,128,1,1,1,1,11,1
50,107,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,322,191,1,1,1,0,8,1
45,32,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,331,174,1,1,1,0,2,0
56,64,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,336,170,1,0,1,1,16,0
