n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,n_urls,n_api_calls,perm_android_permission_ACCESS_WIFI_STATE,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,suspicious_Cipher,suspicious_Base64,perm_android_permission_READ_PHONE_STATE,suspicious_Ljava_lang_System___load,suspicious_getPackageInfo,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getExternalStorageDirectory,suspicious_getDeviceId,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_getSystemService,suspicious_system_bin_su,perm_android_permission_WRITE_SETTINGS,perm_android_permission_WRITE_EXTERNAL_STORAGE,n_services,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_CHANGE_WIFI_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_android_vending_INSTALL_REFERRER,intent_android_intent_action_USER_PRESENT,label
17,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,15,0,1,0,0,0,1,1
18,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,11,0,1,0,0,0,1,1
22,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,12,0,1,0,0,0,0,1
17,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,9,0,1,0,0,0,0,1
23,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,16,0,1,0,0,0,1,1
17,0,1,3,5,1,3,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,13,0,0,0,0,0,0,1
19,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,1
18,0,0,2,5,1,3,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,17,1,0,0,0,1,1,1
21,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,8,0,1,0,0,0,1,1
18,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,1
17,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,8,0,0,0,0,0,0,1
18,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,19,1,0,1,0,1,0,1
22,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,8,0,1,0,0,0,1,1
26,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,14,0,1,0,0,0,1,1
24,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,16,0,1,0,0,0,1,1
21,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,7,0,1,0,0,0,0,1
26,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,15,0,1,0,0,0,1,1
22,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,11,0,1,0,0,0,0,1
22,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,17,0,0,0,0,0,1,1
23,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,13,0,0,0,1,0,0,1
18,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,23,0,0,0,0,0,1,1
24,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,8,0,1,0,0,0,1,1
21,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,1
19,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,9,0,1,0,0,0,1,1
20,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1
24,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,19,1,0,0,0,1,1,1
