perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,n_api_calls,n_used_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_PHONE_STATE,suspicious_Base64,suspicious_getPackageInfo,suspicious_Cipher,suspicious_getExternalStorageDirectory,suspicious_Ljava_lang_System___load,suspicious_getSystemService,suspicious_getDeviceId,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_PACKAGE_ADDED,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_PACKAGE_REMOVED,n_services,intent_com_android_vending_INSTALL_REFERRER,suspicious_system_bin_su,intent_android_intent_action_USER_PRESENT,perm_android_permission_ACCESS_COARSE_LOCATION,label
1,1,27,1,6,8,2,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,3,0,0,1,1,1
1,1,29,1,3,4,3,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,7,1,1,1,1,0
1,1,27,1,5,15,8,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1
1,1,26,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,4,0,0,1,1,1
1,1,27,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,6,0,0,1,1,1
1,1,28,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,1,1
1,1,29,1,1,4,2,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,10,0,0,0,1,1
1,1,25,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,6,0,0,1,1,1
1,1,27,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,1
1,1,27,1,2,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,12,0,0,1,1,1
1,1,23,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,5,0,0,1,1,1
1,1,25,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,4,0,0,1,1,1
1,1,26,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,4,0,0,1,0,1
1,0,18,1,1,4,2,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,5,0,0,1,1,1
1,1,17,1,3,6,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1
1,1,23,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,1
1,1,23,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,1
1,1,23,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,6,1,0,0,1,1
1,1,29,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,5,0,0,1,1,1
1,0,21,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,7,0,0,0,0,1
1,1,24,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,7,0,0,1,1,1
1,0,29,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1
1,1,21,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,4,0,0,1,1,1
1,1,28,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,1,1
1,1,23,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1
1,1,29,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,10,0,0,0,1,1
1,1,27,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,8,0,0,1,1,1
0,1,20,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1
1,1,24,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,8,0,0,1,1,1
0,1,19,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3,0,0,1,1,1
1,1,25,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7,0,0,1,1,1
0,0,20,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,6,1,0,0,0,0
1,1,31,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1
0,0,26,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,1,1
1,0,29,1,16,8,6,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,6,1,0,1,1,1
1,0,25,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,0,0,1,1,1
1,1,21,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,8,0,0,1,0,1
1,1,28,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,1,1
