n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_NETWORK_STATE,intent_android_intent_action_USER_PRESENT,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_providers,perm_android_permission_CHANGE_WIFI_STATE,suspicious_getSubscriberId,perm_android_permission_WRITE_SMS,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_BLUETOOTH,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_permissions,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_RESTART_PACKAGES,intent_android_bluetooth_adapter_action_STATE_CHANGED,perm_android_permission_WRITE_SETTINGS,perm_android_permission_RECEIVE_SMS,intent_android_intent_action_ACTION_POWER_CONNECTED,n_used_permissions,n_services,n_urls,label
24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18,1,1,1,0,0,0,0,0,10,60,110,0
18,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,1,0,17,1,1,0,0,0,0,0,0,10,35,104,0
33,1,0,0,0,0,0,1,1,0,2,0,1,0,1,1,0,0,27,1,1,0,0,0,0,0,0,12,27,99,0
36,0,1,1,0,0,1,1,1,1,6,0,1,0,0,1,0,0,18,1,1,0,0,0,0,0,0,18,25,103,0
27,0,0,1,0,0,0,1,0,1,8,0,0,0,1,0,0,0,18,0,1,1,0,0,0,0,1,12,25,116,0
24,0,1,1,1,0,1,1,1,0,7,1,1,0,1,1,1,1,20,1,1,0,0,0,0,0,0,11,21,117,0
33,1,1,1,1,1,1,0,0,0,6,0,1,0,0,1,0,1,26,0,0,1,0,0,0,0,1,12,31,134,0
40,1,1,0,1,1,0,1,1,0,6,1,0,0,1,1,0,0,25,1,1,1,0,0,1,0,1,17,30,127,0
42,1,1,1,1,1,1,1,1,0,7,1,0,0,1,1,0,0,27,1,1,1,0,0,0,0,1,20,35,100,0
31,1,0,1,0,0,0,1,1,0,7,1,0,0,1,1,1,0,19,1,1,1,0,0,0,0,1,11,20,117,0
21,1,0,0,0,0,0,1,1,0,5,0,0,0,1,1,0,0,14,1,1,1,0,0,0,0,0,8,18,114,0
31,1,0,1,0,0,0,1,1,0,7,1,0,0,1,1,1,0,19,1,1,1,0,0,0,0,1,11,20,118,0
21,0,0,1,0,0,0,1,0,0,5,0,0,0,0,1,1,0,17,1,0,0,0,0,0,0,0,10,18,122,0
36,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,33,0,1,1,1,1,0,1,0,10,21,107,1
36,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,33,0,1,1,1,1,0,1,0,10,21,107,1
36,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,33,0,1,1,1,1,0,1,0,10,21,107,1
36,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,33,0,1,1,1,1,0,1,0,10,21,107,1
43,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,13,0,0,1,0,0,0,0,0,10,24,100,1
40,1,0,1,0,0,1,1,1,0,8,0,0,0,1,1,0,0,14,1,1,1,0,0,0,0,1,16,22,118,0
26,0,0,0,0,0,0,1,1,0,5,0,0,0,1,1,0,0,14,1,1,1,0,0,0,0,0,14,17,109,0
30,0,0,0,0,0,0,1,1,0,4,0,0,0,1,1,0,0,16,1,1,0,0,0,0,0,1,15,22,133,0
36,1,0,0,0,0,0,1,1,0,5,0,1,0,1,1,0,0,9,1,1,0,0,0,0,0,0,15,26,120,0
