perm_android_permission_ACCESS_NETWORK_STATE,n_permissions,n_used_permissions,n_api_calls,suspicious_getSystemService,suspicious_Base64,n_urls,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,suspicious_Ljava_lang_System___loadLibrary,suspicious_Ljava_lang_System___load,suspicious_getDeviceId,n_services,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_READ_EXTERNAL_STORAGE,suspicious_Cipher,n_activities,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_RECORD_AUDIO,perm_com_android_vending_BILLING,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_VIEW,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MODIFY_AUDIO_SETTINGS,perm_android_permission_SEND_SMS,perm_android_permission_NFC,intent_com_taobao_accs_intent_action_START_FROM_AGOO,perm_com_yulong_android_launcher_permission_READ_SETTINGS,perm_android_permission_SET_DEBUG_APP,intent_com_qihoo360_mobilesafe_pcdaemon_sms_restore_start,label
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
