perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_api_calls,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getWifiState,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_READ_LOGS,perm_android_permission_READ_PHONE_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getCellLocation,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_RESTART_PACKAGES,intent_android_intent_action_PACKAGE_REMOVED,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_MESSAGING_EVENT,n_providers,suspicious_sendTextMessage,n_services,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_RECEIVE_SMS,suspicious_setWifiEnabled,perm_android_permission_ACCESS_WIFI_STATE,label
1,0,18,0,56,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,1
0,0,13,0,56,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0
1,0,25,1,58,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,9,1,0,1,1,1
0,1,20,1,43,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,1,1,1
1,1,21,0,58,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,1
0,1,20,1,43,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,1,1,1
1,0,20,0,61,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,2,0,7,0,0,0,1,0
1,1,20,0,55,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,16,0,0,1,1,1
1,1,25,1,59,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,9,0,0,1,1,1
1,1,25,1,59,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,9,0,0,1,1,1
1,1,32,1,49,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,11,1,0,1,1,1
1,0,28,1,45,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,11,1,0,0,1,1
0,0,6,0,50,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,12,0,0,0,0,0
1,1,29,1,49,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,6,0,0,1,1,1
1,1,23,1,51,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,12,1,0,0,1,1
0,0,9,0,51,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,12,0,0,0,1,0
1,0,21,0,58,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,1,1
1,1,25,1,51,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,1
1,1,19,1,42,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,7,1,0,0,1,1
0,0,15,0,49,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,2,0,20,0,0,0,1,0
1,1,24,1,57,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,13,1,0,1,1,1
1,1,29,1,52,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,14,0,0,1,1,1
1,1,32,1,64,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,8,0,0,0,1,1
1,1,21,1,55,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,6,1,0,1,1,1
1,0,21,0,58,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,1,1
1,0,21,0,58,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,1,1
0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,5,0,0,0,0,0
1,0,15,0,41,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,7,0,0,0,1,1
1,1,22,1,51,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,1
0,0,22,0,61,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0
0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,5,0,0,0,0,0
0,0,5,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0
0,0,16,0,45,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,7,1,0,0,1,1
0,1,32,1,54,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,17,0,1,1,1,1
0,1,11,0,36,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,2,0,6,0,0,1,1,0
1,1,31,1,49,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,11,1,0,0,1,1
1,0,19,1,55,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0
0,0,9,0,52,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6,0,12,0,0,0,1,0
0,1,31,1,74,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,5,0,0,1,1,0
0,0,15,0,54,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
0,0,15,0,54,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
0,0,15,0,54,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
0,0,12,0,38,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,1
0,0,8,0,40,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,4,0,0,0,1,1
0,0,7,0,46,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0
1,1,17,0,45,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,24,1,36,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,8,0,0,0,1,1
0,0,6,0,46,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0
1,0,13,1,33,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,3,0,0,0,1,1
1,1,27,1,45,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,17,1,0,1,1,1
1,1,18,1,53,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,9,1,0,1,1,1
1,1,30,1,58,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,4,0,6,0,0,0,1,0
0,0,8,0,53,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,5,0,11,0,0,0,1,0
1,0,25,1,50,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,9,1,0,0,1,1
1,0,17,1,34,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,21,0,44,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,8,0,0,0,1,1
1,1,21,0,44,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,8,0,0,0,1,1
1,1,26,1,56,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,14,0,1,1,1,1
1,1,24,1,57,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,7,1,0,0,1,1
0,0,10,0,45,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,11,0,0,0,1,0
1,1,26,1,49,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,16,0,0,1,1,1
1,1,18,1,51,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,9,1,0,1,1,1
0,0,12,0,48,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,2,0,20,0,0,0,1,0
1,1,31,1,53,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,6,0,1,1,1,1
1,1,32,1,38,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,9,1,0,0,1,1
0,0,9,0,44,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,12,0,0,0,1,0
1,1,25,1,62,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,4,0,0,0,1,1
1,1,25,1,62,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,4,0,0,0,1,1
0,1,11,0,40,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,1,32,1,38,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,9,1,0,0,1,1
0,0,23,0,46,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,10,0,19,0,0,0,1,0
1,1,25,0,49,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,1,1,1
1,1,35,1,61,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,11,1,0,0,1,1
1,0,20,0,37,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,6,0,16,1,0,0,1,1
0,0,12,0,46,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,10,1,0,0,1,1
0,0,6,1,63,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1,1,33,1,56,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,11,0,0,0,1,1
1,1,27,1,70,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,4,1,14,0,0,0,1,1
1,1,38,1,70,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,3,1,0,0,1,1
1,1,40,0,55,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,3,0,12,1,0,1,1,1
1,1,27,1,35,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0
0,0,14,0,47,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,4,0,13,1,0,0,1,1
1,1,19,1,56,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,27,0,44,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,10,0,0,0,1,0
0,1,22,1,54,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1
0,1,22,1,54,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1
1,1,21,0,44,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,9,0,0,0,1,1
0,1,21,1,47,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,4,0,5,0,0,0,1,0
1,1,19,1,37,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,5,0,1,0,1,1
0,1,22,1,32,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0
0,0,7,0,39,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,14,0,0,0,0,0
0,0,7,0,39,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,14,0,0,0,0,0
0,0,16,0,43,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0
0,1,22,1,54,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1
1,1,26,1,52,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,9,1,1,0,1,0
1,1,20,1,44,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,4,0,0,1,1,1
0,0,16,0,49,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0
1,1,27,1,71,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,1
1,1,30,1,31,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,3,0,11,1,0,1,1,1
0,0,30,0,54,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,10,0,0,0,1,0
1,1,27,1,79,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,7,1,0,1,1,1
1,1,30,1,31,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,3,0,11,1,0,1,1,1
1,1,20,0,60,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,9,0,0,1,1,1
1,1,19,1,45,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,9,1,0,1,1,1
0,0,7,0,42,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,3,0,0,0,1,0
1,1,35,1,48,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,6,0,15,1,0,1,1,0
1,1,31,0,60,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,17,1,1,0,1,1
1,1,32,1,43,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,2,1,0,0,1,1
0,0,6,0,45,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0
0,0,8,0,49,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,2,0,9,0,0,0,0,0
1,1,27,1,68,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,3,0,11,0,0,1,1,1
1,1,45,1,60,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,11,1,0,1,1,1
0,0,7,0,53,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,2,0,5,0,0,0,1,0
1,1,20,0,40,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,6,0,1,0,1,0
1,1,23,1,68,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,9,0,0,0,1,0
1,1,22,1,74,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,6,0,0,1,1,1
1,1,22,1,38,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,11,0,31,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,10,0,0,0,1,0
1,1,40,1,66,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,10,0,1,0,1,1
0,0,13,0,28,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,3,0,15,0,0,0,0,0
0,0,18,0,42,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,3,0,21,0,0,0,1,0
0,0,18,0,42,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,2,1,14,0,1,0,1,0
1,1,24,1,51,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,8,1,0,1,1,1
