perm_android_permission_READ_PHONE_STATE,n_permissions,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_SEND_SMS,n_api_calls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getSimCountryIso,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_USER_PRESENT,suspicious_sendTextMessage,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_READ_LOGS,intent_android_intent_action_PACKAGE_REMOVED,suspicious_getWifiState,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getCellLocation,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_Ljava_lang_System___loadLibrary,suspicious_adb_enabled,n_activities,n_urls,n_used_permissions,intent_safiap_framework_ACTION_CANCEL_NOTIFICATION,perm_android_permission_READ_CONTACTS,label
1,4,0,0,0,1,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,28,14,0,0,0
0,4,0,0,1,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,30,12,0,0,0
0,3,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,30,12,0,0,0
1,6,0,0,1,1,0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,31,14,0,0,1
0,6,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,28,14,0,0,0
0,6,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,28,14,0,0,0
1,7,0,0,1,1,0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,31,14,0,0,1
0,6,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,13,0,0,0
1,5,0,0,1,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,28,11,0,0,1
1,7,0,1,1,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,29,11,0,0,1
1,9,1,0,1,1,0,41,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,4,25,13,0,0,1
0,4,0,0,1,1,0,43,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,6,23,13,0,0,0
1,5,0,0,1,1,0,44,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,5,22,14,0,0,0
1,5,0,0,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,13,0,0,0
0,5,0,0,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,13,0,0,0
0,2,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,11,0,0,1
0,4,0,0,1,0,0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,23,13,0,0,0
0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,24,16,0,0,0
0,7,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,11,0,0,1
1,10,1,0,1,1,0,42,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,3,24,12,0,0,1
