suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_SEND_SMS,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_WRITE_SETTINGS,perm_android_permission_CHANGE_WIFI_STATE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_READ_PHONE_STATE,intent_com_google_android_c2dm_intent_RECEIVE,n_permissions,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,n_api_calls,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_KILL_BACKGROUND_PROCESSES,perm_com_google_android_providers_gsf_permission_READ_GSERVICES,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_READ_SMS,perm_android_permission_GET_PACKAGE_SIZE,intent_android_intent_action_PACKAGE_REPLACED,label
1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,21,1,1,1,53,1,0,0,0,0,0,0,1,0,1
1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,19,1,1,1,51,1,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,16,0,0,1,55,1,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,24,0,0,1,53,1,0,0,0,0,0,1,0,0,1
1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,22,0,1,1,55,1,0,0,0,0,0,1,0,0,1
1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,12,1,0,1,50,1,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,25,0,0,1,49,1,0,0,1,0,0,1,0,0,1
1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,24,1,0,1,54,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,18,1,1,1,48,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,17,1,1,1,45,1,1,1,0,0,0,0,0,1,1
1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,25,1,0,1,43,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,0,0,0,52,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0,1,48,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,20,0,1,1,57,1,0,0,0,1,0,0,0,0,0
1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,17,0,0,1,43,1,0,0,0,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,23,1,1,1,50,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24,0,0,0,48,1,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,11,1,0,1,58,1,1,0,0,0,0,0,0,0,1
1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,21,1,0,1,48,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,0,0,1,48,1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,28,1,1,1,46,1,0,0,0,0,0,1,1,0,1
1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,23,0,1,1,45,1,0,0,0,0,0,0,0,1,1
1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,18,0,0,1,42,1,0,0,1,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,21,1,1,1,45,1,0,0,0,0,0,0,0,0,1
