n_api_calls,perm_android_permission_GET_TASKS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getSubscriberId,perm_android_permission_WRITE_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_READ_PHONE_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getCellLocation,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_ACCESS_FINE_LOCATION,suspicious_Ldalvik_system_PathClassLoader_,n_providers,perm_android_permission_CHANGE_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_htc_launcher_permission_UPDATE_SHORTCUT,n_services,perm_android_permission_ACCESS_WIFI_STATE,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_CHANGE_NETWORK_STATE,n_permissions,n_receivers,perm_com_majeur_launcher_permission_UPDATE_BADGE,perm_com_sonyericsson_home_permission_BROADCAST_BADGE,perm_com_anddoes_launcher_permission_UPDATE_COUNT,n_activities,perm_com_sec_android_provider_badge_permission_WRITE,label
39,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,2,1,0,0,0,22,2,0,0,0,25,0,0
38,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,16,0,0,0,0,26,0,1
44,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,2,1,0,0,0,22,1,0,0,0,24,0,1
41,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,22,6,0,0,0,29,0,1
41,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,5,1,0,0,0,18,4,0,0,0,25,0,1
42,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,18,6,0,0,0,21,0,1
37,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,3,1,0,0,0,19,2,0,0,0,30,0,0
35,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,18,0,0,0,0,20,0,0
43,1,0,1,1,0,0,1,0,0,1,1,1,2,1,0,0,0,1,1,0,0,1,18,1,0,0,0,18,0,1
37,1,0,1,1,0,1,1,1,0,1,1,1,3,1,0,1,0,7,1,0,1,1,19,8,0,0,0,27,0,1
33,0,0,0,1,0,0,0,0,1,1,0,1,3,1,0,0,0,5,1,0,0,1,17,2,0,0,0,23,0,0
34,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,14,4,0,0,0,27,0,0
37,1,0,0,1,1,0,1,0,1,1,1,0,5,1,0,0,0,8,1,0,0,1,23,1,0,0,0,30,0,1
42,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,20,1,0,0,0,26,0,1
35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,13,4,0,0,0,28,0,0
30,0,0,0,1,0,1,1,1,1,1,1,0,3,0,0,0,0,5,1,0,0,0,19,5,0,0,0,22,0,0
34,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,5,1,0,0,0,19,5,1,1,1,19,1,0
36,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,5,1,0,1,0,16,7,0,0,0,19,0,0
43,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,2,1,0,0,0,18,1,0,0,0,32,0,0
33,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1,0,0,6,1,0,0,0,19,4,0,0,0,30,0,1
46,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,21,1,0,0,0,17,0,1
30,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,4,1,0,0,0,17,5,0,0,0,30,0,1
44,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,18,2,0,0,0,19,0,1
35,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,9,1,0,1,1,14,5,0,0,0,29,0,0
41,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,21,6,0,0,0,21,0,1
35,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,2,1,0,0,0,16,0,0,0,0,19,0,1
