suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_ACCESS_WIFI_STATE,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_android_permission_READ_LOGS,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_REMOVED,suspicious_getCellLocation,n_providers,n_permissions,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_READ_CONTACTS,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,intent_android_intent_action_USER_PRESENT,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,n_api_calls,intent_com_google_android_c2dm_intent_REGISTRATION,suspicious_Base64,perm_android_permission_READ_CALL_LOG,perm_android_permission_CHANGE_WIFI_STATE,label
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,13,0,1,0,0,1,0,0,0,18,1,1,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,13,0,1,0,0,1,0,0,0,18,1,1,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,13,0,1,0,0,1,0,0,0,18,1,1,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13,0,0,0,0,1,0,0,0,18,1,1,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,13,0,0,0,0,1,0,0,0,16,1,1,0,0,0
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,10,1,0,0,0,1,0,0,0,18,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,13,0,1,1,0,1,0,0,0,19,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,5,14,0,1,1,0,1,0,0,0,17,0,1,0,1,0
0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,16,0,0,0,0,1,0,0,0,22,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13,0,0,0,0,1,0,0,0,22,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,11,0,1,1,0,1,0,0,0,18,1,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,10,0,1,0,0,1,0,0,0,20,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,11,0,1,1,0,0,0,0,0,20,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,12,0,1,0,0,1,0,0,0,21,1,1,0,0,0
1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,13,1,0,0,0,1,0,0,0,21,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,12,0,1,1,0,1,0,0,0,19,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10,0,0,1,0,0,0,0,0,19,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,9,0,1,1,0,0,0,0,0,20,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10,0,0,1,0,0,0,0,0,19,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10,0,0,1,0,0,0,0,0,19,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,12,0,0,0,0,1,0,0,0,18,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,8,0,0,1,0,0,0,0,0,14,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,9,0,1,1,0,1,0,0,0,19,0,1,0,0,0
1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,14,1,0,0,0,1,0,0,0,13,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,1,0,0,1,0,0,0,17,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,11,0,0,1,0,1,0,0,0,16,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,19,0,1,0,0,1,0,0,0,20,1,1,0,0,0
0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,14,0,0,1,0,1,0,0,0,22,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,0,0,0,0,1,0,0,0,16,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,9,0,0,1,0,1,0,0,0,16,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,12,0,1,0,0,1,0,0,0,20,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,8,0,1,1,0,1,0,0,0,21,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10,0,1,1,0,0,0,0,0,20,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,16,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,0,1,1,0,0,0,0,0,19,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,12,0,1,1,0,1,0,0,0,18,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,1,0,0,0,14,1,1,0,0,1
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15,1,0,0,0,1,0,0,0,14,0,1,0,1,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,14,0,1,0,0,0
