perm_android_permission_GET_TASKS,intent_android_net_conn_CONNECTIVITY_CHANGE,n_permissions,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_com_google_android_gms_permission_ACTIVITY_RECOGNITION,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_ACTION_POWER_DISCONNECTED,suspicious_getSubscriberId,intent_android_intent_action_ACTION_POWER_CONNECTED,n_activities,perm_android_permission_READ_LOGS,perm_android_permission_RECORD_AUDIO,perm_android_permission_READ_PHONE_STATE,intent_co_ronash_pushe_RECEIVE,intent_com_evernote_android_job_ADD_JOB_CREATOR,intent_com_igexin_sdk_action_refreshls,intent_co_ronash_pushe_service_ScreenStateService,perm_android_permission_RESTART_PACKAGES,n_providers,n_urls,n_api_calls,perm_android_permission_WRITE_CALENDAR,suspicious_getCellLocation,n_receivers,label
0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,50,18,0,0,7,0
0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,49,19,1,0,6,0
0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,1,0,0,0,0,0,1,52,18,0,0,3,0
0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,47,22,1,0,6,0
0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,47,22,1,0,6,0
0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,47,22,1,0,6,0
0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,47,22,1,0,6,0
0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,47,22,1,0,6,0
0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,47,22,1,0,6,0
0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,1,47,22,1,0,5,0
0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,1,47,22,1,0,5,0
0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,2,48,23,1,0,6,0
0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,1,47,22,1,0,5,0
0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,1,47,22,1,0,5,0
0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,1,47,22,1,0,5,0
0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,2,54,14,0,0,5,0
0,0,11,0,0,1,0,0,0,0,1,1,0,0,0,19,0,0,0,0,0,0,0,0,4,50,22,0,0,11,0
0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,5,48,15,0,0,5,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,48,20,0,0,3,0
0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,47,14,0,0,5,0
0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,1,52,20,0,1,7,0
0,0,9,0,0,1,0,0,1,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,3,49,23,0,0,4,0
0,0,12,0,0,0,1,0,0,0,0,1,0,0,0,22,0,1,1,0,0,0,0,0,1,50,23,0,0,5,0
0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,1,49,21,0,0,3,0
0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,46,21,0,0,4,0
0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,55,20,0,0,4,0
0,0,13,0,0,1,0,0,1,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,5,49,21,0,0,3,0
1,0,10,0,0,1,1,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,5,52,12,0,1,5,0
0,1,11,0,0,0,0,0,0,0,1,1,0,0,0,17,0,0,1,0,0,0,0,0,5,54,16,0,0,6,0
0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,53,20,0,0,4,0
0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,47,13,0,0,3,0
0,0,14,0,1,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,1,44,16,0,0,6,0
1,0,9,0,0,1,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,46,13,0,0,4,0
0,1,13,0,0,1,1,0,0,1,0,1,0,0,0,21,0,1,1,0,0,0,0,0,1,47,15,0,0,5,1
0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,46,22,0,0,3,0
0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,48,21,0,0,4,0
1,0,11,0,0,1,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,1,44,14,0,0,11,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,5,44,15,0,0,5,0
0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,50,17,0,0,3,0
0,0,12,0,0,1,1,0,0,1,0,1,0,0,0,19,0,0,1,0,0,0,0,0,1,55,17,0,1,5,0
0,0,14,0,0,1,0,0,1,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,50,15,0,0,4,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,5,56,14,0,0,6,0
0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,45,20,0,0,5,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,3,47,25,0,0,4,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,2,49,24,0,0,3,0
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,58,17,0,0,4,0
0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,1,53,19,0,0,4,0
0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,4,52,21,0,1,4,1
0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,21,0,0,1,0,0,0,0,0,1,42,17,0,0,3,0
0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,4,54,12,1,0,6,0
0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,54,10,0,0,3,0
0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,26,0,0,0,0,0,0,0,0,1,57,16,0,0,5,0
0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,19,0,1,1,0,0,0,0,0,3,48,23,0,0,1,0
0,0,12,0,0,1,0,0,0,1,1,1,0,1,0,25,0,0,1,0,0,0,0,0,1,53,20,0,1,3,1
1,0,9,0,0,1,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,52,26,0,0,4,0
0,0,15,0,0,1,1,0,0,0,0,1,0,0,0,25,0,1,0,0,0,0,0,0,1,52,23,0,0,4,0
0,0,10,0,0,1,0,0,0,0,1,1,0,1,0,16,0,0,0,0,0,0,0,0,3,51,25,0,0,9,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,2,45,23,0,0,4,0
0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,54,27,0,0,6,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,2,43,16,0,0,3,0
0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,48,18,0,0,6,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,4,56,13,0,0,3,0
0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,4,49,13,0,0,14,0
0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,54,20,0,0,4,0
0,1,12,0,0,1,1,0,0,0,0,1,0,1,0,26,1,0,1,0,0,1,0,0,1,55,22,0,0,4,1
0,0,14,0,0,0,0,0,0,0,1,1,0,0,0,28,0,1,0,0,0,0,0,0,2,54,21,0,0,8,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0,0,0,1,54,17,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,42,17,0,0,3,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,46,21,0,0,4,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,1,0,0,0,0,0,4,53,24,0,0,4,0
0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,1,53,17,0,0,4,0
0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,2,49,25,0,0,3,0
0,0,15,0,0,1,1,0,0,0,0,1,0,0,0,19,0,0,1,0,0,0,0,0,2,47,25,0,0,5,0
0,1,11,0,0,1,0,0,0,1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,3,43,13,0,0,4,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,1,0,0,0,0,0,1,47,20,0,0,3,0
0,0,16,0,0,0,1,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,1,57,15,0,0,6,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,1,0,0,0,0,0,1,43,18,0,0,3,0
0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,48,23,0,0,2,0
0,0,15,0,0,1,0,0,1,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,1,57,22,0,0,5,0
0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,2,44,22,0,1,10,0
0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,1,42,15,0,1,8,0
0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,2,50,14,0,0,1,0
0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,1,57,23,0,0,6,0
0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,11,0,0,1,0,0,0,0,0,1,50,19,0,1,7,0
0,0,12,0,0,1,1,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,1,41,22,0,0,7,0
0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,42,23,0,0,7,0
0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,14,0,0,1,0,0,0,0,0,1,45,16,0,0,5,0
0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,17,0,1,0,0,0,0,0,0,5,58,21,0,0,4,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,2,45,11,0,0,3,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,3,53,20,0,0,9,0
0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,58,12,0,0,5,0
0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,55,26,0,0,3,0
0,0,12,0,0,1,1,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,1,43,13,0,1,4,0
0,0,6,0,1,1,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,1,56,22,0,1,3,0
0,0,11,0,0,1,0,0,0,0,1,1,0,0,0,14,0,0,0,0,0,0,0,0,2,44,22,0,1,11,0
1,0,11,0,0,1,0,0,0,0,0,1,0,0,0,15,0,1,0,0,0,0,0,0,0,49,13,0,0,1,0
0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,3,47,15,0,0,4,0
0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,2,54,21,0,0,9,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,55,26,0,0,4,0
0,0,15,0,0,1,0,0,1,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,1,58,22,0,0,5,0
0,0,7,0,0,1,1,0,0,1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,52,17,0,0,1,1
0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,11,0,0,1,0,0,0,0,0,1,47,19,0,1,7,0
0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,1,54,21,0,0,9,0
0,0,7,0,0,1,1,0,0,1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,53,18,0,0,1,1
0,0,13,0,0,1,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,2,52,22,0,0,2,0
0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,1,59,23,0,0,12,0
0,0,13,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,2,50,21,0,0,4,0
0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,2,40,22,0,0,4,0
0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,1,0,0,0,0,0,0,42,19,0,0,4,0
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,43,23,0,0,7,0
