perm_com_android_launcher_permission_WRITE_SETTINGS,perm_android_permission_DEVICE_POWER,perm_android_permission_PROCESS_OUTGOING_CALLS,perm_android_permission_DISABLE_KEYGUARD,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_CLEAR_APP_CACHE,perm_com_android_launcher2_permission_READ_SETTINGS,n_permissions,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_READ_LOGS,n_urls,perm_android_permission_AUTHENTICATE_ACCOUNTS,perm_android_permission_KILL_BACKGROUND_PROCESSES,perm_android_permission_USE_CREDENTIALS,perm_android_permission_MANAGE_ACCOUNTS,n_api_calls,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_DELETE_PACKAGES,perm_android_permission_BATTERY_STATS,perm_android_permission_WRITE_MEDIA_STORAGE,perm_android_permission_WRITE_APN_SETTINGS,perm_com_lenovo_launcher_permission_READ_SETTINGS,perm_android_permission_ACCESS_CACHE_FILESYSTEM,perm_android_permission_WRITE_SMS,perm_android_permission_READ_PHONE_STATE,n_providers,perm_android_permission_SEND_SMS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_used_permissions,label
1,1,1,1,1,1,1,1,219,1,1,0,1,1,1,1,4,1,1,1,1,1,1,1,1,1,103,1,1,4,1
1,1,1,1,1,1,1,1,219,1,1,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,105,1,1,3,1
1,1,1,1,1,1,1,1,224,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,107,1,1,2,1
1,1,1,1,1,1,1,1,224,1,1,0,1,1,1,1,4,1,1,1,1,1,1,1,1,1,104,1,1,4,1
1,1,1,1,1,1,1,1,225,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,108,1,1,2,1
1,1,1,1,1,1,1,1,219,1,1,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,105,1,1,3,1
1,1,1,1,1,1,1,1,209,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,107,1,1,0,1
1,1,1,1,1,1,1,1,229,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,109,1,1,2,1
1,1,1,1,1,1,1,1,224,1,1,0,1,1,1,1,4,1,1,1,1,1,1,1,1,1,105,1,1,4,1
1,1,1,1,1,1,1,1,224,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,105,1,1,4,1
1,1,1,1,1,1,1,1,224,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,105,1,1,4,1
1,1,1,1,1,1,1,1,235,1,1,8,1,1,1,1,6,1,1,1,1,1,1,1,1,1,109,1,1,4,1
1,1,1,1,1,1,1,1,226,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,106,1,1,4,1
