perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,n_api_calls,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_setWifiEnabled,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_getWifiState,n_urls,n_activities,perm_android_permission_DISABLE_KEYGUARD,intent_com_igexin_sdk_action_refreshls,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_RESTART_PACKAGES,perm_android_permission_SEND_SMS,label
1,40,61,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,220,175,0,0,1,0,1,0
1,38,69,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,221,159,0,0,0,1,0,1
1,22,54,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,210,180,0,1,0,0,0,1
1,39,42,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,211,181,1,0,1,0,0,0
1,38,64,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,215,140,1,0,1,0,1,1
1,38,64,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,214,140,1,0,1,0,1,1
1,47,47,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,194,156,0,1,1,0,1,1
1,47,47,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,194,156,0,1,1,0,1,1
1,44,82,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,195,156,0,0,0,1,0,1
1,68,55,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,210,163,0,1,1,1,1,1
1,24,71,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,218,146,0,1,0,0,0,1
1,40,87,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,222,146,1,0,1,0,1,1
1,46,48,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,191,155,0,1,1,0,1,1
1,46,48,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,191,155,0,1,1,0,1,1
1,46,48,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,191,155,0,1,1,0,1,1
1,46,48,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,191,155,0,1,1,0,1,1
1,46,48,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,191,155,0,1,1,0,1,1
1,46,48,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,191,155,0,1,1,0,1,1
1,44,79,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,205,206,1,0,0,0,0,1
