n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,n_api_calls,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_WIFI_STATE,n_used_permissions,perm_android_permission_GET_TASKS,suspicious_Base64,suspicious_Ljava_lang_System___load,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getPackageInfo,suspicious_Cipher,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_WRITE_SETTINGS,suspicious_getExternalStorageDirectory,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getSystemService,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_USER_PRESENT,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_PACKAGE_REMOVED,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_system_bin_su,perm_android_permission_CHANGE_WIFI_STATE,n_services,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_MANAGE_ACCOUNTS,label
31,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,12,0,1,1,1
33,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,13,0,1,1,1
29,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,9,0,0,1,1
26,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,9,0,1,1,1
34,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,9,0,1,1,1
27,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,7,0,0,1,1
30,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,5,0,1,1,1
24,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,9,0,0,0,1
34,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,13,0,0,0,1
30,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,12,0,0,0,1
31,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,13,0,1,1,1
34,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,11,0,0,0,1
27,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,19,0,1,0,1
