n_permissions,perm_android_permission_READ_PHONE_STATE,n_urls,perm_android_permission_ACCESS_WIFI_STATE,n_api_calls,n_used_permissions,perm_android_permission_ACCESS_NETWORK_STATE,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_Ljava_lang_System___load,suspicious_getSystemService,suspicious_Base64,suspicious_getDeviceId,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_getPackageInfo,suspicious_getExternalStorageDirectory,intent_android_appwidget_action_APPWIDGET_UPDATE,perm_android_permission_SYSTEM_ALERT_WINDOW,n_services,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_WRITE_SETTINGS,suspicious_setWifiEnabled,intent_com_urbanairship_push_RECEIVED,suspicious_getWifiState,suspicious_system_bin_su,intent_com_urbanairship_push_CHANNEL_UPDATED,intent_com_google_android_gms_iid_InstanceID,intent_com_amazon_device_messaging_intent_RECEIVE,label
11,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1
11,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1
10,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1
10,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
11,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
12,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1
12,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
12,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1
12,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
11,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
