n_api_calls,perm_android_permission_GET_TASKS,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_PACKAGE_ADDED,suspicious_getSubscriberId,n_activities,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getExternalStorageDirectory,suspicious_getDeviceId,intent_android_intent_action_SCREEN_OFF,n_providers,suspicious_sendTextMessage,intent_com_baoruan_launcher3_ACTION_THEME,intent_com_google_android_c2dm_intent_RECEIVE,n_used_permissions,intent_android_intent_action_DOWNLOAD_COMPLETE,intent_android_intent_action_PACKAGE_REMOVED,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ljava_lang_System___load,intent_com_android_vending_INSTALL_REFERRER,n_urls,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_net_wifi_WIFI_STATE_CHANGED,n_permissions,perm_android_permission_SEND_SMS,n_receivers,perm_android_permission_VIBRATE,suspicious_Base64,label
5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,12,0,0,3,0,1,0,1,0
5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,12,0,0,6,0,1,0,1,0
4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,10,0,0,4,0,1,1,1,0
5,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,14,0,0,3,0,2,0,1,0
5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,14,0,0,2,0,0,0,1,0
4,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,14,0,0,2,0,0,0,1,0
5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,14,0,0,2,0,0,0,1,0
5,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,11,0,0,2,0,0,0,1,0
6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,14,0,0,2,0,0,0,1,0
3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,11,0,0,4,0,0,0,1,0
5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,4,0,0,0,1,0
4,0,0,0,0,0,4,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,11,0,0,2,0,0,0,1,0
8,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,5,0,0,0,0,0,11,0,0,4,0,0,0,1,0
4,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,13,0,0,5,0,0,0,1,0
5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,2,0,0,0,1,0
3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,2,0,0,0,1,0
3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,2,0,0,0,1,0
3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,2,0,0,0,1,0
8,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,5,0,0,0,1,0,11,0,0,3,0,1,0,1,0
3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,2,0,0,0,1,0
3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,2,0,0,0,1,0
6,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,11,0,0,3,0,0,1,1,0
5,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,4,0,0,1,0,0,13,0,0,5,0,3,0,1,0
4,0,0,0,0,0,4,0,0,1,1,0,2,0,0,0,3,0,0,0,0,0,14,0,0,3,0,0,0,1,0
