suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_PHONE_STATE,perm_android_permission_CHANGE_WIFI_STATE,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_ADDED,suspicious_getCellLocation,perm_android_permission_CHANGE_NETWORK_STATE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_RESTART_PACKAGES,perm_android_permission_RECORD_AUDIO,perm_android_permission_READ_LOGS,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_PACKAGE_REMOVED,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_WRITE_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,n_urls,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_REQUEST_INSTALL_PACKAGES,suspicious_Ldalvik_system_PathClassLoader_,n_services,n_api_calls,label
0,0,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,41,0,0,0,2,21,0
0,0,0,1,20,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,37,1,0,1,1,21,1
0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,45,0,0,0,2,18,0
1,0,1,1,14,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,45,1,0,0,1,24,1
1,0,0,0,12,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,43,1,0,0,1,22,1
1,0,0,0,18,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,36,1,0,0,0,21,1
0,0,0,0,13,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,44,0,0,0,5,25,0
0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,38,0,0,0,2,15,0
0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,1,0,0,5,17,0
0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,43,0,0,0,0,18,0
0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,44,0,0,0,0,21,0
0,0,0,0,20,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,34,0,0,1,7,20,0
1,1,0,0,20,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,41,1,0,1,1,22,0
1,0,0,0,20,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,44,1,0,0,2,18,0
0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,37,0,0,0,2,14,0
0,0,0,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,35,0,0,1,7,24,0
0,0,0,0,16,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,41,0,0,0,2,18,0
0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,40,0,0,1,9,19,0
0,1,1,1,9,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,5,26,1
1,0,0,0,11,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,40,1,0,0,4,19,0
0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,36,0,0,1,2,17,0
0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,35,0,0,0,5,19,0
0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,35,0,0,1,7,20,0
0,0,1,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,1,0,0,4,27,0
0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0,0,1,4,24,0
0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39,1,0,1,9,19,0
0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,42,0,0,1,0,23,0
0,0,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,47,0,0,0,0,19,1
1,0,0,0,14,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,51,0,0,0,0,19,1
1,0,0,0,14,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,51,0,0,0,0,19,1
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,40,1,0,1,7,20,0
0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,0,0,1,0,18,0
0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,44,0,0,1,6,22,0
0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,41,0,0,1,7,22,0
0,1,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,37,0,0,1,6,18,0
0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,35,0,0,1,7,19,0
0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,46,1,0,0,5,21,0
1,1,1,1,24,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,47,1,0,0,2,21,1
1,1,1,0,20,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,41,1,0,0,7,17,1
1,1,1,1,18,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,49,1,0,0,3,30,1
0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,49,0,0,1,5,24,0
0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,32,0,0,0,3,26,0
0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,47,0,0,0,7,20,0
0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,36,0,0,1,2,19,0
0,0,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,47,0,0,0,0,19,1
0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0,0,1,1,24,0
