perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_READ_PHONE_STATE,suspicious_getSubscriberId,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_CONFIGURATION,n_permissions,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_Ldalvik_system_PathClassLoader_,intent_android_intent_action_PACKAGE_FULLY_REMOVED,n_providers,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_PHONE_STATE,intent_com_snowfish_a_a_s_ABGSvc,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_READ_SETTINGS,intent_android_net_wifi_supplicant_CONNECTION_CHANGE,perm_com_android_launcher_permission_READ_SETTINGS,intent_android_intent_action_MEDIA_MOUNTED,intent_android_intent_action_MEDIA_EJECT,intent_android_intent_action_MEDIA_UNMOUNTED,n_used_permissions,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_CREATE_SHORTCUT,suspicious_Base64,intent_android_intent_action_ACTION_POWER_DISCONNECTED,label
0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,1,0,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,1,0,0,0,8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,1,0,0,0,10,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0
1,1,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,1
0,0,0,1,0,9,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,1,0,9,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,1,0,9,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,1,0,9,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,1,0,9,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
1,1,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1
0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
1,1,1,0,0,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1
0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,1,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,1,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,1,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,1,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0
0,0,0,0,0,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
0,1,0,0,0,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,1,0,1,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1
0,1,0,1,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0
0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0
0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
0,1,0,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
0,1,0,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1
0,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1
0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,1,0,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,1,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,1
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0
0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0
0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
0,1,0,0,0,9,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,1,0,1
0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
1,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,1
0,1,0,1,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1
0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,1
0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
1,1,1,1,0,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,1
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0
0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,8,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
0,1,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1
0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0
0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1
0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1
0,0,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0
0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0
0,0,1,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0
