perm_android_permission_READ_PHONE_STATE,n_api_calls,suspicious_getCellLocation,perm_android_permission_GET_TASKS,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_getSubscriberId,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_READ_LOGS,perm_android_permission_CHANGE_WIFI_STATE,n_providers,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_PACKAGE_ADDED,n_services,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,n_permissions,n_used_permissions,suspicious_getCellSignalStrength,n_urls,label
0,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,15,1,0,0,14,9,0,115,0
0,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,15,1,0,0,14,9,0,115,0
0,19,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,12,1,0,0,14,10,0,107,0
0,22,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,20,1,0,0,7,8,0,115,0
1,26,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,13,1,1,0,20,11,0,118,0
0,22,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,20,1,0,0,5,8,0,115,0
1,16,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,8,1,0,1,13,9,0,115,0
0,22,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,18,1,0,0,7,8,0,109,0
1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,8,1,1,0,21,8,0,116,0
0,19,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,18,1,0,0,6,8,0,109,0
1,23,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,3,1,0,0,0,16,1,1,0,17,8,0,118,0
0,19,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,3,1,0,0,0,11,1,1,1,14,9,0,107,0
0,29,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,4,1,0,0,1,11,1,1,1,13,11,1,124,0
1,30,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,1,1,0,0,13,1,1,0,18,10,0,118,0
0,21,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,13,1,0,0,12,10,0,117,0
0,32,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,1,1,0,0,12,1,0,0,14,13,1,123,0
0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,13,1,0,0,6,8,0,105,0
1,26,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,16,1,0,0,12,11,1,105,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,13,6,0,118,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,12,6,0,118,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,12,6,0,118,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,12,6,0,118,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,12,6,0,118,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,12,6,0,118,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,12,6,0,119,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,12,6,0,119,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,1,1,0,13,6,0,118,0
0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,13,1,0,0,7,8,0,102,0
1,24,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,7,1,0,0,1,21,1,1,0,20,11,0,117,0
0,14,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,6,1,0,0,1,10,1,1,1,12,7,0,118,0
1,23,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,3,1,0,0,0,14,1,0,0,15,11,0,106,0
1,29,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,7,0,1,1,24,9,0,120,1
1,31,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,3,0,1,0,0,17,0,1,0,26,10,0,117,1
0,15,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,1,1,1,0,12,1,1,1,28,8,0,124,0
1,29,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,7,0,1,1,24,9,0,122,1
1,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9,1,1,0,19,9,0,106,0
0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,13,1,0,0,5,8,0,102,0
0,33,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,12,0,0,0,7,13,0,126,0
1,37,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,4,1,1,0,0,13,1,1,0,13,15,1,113,0
1,28,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,10,0,1,0,24,12,0,120,1
1,28,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,1,1,0,0,13,1,0,1,14,12,0,132,0
1,26,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1,0,0,0,9,1,0,0,16,14,0,115,0
1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,12,13,0,117,0
0,36,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,4,1,1,0,0,10,1,1,0,15,16,0,116,0
0,38,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,3,1,0,0,0,12,1,1,0,15,13,1,108,0
1,22,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,4,1,1,0,0,17,1,0,0,23,12,0,97,0
1,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,13,1,1,0,19,7,0,113,0
0,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,11,1,0,0,9,10,0,128,0
0,36,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,24,1,1,0,9,15,1,122,0
1,26,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,1,1,0,0,8,1,1,0,16,11,0,97,0
0,35,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,1,1,0,0,9,1,0,0,10,17,0,109,0
1,32,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,3,0,1,1,1,12,0,1,1,29,11,0,121,1
1,29,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,12,1,1,0,17,9,0,132,0
1,29,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,12,1,1,0,17,9,0,132,0
0,36,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,26,1,1,0,9,15,1,120,0
0,36,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,26,1,1,0,9,15,1,120,0
0,36,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,26,1,1,0,9,15,1,120,0
0,18,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,1,0,0,0,11,1,1,0,11,11,0,106,0
1,26,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,2,0,1,1,0,15,0,1,1,28,9,0,102,1
0,34,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,23,1,1,0,6,12,1,127,0
0,36,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,26,1,1,0,9,15,1,122,0
0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,9,1,0,0,20,8,0,110,0
0,19,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,2,1,0,0,0,10,1,1,1,14,10,0,94,0
1,32,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,4,1,1,0,0,9,1,1,0,17,12,1,132,0
0,19,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,12,1,0,0,13,8,0,107,0
1,29,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,7,1,0,0,0,12,1,0,0,19,14,0,110,0
0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,18,1,1,0,17,10,0,122,0
1,27,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,2,1,1,1,0,10,1,1,1,32,14,0,107,0
0,36,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,9,1,0,0,0,15,1,1,0,14,12,0,108,0
1,27,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,2,0,1,1,0,13,0,1,1,31,11,1,102,1
0,18,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,4,1,0,0,0,6,1,1,0,16,9,0,135,0
0,35,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,24,1,1,0,7,13,1,128,0
0,23,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,1,0,0,0,11,1,0,0,13,10,0,101,0
1,36,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1,0,0,13,1,1,0,18,12,0,113,0
1,24,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,1,1,0,0,7,1,1,0,15,11,0,112,0
0,27,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,8,0,1,0,0,25,1,0,0,18,12,0,116,0
1,28,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,22,10,0,116,1
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,13,6,0,134,0
0,38,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,1,0,0,0,13,1,1,0,8,17,0,123,0
0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,0,0,0,35,1,1,0,17,10,0,104,0
0,31,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,2,0,1,0,7,15,0,101,0
1,20,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,21,0,1,1,33,9,0,128,1
1,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,14,10,0,119,1
0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,13,1,0,0,6,8,0,95,0
0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,13,1,0,0,6,8,0,95,0
1,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,1,0,10,17,0,122,0
1,26,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,5,1,0,1,0,10,1,1,1,26,15,0,112,0
0,32,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,8,1,1,0,0,18,1,1,0,29,12,0,127,0
0,36,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,24,1,1,0,10,15,1,131,0
1,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,1,0,9,14,0,122,0
0,36,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,1,0,0,0,24,1,1,0,9,15,1,131,0
1,38,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,13,1,0,0,1,18,1,1,0,16,14,0,111,1
1,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,2,0,1,0,14,7,0,118,0
1,29,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,6,1,1,0,21,10,1,124,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,13,6,0,136,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,1,0,13,6,0,136,0
1,31,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,1,0,18,13,0,98,1
0,33,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,6,1,0,0,0,16,1,1,0,12,16,0,136,0
0,33,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,6,1,0,0,0,16,1,1,0,12,16,0,136,0
0,33,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,6,1,0,0,0,16,1,1,0,12,16,0,136,0
0,33,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,6,1,0,0,0,16,1,1,0,12,16,0,136,0
0,33,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,6,1,0,0,0,16,1,1,0,12,16,0,136,0
0,33,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,6,1,0,0,0,16,1,1,0,12,16,0,136,0
