perm_android_permission_DEVICE_POWER,perm_android_permission_CLEAR_APP_CACHE,perm_android_permission_PROCESS_OUTGOING_CALLS,n_permissions,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_DISABLE_KEYGUARD,perm_com_android_launcher_permission_READ_SETTINGS,intent_com_morgoo_droidplugin_ACTION_SHORTCUT_PROXY,perm_com_android_launcher_permission_WRITE_SETTINGS,perm_android_permission_INSTALL_PACKAGES,perm_com_android_launcher2_permission_READ_SETTINGS,perm_android_permission_READ_LOGS,perm_android_permission_BATTERY_STATS,n_providers,n_api_calls,perm_android_permission_SET_WALLPAPER,perm_cn_nubia_launcher_permission_READ_SETTINGS,perm_android_permission_REORDER_TASKS,n_activities,n_services,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_DELETE_PACKAGES,perm_android_permission_WRITE_CALL_LOG,perm_android_permission_ACCESS_CACHE_FILESYSTEM,perm_android_permission_WRITE_SMS,perm_android_permission_READ_CALL_LOG,perm_android_permission_WRITE_MEDIA_STORAGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_GET_PACKAGE_SIZE,perm_android_permission_CHANGE_CONFIGURATION,label
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
1,1,1,124,1,1,1,1,1,1,1,1,1,17,69,1,1,1,419,56,1,1,1,1,1,1,1,1,1,1,1
