n_urls,n_api_calls,n_used_permissions,perm_android_permission_READ_PHONE_STATE,suspicious_Ldalvik_system_PathClassLoader_,suspicious_Cipher,suspicious_Base64,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_GET_TASKS,suspicious_system_bin_su,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getPackageInfo,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_getExternalStorageDirectory,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSystemService,intent_android_intent_action_USER_PRESENT,perm_android_permission_ACCESS_WIFI_STATE,n_permissions,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_PACKAGE_REMOVED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_services,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getDeviceId,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,intent_com_google_firebase_MESSAGING_EVENT,intent_android_intent_action_SEARCH,label
3,4,3,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,39,1,1,1,11,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,36,0,1,1,8,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,34,1,1,1,7,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,33,1,1,0,12,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,34,1,1,0,7,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,46,1,1,1,12,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,36,1,0,0,5,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,38,1,1,0,14,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,34,1,0,0,8,1,0,0,0,0,1
3,6,4,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,29,1,1,0,10,1,1,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,33,0,0,0,7,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,33,1,0,0,7,1,0,0,0,0,1
0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,34,1,1,0,3,1,0,0,0,0,1
