n_permissions,perm_android_permission_READ_PHONE_STATE,perm_android_permission_GET_TASKS,n_activities,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_services,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_USER_PRESENT,n_api_calls,n_urls,n_used_permissions,perm_android_permission_WRITE_EXTERNAL_STORAGE,suspicious_getSystemService,suspicious_Base64,suspicious_getPackageInfo,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_ACCESS_NETWORK_STATE,n_receivers,suspicious_getExternalStorageDirectory,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_Ljava_lang_Runtime___exec,intent_android_accessibilityservice_AccessibilityService,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getDeviceId,intent_com_google_android_c2dm_intent_RECEIVE,label
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
10,1,1,3,1,1,5,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1
