feature,method_count,aggregated_score,score_std,rank_mean,rank_std,top_methods,entropy_reduction_ratio,mutual_information,chi2_stat,f_stat,pearson_r
perm_com.android.launcher.permission.WRITE_SETTINGS,5,0.5353604676834939,0.34410377336542075,9.2,3.7629775444453557,"mutual_information, pearson_r, f_stat",0.3315551809355004,0.9475369473095216,0.012761929605330787,0.5219860985899059,0.8629621819772109
perm_android.permission.DEVICE_POWER,5,0.5012420182041051,0.3216113779487532,12.4,4.317406628984581,"mutual_information, pearson_r, f_stat",0.33202422381275587,0.8680619496335442,0.012657265714148675,0.455778663137229,0.8376879887228478
perm_android.permission.PROCESS_OUTGOING_CALLS,5,0.48522824832178113,0.3072851895556087,13.0,1.6733200530681511,"pearson_r, mutual_information, f_stat",0.3110213939050664,0.7824310408520047,0.012272275523905226,0.4751136338613713,0.8453028974665582
perm_android.permission.DISABLE_KEYGUARD,4,0.5723319176013326,0.3541273021231409,9.4,8.822698000045113,"pearson_r, mutual_information, f_stat",0.321906307104829,0.9005487818937062,0.010463753089356627,0.7054429381453657,0.9232978077734059
perm_com.android.launcher.permission.INSTALL_SHORTCUT,4,0.5444101550204438,0.33705781328452394,16.2,16.15425640504694,"pearson_r, f_stat, mutual_information",0.3066872323593875,0.7364917988409702,0.008949752202406448,0.7373011872533738,0.9326208044460809
perm_com.android.launcher.permission.READ_SETTINGS,4,0.5011698833976688,0.32055655697962443,20.8,16.240689640529432,"pearson_r, mutual_information, f_stat",0.26896650618472284,0.7359187726379889,0.00837717177859269,0.6018267625519483,0.8907602038350907
perm_android.permission.CLEAR_APP_CACHE,4,0.4460043566538105,0.3005872403168949,21.6,3.2619012860600183,"pearson_r, mutual_information, f_stat",0.25949634658624965,0.7455836761627561,0.010814973321735668,0.399746471253977,0.8143803159443341
perm_com.android.launcher2.permission.READ_SETTINGS,4,0.42776770739559283,0.28623131222949144,22.8,3.249615361854384,"pearson_r, mutual_information, f_stat",0.2639187552763457,0.6821177605175079,0.011048469802793592,0.37729150867851874,0.8044620427027983
n_permissions,3,0.758602619715818,0.2180191030738846,14.2,13.105723940324701,"chi2_stat, mutual_information, entropy_reduction_ratio",0.7963406646172779,0.855665459783734,1.0,0.3493914917419842,0.7916154824360938
perm_android.permission.CHANGE_WIFI_STATE,3,0.5674092804831778,0.3980610345118527,91.4,152.8876711837812,"f_stat, pearson_r, mutual_information",0.25314333557808916,0.5813271109963151,0.002575955841485402,1.0,1.0
perm_android.permission.READ_LOGS,3,0.49959508015436,0.32983744214829114,50.8,68.86334293366828,"pearson_r, mutual_information, f_stat",0.23454057621489566,0.7157488572923857,0.005018574681087747,0.6396187103972428,0.903048682186188
n_urls,3,0.47705707764964844,0.392306153309417,222.8,267.6993836376916,"entropy_reduction_ratio, mutual_information, pearson_r",0.9673235154244473,0.8473643685018176,0.059986765160535596,0.01062533940584637,0.4999853997555954
perm_android.permission.AUTHENTICATE_ACCOUNTS,3,0.4681566569921326,0.31391660077197175,23.6,14.840485167271318,"pearson_r, mutual_information, f_stat",0.24196981579531904,0.7619896223806433,0.008616151036016787,0.4807302092592342,0.8474774864894498
perm_android.permission.KILL_BACKGROUND_PROCESSES,3,0.46621932868563387,0.29793674053423697,20.2,12.08966500776593,"pearson_r, mutual_information, f_stat",0.27282853949762675,0.6263815381747866,0.009585719456396687,0.5494673365865075,0.8728335097128519
perm_android.permission.USE_CREDENTIALS,3,0.46139391303401833,0.31880693270116883,29.8,21.535087647836498,"pearson_r, mutual_information, f_stat",0.21933633551850132,0.7767986112336294,0.007163097294155948,0.46308264315029396,0.8405888779735111
perm_android.permission.MANAGE_ACCOUNTS,3,0.4531537195549317,0.31240967807032116,34.6,27.58695343817436,"pearson_r, mutual_information, f_stat",0.21500816397210867,0.7383775179958668,0.0067570249172581665,0.4644841213499549,0.8411417695394703
n_api_calls,3,0.45310001186220117,0.35533855666796627,177.0,211.0213259365034,"mutual_information, entropy_reduction_ratio, pearson_r",0.7648502142734305,0.8812695483686924,0.049474801534888764,0.028681608744214555,0.5412238863897797
perm_com.android.launcher.permission.UNINSTALL_SHORTCUT,3,0.4393769766545444,0.30039278359642724,27.4,8.014985963805552,"pearson_r, mutual_information, f_stat",0.23527205310367766,0.7212528630003529,0.009437027793054888,0.41149280780256786,0.8194301315730687
perm_android.permission.DELETE_PACKAGES,3,0.4369544712438265,0.3098925345643154,26.8,12.560254774486065,"mutual_information, pearson_r, f_stat",0.26223326085619897,0.8084090917570436,0.010743958106195968,0.3240138553661143,0.7793721901335801
perm_android.permission.BATTERY_STATS,3,0.4365891264291715,0.2946886015708861,25.8,5.635601121442148,"pearson_r, mutual_information, f_stat",0.24395293912596946,0.6965000595843123,0.009938804916703799,0.41263683150388986,0.8199169970149823
perm_android.permission.WRITE_MEDIA_STORAGE,3,0.4309341198025085,0.2985956810657027,26.2,10.759182125050211,"pearson_r, mutual_information, f_stat",0.2672160735067229,0.7603710435484202,0.010891135614500022,0.332609882960939,0.7835824633819602
perm_android.permission.WRITE_APN_SETTINGS,3,0.4292480852276569,0.29275350354103497,25.2,8.23164625090267,"pearson_r, mutual_information, f_stat",0.27225752940960896,0.7336854578456729,0.011038313122804075,0.3414264958666472,0.7878326298935512
perm_com.lenovo.launcher.permission.READ_SETTINGS,3,0.41860898553971626,0.29587424478123103,30.6,12.690153663372245,"pearson_r, mutual_information, f_stat",0.2540552420103546,0.7458968028804855,0.010498662259022545,0.3101545072507839,0.7724397132979347
perm_android.permission.ACCESS_CACHE_FILESYSTEM,3,0.40856740206240777,0.2657967319603378,24.6,8.822698000045111,"pearson_r, mutual_information, f_stat",0.2895042766426407,0.5669751696917392,0.011528904817150923,0.37252080982683333,0.8023078493336746
perm_android.permission.WRITE_SMS,3,0.3647894922959044,0.26305948455482087,48.8,48.66785386679794,"pearson_r, f_stat, mutual_information",0.2510813883224451,0.337947342644441,0.010381390539989755,0.4070195058062868,0.8175178341663597
perm_android.permission.READ_PHONE_STATE,2,0.4423563780866079,0.33340879436464776,153.6,235.56451345650515,"pearson_r, f_stat, mutual_information",0.16157852051972588,0.4522030236871554,0.0004480777726821535,0.6814711299671445,0.9160811384863313
n_providers,2,0.4420863860314661,0.20488331965284112,53.2,52.380912554097414,"mutual_information, pearson_r, entropy_reduction_ratio",0.45349654881391266,0.6605236822534496,0.30717519262274495,0.13067379714980412,0.6585627093174192
perm_android.permission.SEND_SMS,2,0.41925700568870694,0.27921118896941893,28.0,8.555699854482976,"pearson_r, mutual_information, f_stat",0.24705639122372489,0.5686767944738547,0.009719616884378671,0.439655132127906,0.83117709373367
perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,2,0.4186674466845773,0.31429154979797186,107.2,126.968342511037,"pearson_r, f_stat, mutual_information",0.2171778566363448,0.34353715611767516,0.0039012344989393217,0.6290554664163243,0.8996655197536028
n_used_permissions,2,0.41234732069890107,0.3780212274494947,346.4,289.1543532440762,"mutual_information, entropy_reduction_ratio, pearson_r",0.5845180160003524,1.0,0.0015788797273624583,0.0034361548368275307,0.472203552929963
n_activities,2,0.4078613504077824,0.358675855161089,218.6,238.4043623761948,"entropy_reduction_ratio, pearson_r, mutual_information",1.0,0.458426072815425,0.05459171341958251,0.01477832781489023,0.5115106379890138
perm_android.permission.RECEIVE_BOOT_COMPLETED,2,0.40458819795334816,0.3231362227074242,126.4,140.7261169790455,"pearson_r, f_stat, mutual_information",0.20958497137767038,0.2668896254576309,0.0032533017499066863,0.6400327963658581,0.9031802948156747
perm_android.permission.CHANGE_NETWORK_STATE,2,0.37630718305062344,0.28058355285380887,103.6,125.72446062719854,"pearson_r, mutual_information, f_stat",0.16218458949265455,0.49336567391342834,0.003387197340932524,0.4056628517176475,0.8169356027884542
n_services,2,0.3706752645962328,0.1930710855081314,81.8,72.39447492730368,"pearson_r, mutual_information, entropy_reduction_ratio",0.4480866641015837,0.4590288139629954,0.1923376719472715,0.111725829845622,0.6421973431236911
perm_android.permission.GET_TASKS,2,0.35874512973356776,0.28826834808581514,152.6,191.9318629097316,"pearson_r, f_stat, mutual_information",0.12864470951476317,0.38283270630048166,0.0008738924716167473,0.44715120841921674,0.8342231319617605
perm_android.permission.ACCESS_WIFI_STATE,2,0.325564122063568,0.2898066757679532,217.2,239.48979101414741,"pearson_r, f_stat, mutual_information",0.10669024860530348,0.2640936017907832,0.00019834266998654474,0.42973623006531475,0.827102187186452
intent_com.google.android.c2dm.intent.RECEIVE,2,0.27256009961130034,0.26172546042178135,222.4,388.8113167077317,"mutual_information, f_stat, entropy_reduction_ratio",0.1587588083649898,0.6569346770870025,0.027017953733740968,0.5062175469151661,0.013871511955602605
n_receivers,2,0.25591762415551267,0.1875144186789655,212.8,177.3960540711095,"pearson_r, entropy_reduction_ratio, mutual_information",0.36635916075834335,0.24189562419891922,0.08908627206509821,0.03314802465338193,0.5490990391018206
perm_com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,2,0.23302516389440364,0.22281904874992486,234.4,384.0086457360042,"f_stat, mutual_information, entropy_reduction_ratio",0.1405261345991563,0.4503410647009622,0.02992887561223849,0.5443297445596613,0.0
intent_com.google.firebase.MESSAGING_EVENT,2,0.17815109978161592,0.17123993418971667,276.6,373.5476408706124,"f_stat, mutual_information, entropy_reduction_ratio",0.13054429429900372,0.22578102240597248,0.026984651209032665,0.4858941562377738,0.021551374756296853
perm_com.google.android.launcher.permission.READ_SETTINGS,1,0.44509280236972576,0.3397618737015646,33.8,16.702095676890373,"mutual_information, pearson_r, f_stat",0.22670221748631972,0.9086668097989707,0.009972007889670367,0.3085154478193264,0.7716075288543417
perm_cn.nubia.launcher.permission.READ_SETTINGS,1,0.3723107727312094,0.2576011830088357,40.0,11.29601699715435,"pearson_r, mutual_information, f_stat",0.25082725033183767,0.5258629068537163,0.010400543920153174,0.3047680535660205,0.7696951089843193
perm_android.permission.WRITE_CALL_LOG,1,0.3712648728858231,0.2566909790524343,36.0,16.284962388657824,"pearson_r, mutual_information, f_stat",0.24825897355511353,0.4592377460406991,0.010608036092445934,0.34749862662988157,0.7907209821109755
perm_android.permission.READ_SYNC_STATS,1,0.35613458187859576,0.317606167048468,67.5,28.863471724655717,"mutual_information, pearson_r, f_stat",0.13431766140736365,0.7901377851689827,0.006796058171788677,0.1645529738897119,0.6848684307551317
intent_com.qihoo.appstore.gameunion.DOWNLOAD_SLIENT,1,0.2987921321048169,0.3001687482457109,220.0,100.03199488163774,"mutual_information, pearson_r, entropy_reduction_ratio",0.08382529907893498,0.7134769654628155,0.004170029401948207,0.08070081670556375,0.6117875498748222
